1,"c","hetrd","complex/chetrd.f"
2,"z","hetrd","complex16/zhetrd.f"
3,"c","hbtrd","complex/chbtrd.f"
4,"z","hbtrd","complex16/zhbtrd.f"
5,"c","hptrd","complex/chptrd.f"
6,"z","hptrd","complex16/zhptrd.f"
7,"s","sytrd","single/ssytrd.f"
8,"d","sytrd","double/dsytrd.f"
9,"s","sbtrd","single/ssbtrd.f"
10,"d","sbtrd","double/dsbtrd.f"
11,"s","sptrd","single/ssptrd.f"
12,"d","sptrd","double/dsptrd.f"
13,"s","orgtr","single/sorgtr.f"
14,"d","orgtr","double/dorgtr.f"
15,"s","opgtr","single/sopgtr.f"
16,"d","opgtr","double/dopgtr.f"
17,"c","ungtr","complex/cungtr.f"
18,"z","ungtr","complex16/zungtr.f"
19,"c","upgtr","complex/cupgtr.f"
20,"z","upgtr","complex16/zupgtr.f"
21,"s","ormtr","single/sormtr.f"
22,"d","ormtr","double/dormtr.f"
23,"s","opmtr","single/sopmtr.f"
24,"d","opmtr","double/dopmtr.f"
25,"c","unmtr","complex/cunmtr.f"
26,"z","unmtr","complex16/zunmtr.f"
27,"c","upmtr","complex/cupmtr.f"
28,"z","upmtr","complex16/zupmtr.f"
29,"s","steqr","single/ssteqr.f"
30,"d","steqr","double/dsteqr.f"
31,"c","steqr","complex/csteqr.f"
32,"z","steqr","complex16/zsteqr.f"
33,"s","pteqr","single/spteqr.f"
34,"d","pteqr","double/dpteqr.f"
35,"c","pteqr","complex/cpteqr.f"
36,"z","pteqr","complex16/zpteqr.f"
37,"s","sterf","single/ssterf.f"
38,"d","sterf","double/dsterf.f"
39,"s","stedc","single/sstedc.f"
40,"d","stedc","double/dstedc.f"
41,"c","stedc","complex/cstedc.f"
42,"z","stedc","complex16/zstedc.f"
43,"s","stegr","single/sstegr.f"
44,"d","stegr","double/dstegr.f"
45,"c","stegr","complex/cstegr.f"
46,"z","stegr","complex16/zstegr.f"
47,"s","stebz","single/sstebz.f"
48,"d","stebz","double/dstebz.f"
49,"s","stein","single/sstein.f"
50,"d","stein","double/dstein.f"
51,"c","stein","complex/cstein.f"
52,"z","stein","complex16/zstein.f"
53,"s","disna","single/sdisna.f"
54,"d","disna","double/ddisna.f"
55,"s","gehrd","single/sgehrd.f"
56,"d","gehrd","double/dgehrd.f"
57,"c","gehrd","complex/cgehrd.f"
58,"z","gehrd","complex16/zgehrd.f"
59,"s","gebal","single/sgebal.f"
60,"d","gebal","double/dgebal.f"
61,"c","gebal","complex/cgebal.f"
62,"z","gebal","complex16/zgebal.f"
63,"s","gebak","single/sgebak.f"
64,"d","gebak","double/dgebak.f"
65,"c","gebak","complex/cgebak.f"
66,"z","gebak","complex16/zgebak.f"
67,"s","orghr","single/sorghr.f"
68,"d","orghr","double/dorghr.f"
69,"c","unghr","complex/cunghr.f"
70,"z","unghr","complex16/zunghr.f"
71,"s","ormhr","single/sormhr.f"
72,"d","ormhr","double/dormhr.f"
73,"c","unmhr","complex/cunmhr.f"
74,"z","unmhr","complex16/zunmhr.f"
75,"s","hseqr","single/shseqr.f"
76,"d","hseqr","double/dhseqr.f"
77,"c","hseqr","complex/chseqr.f"
78,"z","hseqr","complex16/zhseqr.f"
79,"s","hsein","single/shsein.f"
80,"d","hsein","double/dhsein.f"
81,"c","hsein","complex/chsein.f"
82,"z","hsein","complex16/zhsein.f"
83,"s","trevc","single/strevc.f"
84,"d","trevc","double/dtrevc.f"
85,"c","trevc","complex/ctrevc.f"
86,"z","trevc","complex16/ztrevc.f"
87,"s","trexc","single/strexc.f"
88,"d","trexc","double/dtrexc.f"
89,"c","trexc","complex/ctrexc.f"
90,"z","trexc","complex16/ztrexc.f"
91,"s","trsyl","single/strsyl.f"
92,"d","trsyl","double/dtrsyl.f"
93,"c","trsyl","complex/ctrsyl.f"
94,"z","trsyl","complex16/ztrsyl.f"
95,"s","trsna","single/strsna.f"
96,"d","trsna","double/dtrsna.f"
97,"c","trsna","complex/ctrsna.f"
98,"z","trsna","complex16/ztrsna.f"
99,"s","trsen","single/strsen.f"
100,"d","trsen","double/dtrsen.f"
101,"c","trsen","complex/ctrsen.f"
102,"z","trsen","complex16/ztrsen.f"
103,"s","gebrd","single/sgebrd.f"
104,"d","gebrd","double/dgebrd.f"
105,"c","gebrd","complex/cgebrd.f"
106,"z","gebrd","complex16/zgebrd.f"
107,"s","gbbrd","single/sgbbrd.f"
108,"d","gbbrd","double/dgbbrd.f"
109,"c","gbbrd","complex/cgbbrd.f"
110,"z","gbbrd","complex16/zgbbrd.f"
111,"s","orgbr","single/sorgbr.f"
112,"d","orgbr","double/dorgbr.f"
113,"c","ungbr","complex/cungbr.f"
