lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,nnzeros,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared,solver,matrix_name,solver_time,default_time,Time Difference
0,4535,4,0,0,2358,13,0,4,0,0,9622,2863795,2407.734,24809,0,5307,2276611,937583.4,4535,0,0,0.035073,-4487511,0,0,0,0,0,0,0,28.93907,186.1699,0,24809,2386,5307,0.483333,186.1699,2,1,26.49207,5308,0,0,6,0,2.541382,8690481,9879,7952,2963795,0,194.9634,240,0,14946190,0,671.2212,100000,-46.87728,8691634,4487511,0,490.6939,5308,0,36025724,hydr1c_A_23,0.01792,0.016615,7.85 % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9622,2863795,2407.734,24809,0,5307,2276611,937583.4,4535,0,0,0.035073,-4487511,0,0,0,0,0,0,0,28.93907,186.1699,0,24809,2386,5307,0.483333,186.1699,2,1,26.49207,5308,0,0,6,0,2.541382,8690481,9879,7952,2963795,0,194.9634,240,0,14946190,0,671.2212,100000,-46.87728,8691634,4487511,0,490.6939,5308,0,17734818,hydr1c_A_23,0.089749,0.016615,440.17 % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9622,2863795,2407.734,24809,0,5307,2276611,937583.4,4535,0,0,0.035073,-4487511,0,0,0,0,0,0,0,28.93907,186.1699,0,24809,2386,5307,0.483333,186.1699,2,1,26.49207,5308,0,0,6,0,2.541382,8690481,9879,7952,2963795,0,194.9634,240,0,14946190,0,671.2212,100000,-46.87728,8691634,4487511,0,490.6939,5308,0,32168839,hydr1c_A_23,0.016615,0.016615,0.0 % less time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9622,2863795,2407.734,24809,0,5307,2276611,937583.4,4535,0,0,0.035073,-4487511,0,0,0,0,0,0,0,28.93907,186.1699,0,24809,2386,5307,0.483333,186.1699,2,1,26.49207,5308,0,0,6,0,2.541382,8690481,9879,7952,2963795,0,194.9634,240,0,14946190,0,671.2212,100000,-46.87728,8691634,4487511,0,490.6939,5308,0,95762353,hydr1c_A_23,0.037067,0.016615,123.09 % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9622,2863795,2407.734,24809,0,5307,2276611,937583.4,4535,0,0,0.035073,-4487511,0,0,0,0,0,0,0,28.93907,186.1699,0,24809,2386,5307,0.483333,186.1699,2,1,26.49207,5308,0,0,6,0,2.541382,8690481,9879,7952,2963795,0,194.9634,240,0,14946190,0,671.2212,100000,-46.87728,8691634,4487511,0,490.6939,5308,0,95762354,hydr1c_A_23,0.03226,0.016615,94.16 % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9622,2863795,2407.734,24809,0,5307,2276611,937583.4,4535,0,0,0.035073,-4487511,0,0,0,0,0,0,0,28.93907,186.1699,0,24809,2386,5307,0.483333,186.1699,2,1,26.49207,5308,0,0,6,0,2.541382,8690481,9879,7952,2963795,0,194.9634,240,0,14946190,0,671.2212,100000,-46.87728,8691634,4487511,0,490.6939,5308,0,29030070,hydr1c_A_23,0.040539,0.016615,143.99 % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9622,2863795,2407.734,24809,0,5307,2276611,937583.4,4535,0,0,0.035073,-4487511,0,0,0,0,0,0,0,28.93907,186.1699,0,24809,2386,5307,0.483333,186.1699,2,1,26.49207,5308,0,0,6,0,2.541382,8690481,9879,7952,2963795,0,194.9634,240,0,14946190,0,671.2212,100000,-46.87728,8691634,4487511,0,490.6939,5308,0,36564232,hydr1c_A_23,0.000278,0.016615,-98.33 % less time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9622,2863795,2407.734,24809,0,5307,2276611,937583.4,4535,0,0,0.035073,-4487511,0,0,0,0,0,0,0,28.93907,186.1699,0,24809,2386,5307,0.483333,186.1699,2,1,26.49207,5308,0,0,6,0,2.541382,8690481,9879,7952,2963795,0,194.9634,240,0,14946190,0,671.2212,100000,-46.87728,8691634,4487511,0,490.6939,5308,0,81986705,hydr1c_A_23,1.79769313486E308,0.016615,inf % more time of default solver time
0,4535,4,0,0,2358,13,0,4,0,0,9622,2863795,2407.734,24809,0,5307,2276611,937583.4,4535,0,0,0.035073,-4487511,0,0,0,0,0,0,0,28.93907,186.1699,0,24809,2386,5307,0.483333,186.1699,2,1,26.49207,5308,0,0,6,0,2.541382,8690481,9879,7952,2963795,0,194.9634,240,0,14946190,0,671.2212,100000,-46.87728,8691634,4487511,0,490.6939,5308,0,37052868,hydr1c_A_23,0.000278,0.016615,-98.33 % less time of default solver time
0,5307,5,0,0,2780,15,0,5,-33.39543,0,9764,50812.22,2427.031,28848,0,4535,45348.06,17206.74,5307,0,0,0.00002,-76988.58,0,0,0,0,0,0,33.39287,29.3272,0.104154,0,28848,2797,4535,0.495833,0.069741,2,0,27.41537,5308,0,0,6,0,0.001216,204285.1,13776,8309,50850.97,0,1.571096,240,0,12696190,0,34.43819,33.4492,-1.036982,204285.4,76988.58,0,33.39287,5308,0,45869638,hydr1c_A_22,52.14923,0.000432,12071481.02 % more time of default solver time
