@relation 'petsc_data-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Remove-R1,3,5-12,14-18,20-23,25,27-32,34-54'

@attribute avgdistfromdiag numeric
@attribute blocksize numeric
@attribute left-bandwidth numeric
@attribute diagonal-dominance numeric
@attribute col-variability numeric
@attribute nnzeros numeric
@attribute row-variability numeric
@attribute solver {RCG*CHEBYSHEV,'Pseudoblock GMRES*CHEBYSHEV','Pseudoblock CG*KRYLOV','Pseudoblock GMRES*ILUT',GCRODR*CHEBYSHEV,'Block GMRES*RILUK',PCPG*KRYLOV,'Pseudoblock GMRES*RILUK','Block GMRES*DIAGONAL',PCPG*RELAXATION,'Pseudoblock Stochastic CG*DIAGONAL',PCPG*RILUK,'Pseudoblock GMRES*RELAXATION','Hybrid Block GMRES*KRYLOV',RCG*RELAXATION,'Pseudoblock GMRES*DIAGONAL',RCG*DIAGONAL,TFQMR*ILUT,PCPG*ILUT,'Pseudoblock CG*ILUT','Block CG*DIAGONAL',GCRODR*RILUK,GCRODR*RELAXATION,TFQMR*CHEBYSHEV,TFQMR*DIAGONAL,GCRODR*DIAGONAL,TFQMR*RELAXATION,'Hybrid Block GMRES*RELAXATION','Pseudoblock CG*RILUK',GCRODR*ILUT,'Block GMRES*CHEBYSHEV',MINRES*DIAGONAL,'Pseudoblock CG*DIAGONAL','Hybrid Block GMRES*RILUK',TFQMR*RILUK,'Block CG*ILUT','Pseudoblock CG*RELAXATION',MINRES*RELAXATION,'Pseudoblock Stochastic CG*RELAXATION','Block CG*CHEBYSHEV','Hybrid Block GMRES*ILUT','Block GMRES*ILUT',GCRODR*KRYLOV,RCG*ILUT,MINRES*KRYLOV,'Block GMRES*RELAXATION',RCG*KRYLOV,'Block CG*RELAXATION',TFQMR*KRYLOV,'Pseudoblock GMRES*KRYLOV',RCG*RILUK,'Hybrid Block GMRES*CHEBYSHEV','Pseudoblock Stochastic CG*RILUK','Pseudoblock CG*CHEBYSHEV','Pseudoblock Stochastic CG*CHEBYSHEV',MINRES*ILUT,'Block GMRES*KRYLOV',PCPG*DIAGONAL,'Pseudoblock Stochastic CG*KRYLOV','Hybrid Block GMRES*DIAGONAL',PCPG*CHEBYSHEV,'Block CG*KRYLOV',MINRES*CHEBYSHEV,'Block CG*RILUK','Pseudoblock Stochastic CG*ILUT',MINRES*RILUK}
@attribute class {good,bad}

@data
6,69,204,-202764.6,5.980963,2264,7.988063,'Pseudoblock GMRES*CHEBYSHEV',bad
6,69,204,-202764.6,5.980963,2264,7.988063,'Block GMRES*DIAGONAL',bad
6,69,204,-202764.6,5.980963,2264,7.988063,'Pseudoblock GMRES*DIAGONAL',bad
6,69,204,-202764.6,5.980963,2264,7.988063,TFQMR*CHEBYSHEV,good
6,69,204,-202764.6,5.980963,2264,7.988063,TFQMR*DIAGONAL,bad
6,69,204,-202764.6,5.980963,2264,7.988063,GCRODR*DIAGONAL,bad
6,69,204,-202764.6,5.980963,2264,7.988063,'Block GMRES*CHEBYSHEV',bad
6,69,204,-202764.6,5.980963,2264,7.988063,'Hybrid Block GMRES*CHEBYSHEV',bad
6,69,204,-202764.6,5.980963,2264,7.988063,'Hybrid Block GMRES*DIAGONAL',bad
5,2780,4535,-46416,29.76966,28847,28.43969,'Pseudoblock GMRES*CHEBYSHEV',bad
5,2780,4535,-46416,29.76966,28847,28.43969,TFQMR*CHEBYSHEV,good
5,2780,4535,-46416,29.76966,28847,28.43969,'Block GMRES*CHEBYSHEV',bad
5,2780,4535,-46416,29.76966,28847,28.43969,'Hybrid Block GMRES*CHEBYSHEV',bad
5,2780,4535,-46416,29.76966,28847,28.43969,MINRES*CHEBYSHEV,bad
6,1,792,-6,?,5472,?,'Pseudoblock GMRES*CHEBYSHEV',bad
6,1,792,-6,?,5472,?,GCRODR*CHEBYSHEV,bad
6,1,792,-6,?,5472,?,TFQMR*CHEBYSHEV,bad
6,1,792,-6,?,5472,?,'Block GMRES*CHEBYSHEV',bad
6,1,792,-6,?,5472,?,'Hybrid Block GMRES*CHEBYSHEV',good
6,1,792,-6,?,5472,?,MINRES*CHEBYSHEV,bad
6,1,793,-6,?,5467,?,'Pseudoblock GMRES*CHEBYSHEV',bad
6,1,793,-6,?,5467,?,GCRODR*CHEBYSHEV,bad
6,1,793,-6,?,5467,?,TFQMR*CHEBYSHEV,bad
6,1,793,-6,?,5467,?,'Block GMRES*CHEBYSHEV',bad
6,1,793,-6,?,5467,?,'Hybrid Block GMRES*CHEBYSHEV',good
4,2358,5307,-4527171,28.7351,24816,26.60895,'Pseudoblock GMRES*CHEBYSHEV',bad
4,2358,5307,-4527171,28.7351,24816,26.60895,TFQMR*CHEBYSHEV,good
4,2358,5307,-4527171,28.7351,24816,26.60895,'Block GMRES*CHEBYSHEV',bad
