1,s,gelsy,standard,real,yes,no,,single
2,d,gelsy,standard,real,yes,no,,double
3,c,gelsy,standard,complex,yes,no,,single
4,z,gelsy,standard,complex,yes,no,,double
5,s,gelsd,standard,real,yes,no,,single
6,d,gelsd,standard,real,yes,no,,double
7,c,gelsd,standard,complex,yes,no,,single
8,z,gelsd,standard,complex,yes,no,,double
9,s,gelsy,standard,real,yes,yes,,single
10,d,gelsy,standard,real,yes,yes,,double
11,c,gelsy,standard,complex,yes,yes,,single
12,z,gelsy,standard,complex,yes,yes,,double
13,s,gelsd,standard,real,yes,yes,,single
14,d,gelsd,standard,real,yes,yes,,double
15,c,gelsd,standard,complex,yes,yes,,single
16,z,gelsd,standard,complex,yes,yes,,double
17,s,gels,standard,real,yes,yes,,single
18,d,gels,standard,real,yes,yes,,double
19,c,gels,standard,complex,yes,yes,,single
20,z,gels,standard,complex,yes,yes,,double
21,s,gglse,generalized,real,yes,,A_Full_Col,single
22,d,gglse,generalized,real,yes,,A_Full_Col,double
23,c,gglse,generalized,complex,yes,,A_Full_Col,single
24,z,gglse,generalized,complex,yes,,A_Full_Col,double
25,s,gglse,generalized,real,yes,,B_Full_Row,single
26,d,gglse,generalized,real,yes,,B_Full_Row,double
27,c,gglse,generalized,complex,yes,,B_Full_Row,single
28,z,gglse,generalized,complex,yes,,B_Full_Row,double
