1,s,gelsy,standard,real,yes,no,,single,,1
2,d,gelsy,standard,real,yes,no,,double,,2
3,c,gelsy,standard,complex,yes,no,,single,,3
4,z,gelsy,standard,complex,yes,no,,double,,4
5,s,gelsd,standard,real,yes,no,,single,faster but require more memory space,5
6,d,gelsd,standard,real,yes,no,,double,faster but require more memory space,6
7,c,gelsd,standard,complex,yes,no,,single,faster but require more memory space,7
8,z,gelsd,standard,complex,yes,no,,double,faster but require more memory space,8
9,s,gelsy,standard,real,yes,yes,,single,faster but require more memory space,9
10,d,gelsy,standard,real,yes,yes,,double,faster but require more memory space,10
11,c,gelsy,standard,complex,yes,yes,,single,faster but require more memory space,11
12,z,gelsy,standard,complex,yes,yes,,double,faster but require more memory space,12
13,s,gelsd,standard,real,yes,yes,,single,faster but require more memory space,13
14,d,gelsd,standard,real,yes,yes,,double,faster but require more memory space,14
15,c,gelsd,standard,complex,yes,yes,,single,faster but require more memory space,15
16,z,gelsd,standard,complex,yes,yes,,double,faster but require more memory space,16
17,s,gels,standard,real,yes,yes,,single,,17
18,d,gels,standard,real,yes,yes,,double,,18
19,c,gels,standard,complex,yes,yes,,single,,19
20,z,gels,standard,complex,yes,yes,,double,,20
21,s,gglse,generalized,real,yes,,A_Full_Col,single,,21
22,d,gglse,generalized,real,yes,,A_Full_Col,double,,22
23,c,gglse,generalized,complex,yes,,A_Full_Col,single,,23
24,z,gglse,generalized,complex,yes,,A_Full_Col,double,,24
25,s,gglse,generalized,real,yes,,B_Full_Row,single,,25
26,d,gglse,generalized,real,yes,,B_Full_Row,double,,26
27,c,gglse,generalized,complex,yes,,B_Full_Row,single,,27
28,z,gglse,generalized,complex,yes,,B_Full_Row,double,,28
