@relation solver_pc_separate4648

@attribute lambda-max-by-magnitude-im numeric
@attribute right-bandwidth numeric
@attribute avgdistfromdiag numeric
@attribute symmetry numeric
@attribute n-dummy-rows numeric
@attribute blocksize numeric
@attribute max-nnzeros-per-row numeric
@attribute diag-definite numeric
@attribute avgnnzprow numeric
@attribute lambda-max-by-magnitude-re numeric
@attribute ellipse-cy numeric
@attribute nnzup numeric
@attribute ruhe75-bound numeric
@attribute avg-diag-dist numeric
@attribute nnz numeric
@attribute lambda-min-by-magnitude-re numeric
@attribute lambda-max-by-im-part-im numeric
@attribute left-bandwidth numeric
@attribute norm1 numeric
@attribute sigma-min numeric
@attribute upband numeric
@attribute n-struct-unsymm numeric
@attribute lambda-min-by-magnitude-im numeric
@attribute diagonal-average numeric
@attribute diagonal-dominance numeric
@attribute dummy-rows numeric
@attribute ritz-values-r numeric
@attribute symmetry-snorm numeric
@attribute symmetry-fanorm numeric
@attribute symmetry-fsnorm numeric
@attribute colours numeric
@attribute lambda-max-by-im-part-re numeric
@attribute col-variability numeric
@attribute trace-abs numeric
@attribute ritz-values-c numeric
@attribute nnzeros numeric
@attribute diag-zerostart numeric
@attribute loband numeric
@attribute positive-fraction numeric
@attribute trace numeric
@attribute min-nnzeros-per-row numeric
@attribute diagonal-sign numeric
@attribute row-variability numeric
@attribute nrows numeric
@attribute lambda-max-by-real-part-im numeric
@attribute colour-offsets numeric
@attribute n-colours numeric
@attribute relsymm numeric
@attribute diagonal-variance numeric
@attribute departure numeric
@attribute nnzlow numeric
@attribute n-nonzero-diags numeric
@attribute sigma-max numeric
@attribute dummy-rows-kind numeric
@attribute kappa numeric
@attribute n-ritz-values numeric
@attribute colour-set-sizes numeric
@attribute sigma-diag-dist numeric
@attribute symmetry-anorm numeric
@attribute ellipse-ax numeric
@attribute ellipse-ay numeric
@attribute ellipse-cx numeric
@attribute normF numeric
@attribute normInf numeric
@attribute lee95-bound numeric
@attribute lambda-max-by-real-part-re numeric
@attribute nnzdia numeric
@attribute trace-asquared numeric
@attribute ' solver' numeric
@attribute solver_name {bcgs,bicg,ibcgs,lsqr,chebyshev,gmres,lgmres,cg,tcqmr,fgmres,tfqmr}
@attribute pc_name {asm,'bjacobi ',ilu,'jacobi ',icc}
@attribute ' class' {good,bad}

@data
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.120482,-10266.71,2,-1,7.988063,340,?,?,19,0.39311,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,80361467,bcgs,asm,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.120482,-10266.71,2,-1,7.988063,340,?,?,19,0.39311,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,80361465,bcgs,asm,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.120482,-10266.71,2,-1,7.988063,340,?,?,19,0.39311,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,36564233,bicg,asm,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.120482,-10266.71,2,-1,7.988063,340,?,?,19,0.39311,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,36564232,bicg,asm,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.120482,-10266.71,2,-1,7.988063,340,?,?,19,0.39311,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,75830644,ibcgs,asm,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.120482,-10266.71,2,-1,7.988063,340,?,?,19,0.39311,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,13323659,bicg,'bjacobi ',good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.120482,-10266.71,2,-1,7.988063,340,?,?,19,0.39311,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,75830646,ibcgs,asm,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.120482,-10266.71,2,-1,7.988063,340,?,?,19,0.39311,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,38678404,bicg,ilu,bad
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.120482,-10266.71,2,-1,7.988063,340,?,?,19,0.39311,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,29553943,bcgs,ilu,good
?,5307,5,?,?,2780,15,?,5,-13.93736,?,9768,45697.63,2427.003,28847,0,?,4535,45711.66,19178.28,5307,23445,?,0.000008,-46416,?,?,23208.01,71480.92,71480.93,?,13.93527,29.76966,0.042726,?,28847,2797,4535,0.475,0.028421,2,?,28.43969,5308,?,?,6,0.187264,0.000498,101089.2,13771,8311,45711.61,?,1.21084,240,?,12699130,23208.01,13.97896,11.96849,0.002711,101089.3,46416,101089.3,13.93527,5308,467.2417,89565283,lsqr,'jacobi ',bad
