,lambda-max-by-magnitude-im,n-dummy-rows,avgdistfromdiag,symmetry,right-bandwidth,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-min-by-magnitude-re,lambda-max-by-im-part-im,left-bandwidth,nnzeros,sigma-min,upband,norm1,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,lambda-max-by-real-part-im,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,lambda-max-by-im-part-re,col-variability,trace-abs,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,n-struct-unsymm,lambda-max-by-real-part-re,nnzdia,trace-asquared,Best solver time
tols340,3.099442e-06,1.649141e-03,1.907349e-06,1.907349e-05,2.145767e-06,3.449917e-04,2.145767e-06,2.861023e-06,5.006790e-06,3.814697e-06,3.099442e-06,1.908517e-02,7.925880e-01,2.861023e-06,1.907349e-06,1.907349e-06,2.145767e-06,2.145767e-06,1.659870e-03,2.145767e-06,2.861023e-06,1.597404e-05,2.145767e-06,5.388260e-05,1.663923e-03,1.907349e-06,5.292892e-05,2.145767e-06,1.907349e-06,1.907349e-06,2.145767e-06,2.145767e-06,5.912781e-05,1.907349e-06,1.907349e-06,4.131794e-04,1.907349e-06,2.145767e-06,1.725197e-03,3.099442e-06,6.129026e-03,5.960464e-06,1.907349e-06,6.741714e-02,5.960464e-06,2.861023e-06,2.145767e-06,1.907349e-06,1.907349e-06,1.907349e-06,2.861023e-06,1.907349e-06,2.145767e-06,3.814697e-06,3.099442e-06,3.814697e-06,8.106232e-06,2.949238e-04,1.907349e-06,2.145767e-06,2.861023e-06,3.566027e-03,0.009425458
str_200,1.907349e-06,1.712084e-03,1.907349e-06,1.692772e-05,1.907349e-06,2.338886e-04,1.907349e-06,2.861023e-06,3.814697e-06,5.006790e-06,1.907349e-06,2.083707e-02,8.112290e-01,3.099442e-06,2.145767e-06,1.907349e-06,3.099442e-06,2.145767e-06,1.743078e-03,2.145767e-06,3.099442e-06,1.811981e-05,2.861023e-06,5.888939e-05,1.753092e-03,2.861023e-06,7.915497e-05,1.907349e-06,3.099442e-06,2.861023e-06,1.907349e-06,7.152557e-06,6.198883e-05,3.099442e-06,3.099442e-06,4.229546e-04,9.536743e-07,2.145767e-06,1.836061e-03,1.907349e-06,8.448839e-03,6.198883e-06,3.099442e-06,3.589621e-01,6.198883e-06,2.861023e-06,1.907349e-06,2.145767e-06,1.907349e-06,1.907349e-06,2.861023e-06,1.907349e-06,2.145767e-06,4.053116e-06,3.099442e-06,3.814697e-06,1.096725e-05,3.199577e-04,1.192093e-06,2.145767e-06,2.861023e-06,3.789186e-03,0.02785854
tub1000,1.907349e-06,4.590988e-03,1.907349e-06,1.811981e-05,9.536743e-07,2.375126e-03,1.907349e-06,1.907349e-06,4.053116e-06,8.106232e-06,1.907349e-06,5.690598e-02,1.636482e+00,2.861023e-06,2.145767e-06,3.099442e-06,3.099442e-06,9.536743e-07,4.731894e-03,1.907349e-06,3.099442e-06,2.002716e-05,2.145767e-06,5.698204e-05,4.711866e-03,3.099442e-06,7.510185e-05,1.907349e-06,2.145767e-06,1.907349e-06,1.907349e-06,2.145767e-06,2.145767e-06,1.003814e-02,6.699562e-05,1.907349e-06,2.861023e-06,4.160404e-04,1.907349e-06,8.443403e-02,1.907349e-06,4.817009e-03,1.907349e-06,1.399803e-02,5.960464e-06,1.907349e-06,3.842580e+00,7.152557e-06,3.099442e-06,9.536743e-07,2.145767e-06,2.145767e-06,9.536743e-07,2.861023e-06,2.145767e-06,1.907349e-06,4.053116e-06,1.907349e-06,4.053116e-06,1.096725e-05,3.118515e-04,1.907349e-06,2.861023e-06,2.861023e-06,9.796143e-03,0.01393634
str_400,1.907349e-06,1.672029e-03,1.907349e-06,1.597404e-05,2.145767e-06,2.300739e-04,1.907349e-06,2.861023e-06,4.053116e-06,3.814697e-06,1.907349e-06,2.051806e-02,1.267360e+00,3.099442e-06,3.099442e-06,3.099442e-06,3.099442e-06,1.907349e-06,1.744032e-03,1.907349e-06,3.099442e-06,1.811981e-05,1.907349e-06,6.508827e-05,1.760006e-03,2.861023e-06,7.915497e-05,2.145767e-06,2.145767e-06,3.099442e-06,1.907349e-06,9.536743e-07,6.294250e-05,2.145767e-06,2.145767e-06,4.229546e-04,1.907349e-06,1.192093e-06,1.821995e-03,2.861023e-06,8.901834e-03,6.914139e-06,1.907349e-06,3.572800e-01,5.006790e-06,2.861023e-06,1.907349e-06,2.145767e-06,2.861023e-06,1.907349e-06,1.907349e-06,1.907349e-06,2.145767e-06,4.053116e-06,2.145767e-06,5.006790e-06,1.215935e-05,3.218651e-04,2.145767e-06,2.861023e-06,2.861023e-06,3.794909e-03,0.02078531
tols90,2.145767e-06,4.379749e-04,2.145767e-06,1.096725e-05,1.907349e-06,1.029968e-04,1.907349e-06,2.145767e-06,4.053116e-06,4.053116e-06,1.907349e-06,4.855871e-03,1.931860e-01,3.099442e-06,1.907349e-06,1.907349e-06,1.907349e-06,9.536743e-07,4.482269e-04,2.145767e-06,3.099442e-06,1.311302e-05,2.861023e-06,6.008148e-05,4.470348e-04,2.145767e-06,4.005432e-05,1.907349e-06,2.145767e-06,3.099442e-06,9.536743e-07,9.536743e-07,5.793571e-05,1.907349e-06,1.907349e-06,4.220009e-04,1.907349e-06,9.536743e-07,4.870892e-04,1.907349e-06,3.127098e-03,5.006790e-06,2.145767e-06,4.894972e-03,3.814697e-06,1.907349e-06,1.907349e-06,2.145767e-06,2.145767e-06,9.536743e-07,2.145767e-06,1.907349e-06,2.145767e-06,3.814697e-06,1.907349e-06,2.861023e-06,4.768372e-06,2.670288e-04,1.192093e-06,3.099442e-06,1.907349e-06,1.138926e-03,0.01003855
str_0,2.861023e-06,1.715899e-03,1.907349e-06,1.597404e-05,1.907349e-06,1.679897e-03,1.907349e-06,2.861023e-06,5.006790e-06,4.053116e-06,3.099442e-06,2.046418e-02,9.413340e-01,3.099442e-06,2.145767e-06,2.145767e-06,1.907349e-06,1.907349e-06,1.722097e-03,9.536743e-07,2.861023e-06,1.597404e-05,2.145767e-06,5.698204e-05,1.740932e-03,3.099442e-06,6.604195e-05,3.099442e-06,2.145767e-06,1.907349e-06,1.907349e-06,1.907349e-06,6.604195e-05,3.099442e-06,3.099442e-06,4.229546e-04,1.907349e-06,1.907349e-06,1.770020e-03,2.861023e-06,5.900860e-03,6.198883e-06,1.907349e-06,3.480811e-01,5.960464e-06,1.907349e-06,2.145767e-06,2.145767e-06,2.145767e-06,2.145767e-06,3.099442e-06,2.861023e-06,2.145767e-06,4.053116e-06,3.099442e-06,5.006790e-06,1.001358e-05,3.089905e-04,2.145767e-06,1.907349e-06,3.099442e-06,3.749847e-03,0.015172
Trefethen_500,2.145767e-06,2.354145e-03,2.145767e-06,1.692772e-05,2.145767e-06,4.688978e-03,1.907349e-06,3.099442e-06,3.814697e-06,3.814697e-06,2.145767e-06,2.734590e-02,3.948757e+00,2.861023e-06,3.099442e-06,1.907349e-06,2.861023e-06,2.145767e-06,2.429008e-03,1.907349e-06,3.099442e-06,1.907349e-05,2.145767e-06,5.292892e-05,2.435923e-03,3.099442e-06,8.702278e-05,1.907349e-06,9.536743e-07,2.861023e-06,1.907349e-06,2.145767e-06,6.484985e-05,3.099442e-06,2.145767e-06,4.281998e-04,1.192093e-06,9.536743e-07,2.491951e-03,1.907349e-06,1.804209e-02,5.960464e-06,1.907349e-06,1.716399e-02,4.053116e-06,2.861023e-06,2.145767e-06,2.145767e-06,2.145767e-06,9.536743e-07,2.861023e-06,9.536743e-07,1.907349e-06,4.053116e-06,1.907349e-06,3.814697e-06,1.001358e-05,3.418922e-04,9.536743e-07,1.907349e-06,2.145767e-06,5.079031e-03,0.01066226
Trefethen_20b,9.536743e-07,1.060963e-04,2.145767e-06,1.311302e-05,9.536743e-07,1.919270e-04,1.907349e-06,2.861023e-06,4.053116e-06,4.053116e-06,1.907349e-06,8.928776e-04,6.474249e-01,2.861023e-06,1.907349e-06,1.907349e-06,1.907349e-06,2.145767e-06,1.051426e-04,2.145767e-06,2.145767e-06,7.867813e-06,1.907349e-06,5.388260e-05,1.080036e-04,3.099442e-06,2.408028e-05,1.907349e-06,2.145767e-06,1.907349e-06,9.536743e-07,1.907349e-06,3.099442e-06,7.140636e-04,5.817413e-05,2.145767e-06,1.907349e-06,4.129410e-04,9.536743e-07,4.000187e-03,1.907349e-06,1.218319e-04,2.861023e-06,4.000664e-04,5.006790e-06,2.145767e-06,3.900528e-04,4.053116e-06,2.145767e-06,9.536743e-07,1.907349e-06,2.145767e-06,1.907349e-06,3.099442e-06,1.907349e-06,1.907349e-06,4.053116e-06,2.145767e-06,4.053116e-06,4.053116e-06,2.341270e-04,9.536743e-07,3.099442e-06,2.145767e-06,3.988743e-04,0.04746624
tub100,2.145767e-06,4.830360e-04,1.907349e-06,1.287460e-05,9.536743e-07,2.670288e-04,9.536743e-07,2.861023e-06,2.861023e-06,4.053116e-06,1.907349e-06,5.290031e-03,4.121599e-01,3.099442e-06,1.907349e-06,2.145767e-06,1.907349e-06,1.907349e-06,4.930496e-04,2.145767e-06,1.907349e-06,9.059906e-06,1.907349e-06,5.507469e-05,5.021095e-04,2.145767e-06,2.908707e-05,1.907349e-06,1.907349e-06,1.907349e-06,9.536743e-07,2.145767e-06,2.145767e-06,1.318932e-03,5.507469e-05,3.099442e-06,1.907349e-06,4.148483e-04,2.145767e-06,8.996964e-03,1.907349e-06,5.199909e-04,2.861023e-06,1.309872e-03,5.006790e-06,1.907349e-06,6.428957e-03,3.099442e-06,2.145767e-06,1.907349e-06,2.145767e-06,2.145767e-06,1.192093e-06,1.907349e-06,1.907349e-06,1.907349e-06,3.099442e-06,1.907349e-06,3.099442e-06,5.006790e-06,2.379417e-04,2.145767e-06,1.907349e-06,1.907349e-06,1.174212e-03,0.007265696
str_600,2.145767e-06,1.652002e-03,1.907349e-06,1.406670e-05,1.907349e-06,9.512901e-05,1.192093e-06,2.861023e-06,3.814697e-06,4.053116e-06,1.907349e-06,2.035308e-02,1.299071e+00,2.861023e-06,1.907349e-06,1.907349e-06,2.861023e-06,1.907349e-06,1.754999e-03,1.907349e-06,1.907349e-06,1.692772e-05,2.145767e-06,5.602837e-05,1.767159e-03,2.145767e-06,7.796288e-05,2.145767e-06,2.145767e-06,2.861023e-06,2.145767e-06,1.907349e-06,6.198883e-05,2.145767e-06,1.907349e-06,4.339218e-04,2.145767e-06,9.536743e-07,1.850128e-03,3.099442e-06,9.809971e-03,5.006790e-06,1.192093e-06,3.366711e-01,5.006790e-06,1.907349e-06,1.907349e-06,2.145767e-06,1.907349e-06,2.145767e-06,3.099442e-06,2.145767e-06,1.907349e-06,4.053116e-06,1.907349e-06,4.053116e-06,1.096725e-05,3.199577e-04,1.907349e-06,2.861023e-06,1.907349e-06,3.812075e-03,0.01600317
