% Generated on 2015-12-03 17:28:05,  dyna6-73.cs.uoregon.edu: /Users/norris/research/lighthouse/lighthouse-git/sandbox/scripts/anamod2arff.py, Command: "../scripts/anamod2arff.py -f ../petsc/anamod-features -p ../petsc/timing/aciss -n petsc_anamod_aciss -b 10"
@RELATION petsc_data
@ATTRIBUTE lambda-max-by-magnitude-im NUMERIC
@ATTRIBUTE right-bandwidth NUMERIC
@ATTRIBUTE avgdistfromdiag NUMERIC
@ATTRIBUTE symmetry NUMERIC
@ATTRIBUTE n-dummy-rows NUMERIC
@ATTRIBUTE blocksize NUMERIC
@ATTRIBUTE max-nnzeros-per-row NUMERIC
@ATTRIBUTE diag-definite NUMERIC
@ATTRIBUTE avgnnzprow NUMERIC
@ATTRIBUTE lambda-max-by-magnitude-re NUMERIC
@ATTRIBUTE ellipse-cy NUMERIC
@ATTRIBUTE nnzup NUMERIC
@ATTRIBUTE ruhe75-bound NUMERIC
@ATTRIBUTE avg-diag-dist NUMERIC
@ATTRIBUTE nnz NUMERIC
@ATTRIBUTE lambda-min-by-magnitude-re NUMERIC
@ATTRIBUTE lambda-max-by-im-part-im NUMERIC
@ATTRIBUTE left-bandwidth NUMERIC
@ATTRIBUTE norm1 NUMERIC
@ATTRIBUTE sigma-min NUMERIC
@ATTRIBUTE upband NUMERIC
@ATTRIBUTE n-struct-unsymm NUMERIC
@ATTRIBUTE lambda-min-by-magnitude-im NUMERIC
@ATTRIBUTE diagonal-average NUMERIC
@ATTRIBUTE diagonal-dominance NUMERIC
@ATTRIBUTE dummy-rows NUMERIC
@ATTRIBUTE ritz-values-r NUMERIC
@ATTRIBUTE symmetry-snorm NUMERIC
@ATTRIBUTE symmetry-fanorm NUMERIC
@ATTRIBUTE symmetry-fsnorm NUMERIC
@ATTRIBUTE colours NUMERIC
@ATTRIBUTE lambda-max-by-im-part-re NUMERIC
@ATTRIBUTE col-variability NUMERIC
@ATTRIBUTE trace-abs NUMERIC
@ATTRIBUTE ritz-values-c NUMERIC
@ATTRIBUTE nnzeros NUMERIC
@ATTRIBUTE diag-zerostart NUMERIC
@ATTRIBUTE loband NUMERIC
@ATTRIBUTE positive-fraction NUMERIC
@ATTRIBUTE trace NUMERIC
@ATTRIBUTE min-nnzeros-per-row NUMERIC
@ATTRIBUTE diagonal-sign NUMERIC
@ATTRIBUTE row-variability NUMERIC
@ATTRIBUTE nrows NUMERIC
@ATTRIBUTE lambda-max-by-real-part-im NUMERIC
@ATTRIBUTE colour-offsets NUMERIC
@ATTRIBUTE n-colours NUMERIC
@ATTRIBUTE relsymm NUMERIC
@ATTRIBUTE diagonal-variance NUMERIC
@ATTRIBUTE departure NUMERIC
@ATTRIBUTE nnzlow NUMERIC
@ATTRIBUTE n-nonzero-diags NUMERIC
@ATTRIBUTE sigma-max NUMERIC
@ATTRIBUTE dummy-rows-kind NUMERIC
@ATTRIBUTE kappa NUMERIC
@ATTRIBUTE n-ritz-values NUMERIC
@ATTRIBUTE colour-set-sizes NUMERIC
@ATTRIBUTE sigma-diag-dist NUMERIC
@ATTRIBUTE symmetry-anorm NUMERIC
@ATTRIBUTE ellipse-ax NUMERIC
@ATTRIBUTE ellipse-ay NUMERIC
@ATTRIBUTE ellipse-cx NUMERIC
@ATTRIBUTE normF NUMERIC
@ATTRIBUTE normInf NUMERIC
@ATTRIBUTE lee95-bound NUMERIC
@ATTRIBUTE lambda-max-by-real-part-re NUMERIC
@ATTRIBUTE nnzdia NUMERIC
@ATTRIBUTE trace-asquared NUMERIC
@ATTRIBUTE solver {"89565283","8793455","90197667","49598909","91036839","45869639","45869638","45869637","47942867","89269802","89269803","89269801","89269804","59072883","59072882","59072881","7285381","7285384","59072884","49598911","49598910","49598912","30870721","36025723","36025722","53302993","30870720","64278029","36025724","44526267","8793454","8793456","8793453","17734818","32168839","32168838","57331597","95762352","57331599","57331598","32168837","88865078","88865079","49834417","49834419","49834418","88865076","88865077","11256942","11256943","11256941","42851841","11256944","31459546","17887723","91845162","53362206","95762355","12321508","75830644","57331600","43373444","95762353","43373441","43373442","43373443","91068411","91068410","5890861","85483012","5890863","5890862","18868444","18868441","18868443","18868442","91068408","47942864","47942865","47942866","91068409","8520536","5890860","82456576","29030069","95762354","90783920","99720138","29030071","29030070","29030072","85490469","30870723","30870722","26415435","26415434","26415433","26415432","13323659","45869640","36564233","68908713","7285382","36564232","7285383","75830645","36564234","81986705","29553941","29553943","29553942","69654761","29553944","69654763","69654762","32874609","32168840","90197664","90197665","90197666","69654760","37052870","37052871","19932321","19932323","19932322","19932324","80361466","80361467","80361464","80361465","49834420","1216556","38678404","38678401","38678402","38678403","32874611","32874610","32874612","44114477","44114476","44114479","44114478","36564235","36025721","75830647","75830646","85490471","85490470","85490472","18524981","37052869","37052868"}
@ATTRIBUTE class {good,bad}
@DATA

?,4535,4,?,?,2358,13,?,4,-4.336809e-19,?,9622,2889389.0,2408.001,24816,-4.336809e-19,?,5307,2296333.0,1006940.0,4535,19442,?,0.03475248,-4527171.0,?,?,2263587.0,6139938.0,6138309.0,?,454.078,28.7351,184.4662,?,24816,2386,5307,0.525,184.4662,2,1,26.60895,5308,?,?,6,0.2165538,2.517999,8680877.0,9886,7953,2989389.0,?,183.6379,240,?,14946320.0,2263587.0,577.7818,100000.0,-33.23191,8682031.0,4527171.0,8680879.0,491.2643,5308,-20000880000.0,"37052868",good
?,5789,7,?,?,4,60,?,7,1.0,?,14185,11223000.0,2314.406,45465,4.072221e-07,?,5837,26524340.0,11223100.0,5789,?,?,41691.86,-37533560.0,?,?,?,?,?,?,1.0,24.13064,243897400.0,?,45465,5850,5837,0.09090909,-243890600.0,2,?,19.29646,5850,?,?,13,?,400518.0,67964580.0,25430,1752,18445420.0,?,75008.05,44,?,16429140.0,?,3828716.0,100.3602,-3828656.0,74617540.0,37533560.0,?,10.77404,5850,?,"69654763",good
?,15047,13,?,?,4,153,?,13,1.0,?,259195,340484500.0,6827.318,565956,4.072221e-07,?,14782,535673000.0,340494700.0,15047,506896,?,179027.7,-766652800.0,?,?,383326400.0,1600979000.0,1662718000.0,?,1.0,26.32059,7427858000.0,?,565956,41490,14782,0.09090909,-7427811000.0,2,?,19.77358,41490,?,?,26,0.1043544,2196468.0,2264127000.0,265271,4180,397753600.0,?,8018.001,22,?,120399000.0,383326400.0,40741810.0,?,-40731650.0,2308196000.0,766652800.0,2264127000.0,13.72258,41490,2.014971e+17,"29030070",bad
?,15047,13,?,?,4,153,?,13,1.0,?,259195,340484500.0,6827.318,565956,4.072221e-07,?,14782,535673000.0,340494700.0,15047,506896,?,179027.7,-766652800.0,?,?,383326400.0,1600979000.0,1662718000.0,?,1.0,26.32059,7427858000.0,?,565956,41490,14782,0.09090909,-7427811000.0,2,?,19.77358,41490,?,?,26,0.1043544,2196468.0,2264127000.0,265271,4180,397753600.0,?,8018.001,22,?,120399000.0,383326400.0,40741810.0,?,-40731650.0,2308196000.0,766652800.0,2264127000.0,13.72258,41490,2.014971e+17,"37052868",good
?,?,3,?,1357,1,5,1,3,6.850103e-05,?,?,0.0001789352,1953.308,20209,6.376835e-06,?,5147,0.000298285,0.0001798093,?,?,?,3.38279e-05,-4.065758e-20,?,?,?,?,?,?,5.597036e-05,6.660474,0.175127,?,20209,5177,5147,1.0,0.175127,1,2,6.660474,5177,?,?,4,?,2.879528e-05,0.0008908963,15032,3152,0.0001950849,1,170.6343,18,?,16876020.0,?,7.413828e-05,1.024167e-06,7.501237e-05,0.003318204,0.0002237138,?,0.0001491425,5177,?,"37052868",good
?,864,4,?,?,224,36,?,4,2.871652,?,2118,0.4420763,460.3435,5976,0.1818182,?,864,5.727394,0.9999736,864,?,?,0.2578104,-1.0,?,?,?,?,?,?,2.87165,100.9417,314.5286,?,5976,1154,864,0.6,314.5286,2,1,100.9417,1220,?,?,5,?,0.2616712,0.0009880488,2638,1601,2.871652,?,5.147276,20,?,475474.4,?,1.935826,?,0.9358259,18.80821,5.727273,?,2.871652,1220,?,"69654763",good
?,2486,4,?,?,1295,11,?,4,-402.8296,?,4749,61565.83,1295.488,11886,-402.8296,?,2835,62073.03,30000.0,2486,8978,?,0.008882524,-91954.07,?,?,60123.42,317004.2,317004.1,?,497.9248,13.73004,25.19084,?,11886,1299,2835,0.5,-25.19084,2,-1,9.192277,2836,?,?,6,0.2446576,0.4545542,448244.5,4301,4290,62063.76,?,7.165538,240,?,4218191.0,60123.42,450.3772,473.5546,47.54759,448311.5,91954.07,448311.5,497.9248,2836,-57465.26,"29030070",good
?,2486,4,?,?,1295,11,?,4,-402.8296,?,4749,61565.83,1295.488,11886,-402.8296,?,2835,62073.03,30000.0,2486,8978,?,0.008882524,-91954.07,?,?,60123.42,317004.2,317004.1,?,497.9248,13.73004,25.19084,?,11886,1299,2835,0.5,-25.19084,2,-1,9.192277,2836,?,?,6,0.2446576,0.4545542,448244.5,4301,4290,62063.76,?,7.165538,240,?,4218191.0,60123.42,450.3772,473.5546,47.54759,448311.5,91954.07,448311.5,497.9248,2836,-57465.26,"37052868",bad
?,10000,39,?,?,163,77,?,39,-625.9829,?,21299,1739.072,14332.1,812862,0.9821908,?,20049,2942.475,443.0016,10000,771520,?,1.090976,-2942.475,?,?,2896.957,2977.58,3191.701,?,543.8087,13.4054,22227.54,?,812862,20374,20049,0.4375,18331.4,3,?,13.4054,20374,?,?,9,0.0508598,1.946999,3942.71,771189,10559,2365.055,?,3.39934,48,?,839074000.0,2534.108,584.8958,297.9568,-41.08709,4364.967,2942.475,4210.934,543.8087,20374,1320972.0,"29030070",good
?,1800,6,?,?,76,1310,?,6,0.002150298,?,5581,0.08645941,792.7765,11119,0.0003513319,?,1763,2.957396,0.0896009,1800,?,?,0.003899085,-1.072868,?,?,?,?,?,?,0.0006159784,295.84,7.069041,?,11119,1813,1763,0.5813953,7.069041,2,1,295.84,1813,?,?,7,?,0.03972554,0.04062131,3725,3123,1.610171,?,512.5285,43,?,1327519.0,?,1.30505,0.002339745,0.3050501,4.579824,2.99671,?,1.6101,1813,?,"29030070",good
?,1800,6,?,?,76,1310,?,6,0.002150298,?,5581,0.08645941,792.7765,11119,0.0003513319,?,1763,2.957396,0.0896009,1800,?,?,0.003899085,-1.072868,?,?,?,?,?,?,0.0006159784,295.84,7.069041,?,11119,1813,1763,0.5813953,7.069041,2,1,295.84,1813,?,?,7,?,0.03972554,0.04062131,3725,3123,1.610171,?,512.5285,43,?,1327519.0,?,1.30505,0.002339745,0.3050501,4.579824,2.99671,?,1.6101,1813,?,"37052868",bad
?,1801,6,?,?,76,1310,?,6,5.544549,?,5669,0.06077387,793.6791,11238,0.0003510933,?,1763,7.749682,0.08181135,1801,?,?,0.00632685,-1.053779,?,?,?,?,?,?,5.544549,261.0569,11.47058,?,11238,1813,1763,0.7142857,11.47058,2,1,261.0569,1813,?,?,7,?,0.09937656,0.04187731,3756,3126,5.544571,?,263.5557,98,?,1327058.0,?,3.272275,?,2.272275,6.945972,7.789352,?,5.544549,1813,?,"37052868",good
?,2486,4,?,?,1295,11,?,4,-402.8296,?,4749,61565.83,1295.615,11887,-402.8296,?,2835,62073.03,30000.0,2486,8979,?,0.008882524,-91954.07,?,?,60123.42,317004.2,317004.1,?,497.9248,13.73004,25.19084,?,11887,1299,2835,0.5,-25.19084,2,-1,9.192277,2836,?,?,6,0.244637,0.4545542,448244.5,4302,4291,62063.76,?,7.165538,240,?,4219856.0,60123.42,450.3772,473.5546,47.54759,448311.5,91954.07,448311.5,497.9248,2836,-57465.26,"29030070",good
?,126,13,?,1,10,42,?,13,-48.57614,?,12308,534.1954,211.4095,14259,1.0,?,948,589.945,27.13174,126,?,?,0.1444198,-683.0336,?,?,?,?,?,?,10.19203,6.873879,151.3519,?,14259,1048,948,0.423913,-101.1952,1,?,6.873879,1048,?,?,12,?,1.677676,601.88,903,232,582.7715,?,21.2988,92,?,238478.3,?,29.38409,3.449078,-19.19205,605.001,683.0336,?,10.19203,1048,?,"29030070",good
?,2486,4,?,?,1295,11,?,4,497.9248,?,4749,61565.83,1295.338,11887,0.000488049,?,2835,62073.03,11524.43,2486,?,?,0.008882524,-91954.07,?,?,?,?,?,?,497.9248,13.73004,25.19084,?,11887,1299,2835,0.4875,-25.19084,2,-1,9.192277,2836,?,?,6,?,0.4545542,448258.5,4302,4290,62063.76,?,7.882301,240,?,4219733.0,?,450.3772,473.5546,47.54759,448311.5,91954.07,?,497.9248,2836,?,"29030070",good
?,203,7,?,?,2,10,1,7,5.502378,?,1242,1.532411,132.963,2860,0.01232714,?,203,8.459492,1.532653,203,?,?,0.5420469,-2.078442,?,?,?,?,?,?,5.502378,22.50512,216.8188,?,2860,400,203,1.0,216.8188,2,2,22.50512,400,?,?,8,?,0.307282,3.146549,1218,27,5.732038,?,22681.91,67,?,43826.48,?,2.751068,0.0009072572,2.75131,15.27381,6.325838,?,5.502378,400,?,"37052868",good
?,100,8,?,?,99,9,1,8,56267.25,?,38612,46646.47,66.22222,87025,100.4695,?,100,84152.5,46646.78,100,?,?,1666.789,-0.07760163,?,?,?,?,?,?,56267.25,1.096194,16336200.0,?,87025,9801,100,1.0,16336200.0,4,2,1.393384,9801,?,?,8,?,3565.913,8408.434,38612,9,56316.53,?,179235.1,30,?,10920.05,?,28133.47,?,28133.78,411735.3,84152.58,?,56267.25,9801,?,"69654763",good
