% Generated on 2015-12-03 20:04:47,  dyna6-73.cs.uoregon.edu: /Users/norris/research/lighthouse/lighthouse-git/sandbox/scripts/anamod2arff.py, Command: "../scripts/anamod2arff.py -f ../petsc/anamod-features -p ../petsc/timing/aciss -n petsc_anamod_aciss -b 12"
lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-min-by-magnitude-re,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,nnzeros,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared, solver, class
0,5307,5,0,0,2780,15,0,5,-13.93736,0,9768,45697.63,2427.003,28847,1.433113e-07,0,4535,45711.66,19178.28,5307,23445,0,8.049326e-06,-46416.0,0,0,23208.01,71480.92,71480.93,0,13.93527,29.76966,0.04272582,0,28847,2797,4535,0.475,0.02842108,2,0,28.43969,5308,0,0,6,0.1872638,0.0004979768,101089.2,13771,8311,45711.61,0,1.21084,240,0,12699130.0,23208.01,13.97896,11.96849,0.002711133,101089.3,46416.0,101089.3,13.93527,5308,467.2417,"29030070",-1
0,5307,5,0,0,2780,15,0,5,-13.93736,0,9768,45697.63,2427.003,28847,1.433113e-07,0,4535,45711.66,19178.28,5307,23445,0,8.049326e-06,-46416.0,0,0,23208.01,71480.92,71480.93,0,13.93527,29.76966,0.04272582,0,28847,2797,4535,0.475,0.02842108,2,0,28.43969,5308,0,0,6,0.1872638,0.0004979768,101089.2,13771,8311,45711.61,0,1.21084,240,0,12699130.0,23208.01,13.97896,11.96849,0.002711133,101089.3,46416.0,101089.3,13.93527,5308,467.2417,"37052868",1
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389.0,2407.43,24791,0,0,5307,2296333.0,939318.3,4535,0,0,0.03475248,-4527171.0,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.4916667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837.0,9869,7951,2989389.0,0,192.0068,240,0,14939860.0,0,667.8895,100000.0,-42.91292,8681992.0,4527171.0,0,491.2643,5308,0,"29030070",-1
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389.0,2407.43,24791,0,0,5307,2296333.0,939318.3,4535,0,0,0.03475248,-4527171.0,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.4916667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837.0,9869,7951,2989389.0,0,192.0068,240,0,14939860.0,0,667.8895,100000.0,-42.91292,8681992.0,4527171.0,0,491.2643,5308,0,"69654763",1
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389.0,2407.43,24791,0,0,5307,2296333.0,939318.3,4535,0,0,0.03475248,-4527171.0,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.4916667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837.0,9869,7951,2989389.0,0,192.0068,240,0,14939860.0,0,667.8895,100000.0,-42.91292,8681992.0,4527171.0,0,491.2643,5308,0,"37052868",-1
0,4535,4,0,0,2358,13,0,4,-4.336809e-19,0,9622,2889389.0,2408.001,24816,-4.336809e-19,0,5307,2296333.0,1006940.0,4535,19442,0,0.03475248,-4527171.0,0,0,2263587.0,6139938.0,6138309.0,0,454.078,28.7351,184.4662,0,24816,2386,5307,0.525,184.4662,2,1,26.60895,5308,0,0,6,0.2165538,2.517999,8680877.0,9886,7953,2989389.0,0,183.6379,240,0,14946320.0,2263587.0,577.7818,100000.0,-33.23191,8682031.0,4527171.0,8680879.0,491.2643,5308,-20000880000.0,"29030070",-1
0,4535,4,0,0,2358,13,0,4,-4.336809e-19,0,9622,2889389.0,2408.001,24816,-4.336809e-19,0,5307,2296333.0,1006940.0,4535,19442,0,0.03475248,-4527171.0,0,0,2263587.0,6139938.0,6138309.0,0,454.078,28.7351,184.4662,0,24816,2386,5307,0.525,184.4662,2,1,26.60895,5308,0,0,6,0.2165538,2.517999,8680877.0,9886,7953,2989389.0,0,183.6379,240,0,14946320.0,2263587.0,577.7818,100000.0,-33.23191,8682031.0,4527171.0,8680879.0,491.2643,5308,-20000880000.0,"69654763",-1
0,4535,4,0,0,2358,13,0,4,-4.336809e-19,0,9622,2889389.0,2408.001,24816,-4.336809e-19,0,5307,2296333.0,1006940.0,4535,19442,0,0.03475248,-4527171.0,0,0,2263587.0,6139938.0,6138309.0,0,454.078,28.7351,184.4662,0,24816,2386,5307,0.525,184.4662,2,1,26.60895,5308,0,0,6,0.2165538,2.517999,8680877.0,9886,7953,2989389.0,0,183.6379,240,0,14946320.0,2263587.0,577.7818,100000.0,-33.23191,8682031.0,4527171.0,8680879.0,491.2643,5308,-20000880000.0,"37052868",1
0,5307,5,0,0,2780,15,0,5,-35.17876,0,9768,53399.74,2427.391,28845,1.527257e-07,0,4535,45386.36,18105.65,5307,23443,0,2.077875e-05,-80906.14,0,0,40453.08,150762.8,150762.8,0,35.17646,28.93934,0.1102936,0,28845,2797,4535,0.5,0.07423522,2,0,27.24262,5308,0,0,6,0.1872768,0.001290178,213210.5,13769,8307,53434.82,0,1.195174,240,0,12697670.0,40453.08,34.99241,31.02565,0.08245465,213210.8,80906.14,213210.8,35.17646,5308,2944.95,"29030070",-1
0,5307,5,0,0,2780,15,0,5,-35.17876,0,9768,53399.74,2427.391,28845,1.527257e-07,0,4535,45386.36,18105.65,5307,23443,0,2.077875e-05,-80906.14,0,0,40453.08,150762.8,150762.8,0,35.17646,28.93934,0.1102936,0,28845,2797,4535,0.5,0.07423522,2,0,27.24262,5308,0,0,6,0.1872768,0.001290178,213210.5,13769,8307,53434.82,0,1.195174,240,0,12697670.0,40453.08,34.99241,31.02565,0.08245465,213210.8,80906.14,213210.8,35.17646,5308,2944.95,"69654763",-1
