% Generated on 2017-04-18 20:28:56,  dyna6-45.cs.uoregon.edu: /Users/norris/research/lighthouse/lighthouse-git/sandbox/scripts/anamod2arff.py, Command: "../scripts/anamod2arff.py -f ../petsc/anamod-features/ -p /Users/norris/research/lighthouse/lighthouse-data/timing-arya16 -n petsc_anamod_arya_p16_30"
@RELATION petsc_data
@ATTRIBUTE lambda-max-by-magnitude-im NUMERIC
@ATTRIBUTE right-bandwidth NUMERIC
@ATTRIBUTE n-nonzero-diags NUMERIC
@ATTRIBUTE n-dummy-rows NUMERIC
@ATTRIBUTE blocksize NUMERIC
@ATTRIBUTE max-nnzeros-per-row NUMERIC
@ATTRIBUTE diag-definite NUMERIC
@ATTRIBUTE avgnnzprow NUMERIC
@ATTRIBUTE lambda-max-by-magnitude-re NUMERIC
@ATTRIBUTE ellipse-cy NUMERIC
@ATTRIBUTE nnzup NUMERIC
@ATTRIBUTE ruhe75-bound NUMERIC
@ATTRIBUTE avg-diag-dist NUMERIC
@ATTRIBUTE nnz NUMERIC
@ATTRIBUTE lambda-min-by-magnitude-re NUMERIC
@ATTRIBUTE lambda-max-by-im-part-im NUMERIC
@ATTRIBUTE left-bandwidth NUMERIC
@ATTRIBUTE norm1 NUMERIC
@ATTRIBUTE sigma-min NUMERIC
@ATTRIBUTE upband NUMERIC
@ATTRIBUTE nnzeros NUMERIC
@ATTRIBUTE lambda-min-by-magnitude-im NUMERIC
@ATTRIBUTE diagonal-average NUMERIC
@ATTRIBUTE diagonal-dominance NUMERIC
@ATTRIBUTE dummy-rows NUMERIC
@ATTRIBUTE ritz-values-r NUMERIC
@ATTRIBUTE nnzlow NUMERIC
@ATTRIBUTE colours NUMERIC
@ATTRIBUTE lambda-max-by-im-part-re NUMERIC
@ATTRIBUTE col-variability NUMERIC
@ATTRIBUTE trace-abs NUMERIC
@ATTRIBUTE ritz-values-c NUMERIC
@ATTRIBUTE diag-zerostart NUMERIC
@ATTRIBUTE loband NUMERIC
@ATTRIBUTE positive-fraction NUMERIC
@ATTRIBUTE trace NUMERIC
@ATTRIBUTE min-nnzeros-per-row NUMERIC
@ATTRIBUTE diagonal-sign NUMERIC
@ATTRIBUTE row-variability NUMERIC
@ATTRIBUTE nrows NUMERIC
@ATTRIBUTE colour-offsets NUMERIC
@ATTRIBUTE n-colours NUMERIC
@ATTRIBUTE diagonal-variance NUMERIC
@ATTRIBUTE departure NUMERIC
@ATTRIBUTE dummy-rows-kind NUMERIC
@ATTRIBUTE kappa NUMERIC
@ATTRIBUTE sigma-max NUMERIC
@ATTRIBUTE colour-set-sizes NUMERIC
@ATTRIBUTE sigma-diag-dist NUMERIC
@ATTRIBUTE n-ritz-values NUMERIC
@ATTRIBUTE ellipse-ax NUMERIC
@ATTRIBUTE ellipse-ay NUMERIC
@ATTRIBUTE ellipse-cx NUMERIC
@ATTRIBUTE normF NUMERIC
@ATTRIBUTE normInf NUMERIC
@ATTRIBUTE lambda-max-by-real-part-im NUMERIC
@ATTRIBUTE lambda-max-by-real-part-re NUMERIC
@ATTRIBUTE nnzdia NUMERIC
@ATTRIBUTE avgdistfromdiag NUMERIC
@ATTRIBUTE solver {"11256944","99720138","11256942","11256943","11256941","42851841","81986705","82456576","53362206","45869639","45869638","45869637","12321508","30870723","53302993","44526267","90783920","30870722","30870721","30870720","36564233","36564232","36564235","36564234","13323659","95762355","95762354","95762353","95762352","45869640"}
@ATTRIBUTE class {good,bad}
@DATA

?,4075,677,?,15,44,?,6,1.0,?,21248,1296111.0,531.1832,56175,1.0,?,1375,2097152.0,185362.6,4075,56175,?,3951.81,-1048585.0,?,?,25798,?,1.0,9.976185,36076070.0,?,9129,1375,0.9615385,36058130.0,2,?,13.15285,9129,?,8,36868.92,5565253.0,?,6822.776,2344687.0,?,921202.6,52,524416.0,36.51342,524160.0,6597258.0,3145737.0,?,1048576.0,9129,6,"82456576",good
?,227,432,3,12,40,?,8,-6.782299e-17,?,1017,135.848,112.4931,2642,?,?,255,1700.0,43.84218,227,2642,?,?,-197.0,?,?,1328,?,?,1.845098,?,?,?,255,0.4310345,?,1,10,1.845098,297,?,9,?,305.4935,1,15.77402,183.8757,?,35712.17,58,33.07367,17.32516,14.95402,321.9829,197.0,?,48.02769,297,8,"82456576",good
?,257,11,?,16,8,1,4,0.9432992,?,984,0.6841173,142.7273,2500,0.2628557,?,272,1.0,0.9469731,257,2500,?,0.6934856,0.2206807,?,?,1004,?,0.2628557,3.748847,355.0646,?,512,272,1.0,355.0646,3,2,3.748847,512,?,5,0.2173707,0.1478288,?,3.720327,0.9776981,?,56211.44,27,0.3575268,?,0.6203826,16.51173,1.0,?,0.9779095,512,4,"82456576",bad
?,257,11,?,16,8,1,4,0.9432992,?,984,0.6841173,142.7273,2500,0.2628557,?,272,1.0,0.9469731,257,2500,?,0.6934856,0.2206807,?,?,1004,?,0.2628557,3.748847,355.0646,?,512,272,1.0,355.0646,3,2,3.748847,512,?,5,0.2173707,0.1478288,?,3.720327,0.9776981,?,56211.44,27,0.3575268,?,0.6203826,16.51173,1.0,?,0.9779095,512,4,"12321508",good
?,257,11,?,16,8,1,4,0.9432992,?,984,0.6841173,142.7273,2500,0.2628557,?,272,1.0,0.9469731,257,2500,?,0.6934856,0.2206807,?,?,1004,?,0.2628557,3.748847,355.0646,?,512,272,1.0,355.0646,3,2,3.748847,512,?,5,0.2173707,0.1478288,?,3.720327,0.9776981,?,56211.44,27,0.3575268,?,0.6203826,16.51173,1.0,?,0.9779095,512,4,"95762354",bad
?,?,780,11,1,76,?,24,?,?,?,?,389.709,19976,?,?,796,60.0,?,?,19976,?,?,-75.0,?,?,19176,?,?,?,?,?,?,796,0.5182927,?,1,10,?,800,?,14,?,137.8405,1,1.088241,?,?,658348.4,164,1.443587,1.426929,-0.007054431,138.4774,75.0,?,?,800,24,"82456576",good
?,?,783,21,1,64,?,24,?,?,?,10.0153,391.1111,19976,?,?,793,61.0,10.87709,?,19976,?,?,-63.0,?,?,19176,?,?,?,?,?,?,793,0.5041667,?,1,10,?,800,?,13,?,137.913,1,1.157812,11.48492,?,663045.9,240,1.424722,1.422632,0.04111208,138.4774,63.0,?,?,800,24,"82456576",good
?,2500,3056,?,163,77,?,38,-625.9829,?,6374,1739.072,3190.871,205512,0.9035764,?,5049,2942.475,442.9746,2500,205512,?,1.344908,-2942.475,?,?,193764,?,543.8087,6.730955,7227.538,?,5374,5049,0.42,3331.404,3,?,6.730955,5374,?,9,3.779442,3912.911,?,3.396799,2365.055,?,42793680.0,50,584.8958,297.9568,-41.08709,4337.153,2942.475,?,543.8087,5374,38,"82456576",good
?,10000,10559,?,163,77,?,39,-625.9829,?,21299,1739.072,14332.1,812862,0.9821908,?,20049,2942.475,443.0016,10000,812862,?,1.090976,-2942.475,?,?,771189,?,543.8087,13.4054,22227.54,?,20374,20049,0.4375,18331.4,3,?,13.4054,20374,?,9,1.946999,3942.71,?,3.39934,2365.055,?,839074000.0,48,584.8958,297.9568,-41.08709,4364.967,2942.475,?,543.8087,20374,39,"82456576",good
