% Generated on 2015-06-10 14:15:38,  dyna6-73.cs.uoregon.edu: /Users/norris/research/lighthouse/lighthouse-git/sandbox/petsc/scripts/anamod2arff.py, Command: "../scripts/anamod2arff.py -f ../anamod-features -p ../timing/bgq -n solvers_anamod"
lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-min-by-magnitude-re,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,lee96-lbound,ritz-values-c,nnzeros,lee96-ubound,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,commutator-normF,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared, solver, class
?,100,8,?,?,99,9,1,8,490.068,?,38612,417.1434,66.22222,87025,4.816579,?,100,760.8224,417.1509,100,?,?,18.7483,-1.923689,?,?,761.5104,58.98457,3646.587,?,489.6732,1.032237,183752.1,1.657253,?,87025,6958.36,9801,100,1.0,183752.1,4,10405.67,2,1.140008,9801,?,?,8,1.0,29.40092,83.41673,38612,9,490.338,?,65554.59,22,?,10920.05,20.96783,245.0302,?,245.0377,3647.064,762.1984,83.41679,490.068,9801,13294120.0,89565283,good
?,5307,5,?,?,2780,15,?,5,-29.1088,?,9757,45420.42,2427.286,28847,-1.416014e-07,?,4535,45443.18,35724.77,5307,23445,?,1.708457e-05,-67552.76,?,?,33776.39,126454.6,126454.6,?,29.10652,27.41011,0.09068491,?,?,28847,?,2797,4535,0.5,0.06084166,2,?,?,27.05915,5308,?,?,6,0.1872638,0.001059743,178833.5,13782,8312,45450.45,?,1.229103,240,?,12699510.0,33776.39,29.5131,25.61141,-0.5219136,178833.8,67552.76,178833.8,29.10652,5308,2020.211,89565283,bad
?,4535,4,?,?,2358,13,?,4,-2.168404e-19,?,9605,2889389.0,2407.108,24783,-2.168404e-19,?,5307,2296333.0,1006940.0,4535,19409,?,0.03475248,-4527171.0,?,?,2263587.0,6139878.0,6138249.0,?,454.078,27.27038,184.4662,?,?,24783,?,2386,5307,0.475,184.4662,2,?,1,26.60902,5308,?,?,6,0.2168422,2.517999,8680793.0,9870,7950,2989389.0,?,188.4794,240,?,14932460.0,2263587.0,791.5987,100000.0,171.8829,8681947.0,4527171.0,8680795.0,491.2643,5308,-20000880000.0,89565283,good
?,4535,4,?,?,2358,13,?,4,?,?,9614,2889389.0,2407.43,24791,?,?,5307,2296333.0,939318.3,4535,?,?,0.03475248,-4527171.0,?,?,?,?,?,?,?,27.93044,184.4662,?,?,24791,?,2386,5307,0.4916667,184.4662,2,?,1,29.9565,5308,?,?,6,?,2.517999,8680837.0,9869,7951,2989389.0,?,192.0068,240,?,14939860.0,?,667.8895,100000.0,-42.91292,8681992.0,4527171.0,?,491.2643,5308,?,89565283,good
?,4535,4,?,?,2358,13,?,4,-4.336809e-19,?,9622,2889389.0,2408.001,24816,-4.336809e-19,?,5307,2296333.0,1006940.0,4535,19442,?,0.03475248,-4527171.0,?,?,2263587.0,6139938.0,6138309.0,?,454.078,28.7351,184.4662,?,?,24816,?,2386,5307,0.525,184.4662,2,?,1,26.60895,5308,?,?,6,0.2165538,2.517999,8680877.0,9886,7953,2989389.0,?,183.6379,240,?,14946320.0,2263587.0,577.7818,100000.0,-33.23191,8682031.0,4527171.0,8680879.0,491.2643,5308,-20000880000.0,89565283,good
?,5307,5,?,?,2780,15,?,5,-35.17876,?,9768,53399.74,2427.391,28845,1.527257e-07,?,4535,45386.36,18105.65,5307,23443,?,2.077875e-05,-80906.14,?,?,40453.08,150762.8,150762.8,?,35.17646,28.93934,0.1102936,?,?,28845,?,2797,4535,0.5,0.07423522,2,?,?,27.24262,5308,?,?,6,0.1872768,0.001290178,213210.5,13769,8307,53434.82,?,1.195174,240,?,12697670.0,40453.08,34.99241,31.02565,0.08245465,213210.8,80906.14,213210.8,35.17646,5308,2944.95,89565283,good
?,4535,4,?,?,2358,13,?,4,?,?,9619,2863795.0,2407.696,24792,?,?,5307,2276611.0,1004941.0,4535,19418,?,0.03507346,-4487511.0,?,?,2243757.0,6146718.0,6145091.0,?,?,29.69753,186.1699,?,?,24792,?,2386,5307,0.5416667,186.1699,2,?,1,31.74282,5308,?,?,6,0.2167635,2.541382,8690469.0,9865,7950,2963795.0,?,184.4341,240,?,14942110.0,2243757.0,825.3887,100000.0,285.5495,8691622.0,4487511.0,8690471.0,490.6939,5308,-20000880000.0,89565283,bad
?,4535,4,?,?,2358,13,?,4,4.607859e-19,?,9622,2863795.0,2407.734,24809,4.607859e-19,?,5307,2276611.0,937583.4,4535,?,?,0.03507346,-4487511.0,?,?,?,?,?,?,4.607859e-19,28.93907,186.1699,?,?,24809,?,2386,5307,0.4833333,186.1699,2,?,1,26.49207,5308,?,?,6,?,2.541382,8690481.0,9879,7952,2963795.0,?,194.9634,240,?,14946190.0,?,671.2212,100000.0,-46.87728,8691634.0,4487511.0,?,490.6939,5308,?,89565283,bad
?,4535,4,?,?,2358,13,?,4,4.607859e-19,?,9622,2863795.0,2407.734,24809,4.607859e-19,?,5307,2276611.0,937583.4,4535,?,?,0.03507346,-4487511.0,?,?,?,?,?,?,4.607859e-19,28.93907,186.1699,?,?,24809,?,2386,5307,0.4833333,186.1699,2,?,1,26.49207,5308,?,?,6,?,2.541382,8690481.0,9879,7952,2963795.0,?,194.9634,240,?,14946190.0,?,671.2212,100000.0,-46.87728,8691634.0,4487511.0,?,490.6939,5308,?,68908713,good
?,5307,5,?,?,2780,15,?,5,-33.39543,?,9764,50812.22,2427.031,28848,-1.535255e-07,?,4535,45348.06,17206.74,5307,?,?,1.962205e-05,-76988.58,?,?,?,?,?,?,33.39287,29.3272,0.1041538,?,?,28848,?,2797,4535,0.4958333,0.06974074,2,?,?,27.41537,5308,?,?,6,?,0.001216398,204285.1,13776,8309,50850.97,?,1.571096,240,?,12696190.0,?,34.43819,33.4492,-1.036982,204285.4,76988.58,?,33.39287,5308,?,89565283,bad
?,4535,4,?,?,2358,13,?,4,3.252607e-19,?,9616,2855328.0,2407.284,24790,3.252607e-19,?,5307,2270087.0,936210.4,4535,?,?,0.03505887,-4474379.0,?,?,?,?,?,?,3.252607e-19,28.94268,186.0925,?,?,24790,?,2386,5307,0.4958333,186.0925,2,?,1,26.7714,5308,?,?,6,?,2.540319,8657358.0,9866,7949,2955328.0,?,203.6607,240,?,14934340.0,?,673.8211,100000.0,-51.98303,8658516.0,4474379.0,?,488.377,5308,?,89565283,bad
?,4535,4,?,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,19435,?,0.03505887,-4474379.0,?,?,2237191.0,6123304.0,6121670.0,?,6.505213e-19,28.94268,186.0925,?,?,24809,?,2386,5307,0.475,186.0925,2,?,1,26.49182,5308,?,?,6,0.2166149,2.540319,8657347.0,9879,7953,2955328.0,?,173.7511,240,?,14946320.0,2237191.0,602.1086,100000.0,19.07438,8658504.0,4474379.0,8657349.0,488.377,5308,-20000880000.0,89565283,bad
?,4535,4,?,?,2358,13,?,4,6.505213e-19,?,9622,2855328.0,2408.001,24809,6.505213e-19,?,5307,2270087.0,1004241.0,4535,19435,?,0.03505887,-4474379.0,?,?,2237191.0,6123304.0,6121670.0,?,6.505213e-19,28.94268,186.0925,?,?,24809,?,2386,5307,0.475,186.0925,2,?,1,26.49182,5308,?,?,6,0.2166149,2.540319,8657347.0,9879,7953,2955328.0,?,173.7511,240,?,14946320.0,2237191.0,602.1086,100000.0,19.07438,8658504.0,4474379.0,8657349.0,488.377,5308,-20000880000.0,36564232,bad
