% Generated on 2015-06-09 12:13:09,  dyna6-73.cs.uoregon.edu: /Users/norris/research/lighthouse/lighthouse-git/sandbox/petsc/scripts/anamod2arff.py, Command: "../scripts/anamod2arff.py -f ../anamod-features -p ../timing/bgq -n solvers_anamod -s -b 5"
@RELATION petsc_data
@ATTRIBUTE lambda-max-by-magnitude-im NUMERIC
@ATTRIBUTE right-bandwidth NUMERIC
@ATTRIBUTE n-nonzero-diags NUMERIC
@ATTRIBUTE n-dummy-rows NUMERIC
@ATTRIBUTE blocksize NUMERIC
@ATTRIBUTE max-nnzeros-per-row NUMERIC
@ATTRIBUTE diag-definite NUMERIC
@ATTRIBUTE avgnnzprow NUMERIC
@ATTRIBUTE lambda-max-by-magnitude-re NUMERIC
@ATTRIBUTE ellipse-cy NUMERIC
@ATTRIBUTE nnzup NUMERIC
@ATTRIBUTE ruhe75-bound NUMERIC
@ATTRIBUTE avg-diag-dist NUMERIC
@ATTRIBUTE nnz NUMERIC
@ATTRIBUTE lambda-min-by-magnitude-re NUMERIC
@ATTRIBUTE lambda-max-by-im-part-im NUMERIC
@ATTRIBUTE left-bandwidth NUMERIC
@ATTRIBUTE norm1 NUMERIC
@ATTRIBUTE sigma-min NUMERIC
@ATTRIBUTE upband NUMERIC
@ATTRIBUTE nnzeros NUMERIC
@ATTRIBUTE lambda-min-by-magnitude-im NUMERIC
@ATTRIBUTE diagonal-average NUMERIC
@ATTRIBUTE diagonal-dominance NUMERIC
@ATTRIBUTE dummy-rows NUMERIC
@ATTRIBUTE ritz-values-r NUMERIC
@ATTRIBUTE nnzlow NUMERIC
@ATTRIBUTE colours NUMERIC
@ATTRIBUTE lambda-max-by-im-part-re NUMERIC
@ATTRIBUTE col-variability NUMERIC
@ATTRIBUTE trace-abs NUMERIC
@ATTRIBUTE ritz-values-c NUMERIC
@ATTRIBUTE diag-zerostart NUMERIC
@ATTRIBUTE loband NUMERIC
@ATTRIBUTE positive-fraction NUMERIC
@ATTRIBUTE trace NUMERIC
@ATTRIBUTE min-nnzeros-per-row NUMERIC
@ATTRIBUTE diagonal-sign NUMERIC
@ATTRIBUTE row-variability NUMERIC
@ATTRIBUTE nrows NUMERIC
@ATTRIBUTE colour-offsets NUMERIC
@ATTRIBUTE n-colours NUMERIC
@ATTRIBUTE diagonal-variance NUMERIC
@ATTRIBUTE departure NUMERIC
@ATTRIBUTE dummy-rows-kind NUMERIC
@ATTRIBUTE kappa NUMERIC
@ATTRIBUTE sigma-max NUMERIC
@ATTRIBUTE colour-set-sizes NUMERIC
@ATTRIBUTE sigma-diag-dist NUMERIC
@ATTRIBUTE n-ritz-values NUMERIC
@ATTRIBUTE ellipse-ax NUMERIC
@ATTRIBUTE ellipse-ay NUMERIC
@ATTRIBUTE ellipse-cx NUMERIC
@ATTRIBUTE normF NUMERIC
@ATTRIBUTE normInf NUMERIC
@ATTRIBUTE lambda-max-by-real-part-im NUMERIC
@ATTRIBUTE lambda-max-by-real-part-re NUMERIC
@ATTRIBUTE nnzdia NUMERIC
@ATTRIBUTE avgdistfromdiag NUMERIC
@ATTRIBUTE solver {89565283,8793455,90197667,49598909,91036839,45869639,45869638,45869637,47942867,89269802,89269803,89269801,89269804,59072883,59072882,59072881,7285381,7285384,59072884,49598911,49598910,49598912,30870721,36025723,36025722,53302993,30870720,64278029,36025724,44526267,8793454,8793456,8793453,17734818,32168839,32168838,57331597,95762352,57331599,57331598,32168837,88865078,88865079,49834417,49834419,49834418,88865076,88865077,11256942,11256943,11256941,42851841,11256944,31459546,17887723,91845162,53362206,95762355,12321508,75830644,57331600,43373444,95762353,43373441,43373442,43373443,91068411,91068410,5890861,85483012,5890863,5890862,18868444,18868441,18868443,18868442,91068408,47942864,47942865,47942866,91068409,8520536,5890860,82456576,29030069,95762354,90783920,99720138,29030071,29030070,29030072,85490469,30870723,30870722,26415435,26415434,26415433,26415432,13323659,45869640,36564233,68908713,7285382,36564232,7285383,75830645,36564234,81986705,29553941,29553943,29553942,69654761,29553944,69654763,69654762,32874609,32168840,90197664,90197665,90197666,69654760,37052870,37052871,19932321,19932323,19932322,19932324,80361466,80361467,80361464,80361465,49834420,1216556,38678404,38678401,38678402,38678403,32874611,32874610,32874612,44114477,44114476,44114479,44114478,36564235,36025721,75830647,75830646,85490471,85490470,85490472,18524981,37052869,37052868}
@ATTRIBUTE class {good,bad}
@DATA

?,100,9,?,99,9,1,8,490.068,?,38612,417.1442,66.22222,87025,4.816579,?,100,760.8224,417.1517,100,87025,?,18.7483,-1.923689,?,?,38612,?,489.6732,1.032237,183752.1,?,9801,100,1.0,183752.1,4,2,1.140008,9801,?,8,29.40092,83.41673,?,65345.11,490.338,?,10920.05,26,245.0302,?,245.0377,3647.064,762.1984,?,490.068,9801,8,89565283,good
?,5307,8311,?,2780,15,?,5,-29.1088,?,9757,45418.17,2426.94,28847,1.37161e-07,?,4535,45443.18,14921.84,5307,28847,?,1.708457e-05,-67552.76,?,?,13782,?,29.10652,27.41011,0.09068491,?,2797,4535,0.4958333,0.06084166,2,?,27.05915,5308,?,6,0.001059743,178833.6,?,1.380892,45450.45,?,12698520.0,240,29.12292,28.53481,0.004193165,178833.8,67552.76,?,29.10652,5308,5,89565283,bad
?,5307,8311,?,2780,15,?,5,-29.1088,?,9757,45418.17,2426.94,28847,1.37161e-07,?,4535,45443.18,14921.84,5307,28847,?,1.708457e-05,-67552.76,?,?,13782,?,29.10652,27.41011,0.09068491,?,2797,4535,0.4958333,0.06084166,2,?,27.05915,5308,?,6,0.001059743,178833.6,?,1.380892,45450.45,?,12698520.0,240,29.12292,28.53481,0.004193165,178833.8,67552.76,?,29.10652,5308,5,13323659,good
?,4535,7950,?,2358,13,?,4,-2.168404e-19,?,9605,2889389.0,2407.108,24783,-2.168404e-19,?,5307,2296333.0,1006940.0,4535,24783,?,0.03475248,-4527171.0,?,?,9870,?,454.078,27.27038,184.4662,?,2386,5307,0.475,184.4662,2,1,26.60902,5308,?,6,2.517999,8680793.0,?,188.4794,2989389.0,?,14932460.0,240,791.5987,100000.0,171.8829,8681947.0,4527171.0,?,491.2643,5308,4,89565283,good
?,4535,7951,?,2358,13,?,4,?,?,9614,2889389.0,2407.43,24791,?,?,5307,2296333.0,939318.3,4535,24791,?,0.03475248,-4527171.0,?,?,9869,?,?,27.93044,184.4662,?,2386,5307,0.4916667,184.4662,2,1,29.9565,5308,?,6,2.517999,8680837.0,?,192.0068,2989389.0,?,14939860.0,240,667.8895,100000.0,-42.91292,8681992.0,4527171.0,?,491.2643,5308,4,89565283,good
?,4535,7952,?,2358,13,?,4,4.87891e-19,?,9622,2889389.0,2407.734,24816,4.87891e-19,?,5307,2296333.0,939318.3,4535,24816,?,0.03475248,-4527171.0,?,?,9886,?,4.87891e-19,28.7351,184.4662,?,2386,5307,0.4833333,184.4662,2,1,26.60895,5308,?,6,2.517999,8680877.0,?,192.0114,2989389.0,?,14946190.0,240,667.8896,100000.0,-42.91227,8682031.0,4527171.0,?,491.2643,5308,4,89565283,good
?,5307,8307,?,2780,15,?,5,-35.17876,?,9768,53399.74,2427.391,28845,1.527257e-07,?,4535,45386.36,18105.65,5307,28845,?,2.077875e-05,-80906.14,?,?,13769,?,35.17646,28.93934,0.1102936,?,2797,4535,0.5,0.07423522,2,?,27.24262,5308,?,6,0.001290178,213210.5,?,1.195174,53434.82,?,12697670.0,240,34.99241,31.02565,0.08245465,213210.8,80906.14,?,35.17646,5308,5,89565283,good
?,4535,7950,?,2358,13,?,4,?,?,9619,2863795.0,2407.696,24792,?,?,5307,2276611.0,1004941.0,4535,24792,?,0.03507346,-4487511.0,?,?,9865,?,?,29.69753,186.1699,?,2386,5307,0.5416667,186.1699,2,1,31.74282,5308,?,6,2.541382,8690469.0,?,184.4341,2963795.0,?,14942110.0,240,825.3887,100000.0,285.5495,8691622.0,4487511.0,?,490.6939,5308,4,89565283,bad
?,4535,7950,?,2358,13,?,4,?,?,9619,2863795.0,2407.696,24792,?,?,5307,2276611.0,1004941.0,4535,24792,?,0.03507346,-4487511.0,?,?,9865,?,?,29.69753,186.1699,?,2386,5307,0.5416667,186.1699,2,1,31.74282,5308,?,6,2.541382,8690469.0,?,184.4341,2963795.0,?,14942110.0,240,825.3887,100000.0,285.5495,8691622.0,4487511.0,?,490.6939,5308,4,59072882,good
