 Name,NumRows, NumCols, MinNNZperRow, RowVariance, ColVariance, DiagVariance, Nonzeros, FrobeniusNorm, SymmetricFrobeniusNorm, AntiSymmetricFrobeniusNorm, OneNorm, InfinityNorm, SymmetricInfinityNorm, AntiSymmetricInfinityNorm, MaxNNZperRow, Trace, AbsTrace, MinNNZperRow, AvgNNZperRow, DummyRows, DummyRowsKind, NumericValueSymmetry1, NNZPatternSymmetry1, NumericValueSymmetry2, NNZPatternSymmetry2, RowDiagDominance, ColDiagDominancy, DiagAverage, DiagSign, DiagNNZ, LowerBW, UpperBW, RowLogValSpread, ColLogValSpread, Symmetric
 airfoil_2d.petsc,14214,14214,1,2.75E+06,2.45E+06,1.41E+10,259688,9.83E+06,9.81E+06,639114,340858,365528,343319,52569.4,23,-7.47E+08,7.47E+08,1,18,637,0,0,0,0.970202,0.940403,0,0,52540.3,3,14214,3002,3002,10.5834,10.5767,0
 GT01R.petsc,7980,7980,1,4.50E+06,2.34E+06,11507.3,430909,585696,410580,417688,197393,390863,195909,196236,90,645863,645863,1,53,3,1,0,0,0.518148,0.0362952,0,0,80.9352,2,7980,7614,7614,65.9629,67.9297,0
 DK01R.petsc,903,903,1,8.31E+10,9.78E+10,1.97E+06,11766,1.92E+07,1.36E+07,1.36E+07,1.43E+07,1.26E+07,7.17E+06,7.16E+06,17,148104,148104,1,13,3,1,0,0,0.500524,0.00104723,0,0,164.013,2,903,18,17,25.9352,27.0988,0
 rotor1.petsc,100,100,1,2.00E+07,2.00E+07,4.65E+07,708,91659.2,81242.9,42438.2,80503.5,80507.3,80003.3,40505.4,41,121996,122020,1,7,0,0,0,0,0.626851,0.253703,0,0,1220.2,3,66,90,93,74.4427,74.4427,0
 rotor2.petsc,791,791,1,2.98E+08,3.01E+08,2.94E+06,10685,4.71E+06,3.33E+06,3.33E+06,1.09E+06,1.09E+06,545855,545854,43,83993.8,83993.8,1,13,6,1,0,0,0.500662,0.00132368,0,0,106.187,3,681,721,721,53.4587,53.4587,0
 robot.petsc,120,120,1,110.926,110.943,347.894,870,275.722,275.563,9.35313,176.089,174.067,175.078,3,26,845.654,857.654,1,7,0,0,0,0,0.950957,0.901914,0,0,7.14712,3,80,86,85,34.4717,35.9621,0
 rim.petsc,22560,22560,1,88832.5,70751.9,1.85E+07,1014951,1.23E+06,1.01E+06,693603,118980,121540,119592,59668.5,112,-1.34E+07,2.77E+07,1,44,1,0,0,0,0.659497,0.318994,0,0,1229.92,3,19201,22497,22501,23.7436,24.3761,0
 goodwin.petsc,7320,7320,1,24829.3,24841.6,241.058,324772,125123,88478.3,88471.9,30120,30116.9,15072.9,15060.2,112,31920.6,71271.6,1,44,1,0,0,0,0.523403,0.0468061,0,0,9.73656,3,6241,7268,7272,20.8941,22.0743,0
 bayer03.petsc,6747,6747,1,4.35E+13,4.35E+13,0.000172847,29195,4.49E+09,3.17E+09,3.17E+09,5.42E+08,5.44E+08,2.72E+08,2.72E+08,30,-1.07903,1.1001,1,4,0,0,0,0,0.5,3.23E-10,0,0,0.000163051,3,7,5499,6746,150.747,152.012,0
 b1_ss.petsc,7,7,2,0.166181,0.285714,1.59184,15,3.06866,2.77639,1.30703,2,3,1.725,1.53068,3,0,6,2,2,0,0,0,0,0.79817,0.596341,0,0,0.857143,3,6,6,3,2.11228,2.11228,0
 poli.petsc,4008,4008,1,0.00754201,0.000499002,0,8188,75.35,69.6296,28.7983,2,40.0952,20.6237,19.4757,63,4008,4008,1,2,3079,0,0,0,0.825999,0.651998,0,1,1,2,4008,3880,3971,4,4,0
 b_dyn.petsc,1089,1089,1,778053,778055,2.95E-06,4144,29135.3,20601.7,20601.7,29137.1,29166.8,14583.4,14583.4,11,-0.0566834,0.0566834,1,3,0,0,0,0,0.500001,1.91E-06,0,0,5.21E-05,-1,2,929,1087,11.6173,10.3472,0
 bayer06.petsc,3008,3008,1,1.23E+14,2.07E+14,8.28E-09,20715,8.87E+08,6.27E+08,6.27E+08,1.16E+09,6.08E+08,5.80E+08,5.80E+08,73,0.0049903,0.0049903,1,6,0,0,0,0,0.5,8.15E-11,0,0,1.66E-06,1,2,2745,2941,59.4916,59.4916,0
 bayer05.petsc,3268,3268,1,1.13E+21,1.91E+21,0.0762728,20712,2.81E+12,1.98E+12,1.98E+12,3.67E+12,1.92E+12,1.84E+12,1.84E+12,66,-15.7807,15.7807,1,6,0,0,0,0,0.5,8.14E-11,0,0,0.00482886,-1,2,3008,2941,49.66,47.5055,0
 bayer01.petsc,57735,57735,1,274971,274971,3.46E-15,275094,147439,104255,104255,126001,126000,63000.5,63000.5,28,0,2.00E-05,1,4,0,0,0,0,0.5,4.45E-08,0,0,3.46E-10,3,2,49670,57733,60.2878,59.1905,0
 poli4.petsc,33833,33833,1,0.00708119,5.91E-05,2.92E-05,73249,243.273,215.65,112.59,2,248.749,125.374,124.374,304,33827,33827,1,2,25531,1,0,0,0.772574,0.545148,0,0,0.999824,2,33833,8250,33784,5,5,0
 poli_large.petsc,15575,15575,1,0.0214263,0.000128411,0,33033,164.822,146.197,76.1099,2,367.462,184.249,183.216,491,15575,15575,1,2,13227,0,0,0,0.773221,0.546442,0,1,1,2,15575,15446,15574,4,4,0
 bayer02.petsc,13935,13935,1,1.14E+06,1.14E+06,1.29E-09,63307,129560,91612.4,91612.4,126001,126000,63000.5,63000.5,22,-0.00425401,0.00425493,1,4,0,0,0,0,0.5,2.01E-07,0,0,3.05E-07,3,4,11975,13934,30.473,30.473,0
 d_dyn.petsc,87,87,1,146.518,71.3647,0.000445263,230,124.56,88.0776,88.0774,79.724,167.828,83.9156,83.9156,8,0.207484,0.207484,1,2,0,0,0,0,0.500412,0.000823622,0,0,0.00238487,1,4,77,86,21.4706,21.4706,0
 d_ss.petsc,53,53,2,2.40E+07,1.16E+07,474.15,144,39358.9,27830.7,27831.2,25210.9,52480.8,26241.9,26241.9,6,158.168,161.832,2,2,0,0,0,0,0.500994,0.00198788,0,0,3.05344,3,4,45,13,4.81954,8.0172,0
 bayer08.petsc,3008,3008,1,1.40E+16,2.36E+16,9.45E-07,20698,9.48E+09,6.70E+09,6.70E+09,1.24E+10,6.50E+09,6.20E+09,6.20E+09,73,0.0533332,0.0533332,1,6,0,0,0,0,0.5,8.14E-11,0,0,1.77E-05,1,2,2745,2941,127.7,127.7,0
 meg1.petsc,2904,2904,1,8.27E+08,8.36E+08,3.44E+08,58142,2.20E+06,1.71E+06,1.39E+06,2.59E+06,2.35E+06,2.00E+06,1.30E+06,411,1.06E+06,1.06E+06,1,20,0,0,0,0,0.535454,0.0709086,0,0,366.716,1,27,2827,1545,38.8471,38.8471,0
