lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,nnzeros,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared, time, solver, class
0,5307,5,0,0,2780,15,0,5,-13.93736,0,9768,45697.63,2427.003,28847,0,4535,45711.66,19178.28,5307,23445,0,0.000008,-46416,0,0,23208.01,71480.92,71480.93,0,13.93527,29.76966,0.042726,0,28847,2797,4535,0.475,0.028421,2,0,28.43969,5308,0,0,6,0.187264,0.000498,101089.2,13771,8311,45711.61,0,1.21084,240,0,12699130,23208.01,13.97896,11.96849,0.002711,101089.3,46416,101089.3,13.93527,5308,467.2417,0.000341,32168839,bad
0,5307,5,0,0,2780,15,0,5,-13.93736,0,9768,45697.63,2427.003,28847,0,4535,45711.66,19178.28,5307,23445,0,0.000008,-46416,0,0,23208.01,71480.92,71480.93,0,13.93527,29.76966,0.042726,0,28847,2797,4535,0.475,0.028421,2,0,28.43969,5308,0,0,6,0.187264,0.000498,101089.2,13771,8311,45711.61,0,1.21084,240,0,12699130,23208.01,13.97896,11.96849,0.002711,101089.3,46416,101089.3,13.93527,5308,467.2417,0.000272,29030070,bad
0,5307,5,0,0,2780,15,0,5,-13.93736,0,9768,45697.63,2427.003,28847,0,4535,45711.66,19178.28,5307,23445,0,0.000008,-46416,0,0,23208.01,71480.92,71480.93,0,13.93527,29.76966,0.042726,0,28847,2797,4535,0.475,0.028421,2,0,28.43969,5308,0,0,6,0.187264,0.000498,101089.2,13771,8311,45711.61,0,1.21084,240,0,12699130,23208.01,13.97896,11.96849,0.002711,101089.3,46416,101089.3,13.93527,5308,467.2417,0.000412,36564232,bad
0,5307,5,0,0,2780,15,0,5,-13.93736,0,9768,45697.63,2427.003,28847,0,4535,45711.66,19178.28,5307,23445,0,0.000008,-46416,0,0,23208.01,71480.92,71480.93,0,13.93527,29.76966,0.042726,0,28847,2797,4535,0.475,0.028421,2,0,28.43969,5308,0,0,6,0.187264,0.000498,101089.2,13771,8311,45711.61,0,1.21084,240,0,12699130,23208.01,13.97896,11.96849,0.002711,101089.3,46416,101089.3,13.93527,5308,467.2417,1.79769313486E308,81986705,bad
0,5307,5,0,0,2780,15,0,5,-13.93736,0,9768,45697.63,2427.003,28847,0,4535,45711.66,19178.28,5307,23445,0,0.000008,-46416,0,0,23208.01,71480.92,71480.93,0,13.93527,29.76966,0.042726,0,28847,2797,4535,0.475,0.028421,2,0,28.43969,5308,0,0,6,0.187264,0.000498,101089.2,13771,8311,45711.61,0,1.21084,240,0,12699130,23208.01,13.97896,11.96849,0.002711,101089.3,46416,101089.3,13.93527,5308,467.2417,0.000232,69654763,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,50.76741,45869639,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,0.073997,47942867,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,0.049756,30870720,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,32.96297,44526267,bad
0,4535,4,0,0,2358,13,0,4,0,0,9614,2889389,2407.43,24791,0,5307,2296333,939318.3,4535,0,0,0.034752,-4527171,0,0,0,0,0,0,0,27.93044,184.4662,0,24791,2386,5307,0.491667,184.4662,2,1,29.9565,5308,0,0,6,0,2.517999,8680837,9869,7951,2989389,0,192.0068,240,0,14939860,0,667.8895,100000,-42.91292,8681992,4527171,0,491.2643,5308,0,0.022982,95762352,bad
