lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,solver,class,matrix_name,solver_time
103.1031,33046,18.93333,18.76616,9,18.76616,223,16566.99,36025721,good,cavity05,0.001413
52.96175,7401,37.51811,17.53218,1,17.53218,183,37154.56,36025721,fair,cavity02,0.000194
52.96175,7401,87.25475,17.72024,9,17.71031,183,8.226292,29030070,good,cavity03,0.000106
52.96175,7401,19.02222,17.58468,9,17.58468,183,34144.15,36025721,good,cavity01,0.000212
9779.248,196592,7.020041,9.939635,3,10.05847,37415,64852.74,7285381,good,Ill_Stokes,0.129707
9779.248,196592,7.020041,9.939635,3,10.05847,37415,64852.74,7285382,good,Ill_Stokes,0.109875
9779.248,196592,7.020041,9.939635,3,10.05847,37415,64852.74,7285383,good,Ill_Stokes,0.11143
1766.2,163716,34.00427,300.1218,1,300.1485,5456,2.024221,32168839,fair,lhr07c,0.00034
793.8216,11258,1.644563,98.94544,2,98.94544,3127,62.8272,69654763,good,adder_dcop_69,0.000259
793.8216,11258,1.644563,98.94544,2,98.94544,3127,101.9363,37052868,good,adder_dcop_68,0.000179
2924.34,49232,1.00E+20,20,1,20,7162,34180740,36564232,good,ww_vref_6405,0.000799
793.8216,11258,1.644563,98.94544,2,98.94544,3127,94.88779,37052868,fair,adder_dcop_61,0.000175
45.75,315,14,0,3,0,112,8.60E+15,32168839,fair,n3c6-b1,0.000011
3210.688,57915,8,0,9,0,12532,4.16E+14,85483012,bad,n3c6-b7,0.017517
3210.688,57915,8,0,9,0,12532,4.16E+14,8520536,good,n3c6-b7,0.014719
3210.688,57915,8,0,9,0,12532,4.16E+14,29030072,bad,n3c6-b7,0.01607
3210.688,57915,8,0,9,0,12532,4.16E+14,81986705,good,n3c6-b7,0.012552
3298.002,17969,19187.95,8,1,9.098086,2285,489.0298,36025721,good,c-27,0.000096
496.4013,5315,300005,6,2,5.309361,1637,2.114725,32168839,fair,b2_ss,0.000078
496.4013,5315,300005,6,2,5.309361,1637,2.114725,36025721,good,b2_ss,0.000049
1068.327,682797,1394711,9.490537,56,7.745396,4273,1335.685,29030070,fair,heart3,0.001444
2344.653,127182,1179444,18.02107,2,18.02107,3269,262112.2,18868444,bad,jan99jac060,0.02216
2344.653,127182,1179444,18.02107,2,18.02107,3269,262112.2,32168840,good,jan99jac060,0.017655
2344.653,127182,1179444,18.02107,2,18.02107,3269,262112.2,69654760,fair,jan99jac060,0.035668
2344.653,127182,1179444,18.02107,2,18.02107,3269,262112.2,37052870,bad,jan99jac060,0.023927
2344.653,127182,1179444,18.02107,2,18.02107,3269,262112.2,37052871,bad,jan99jac060,0.024331
1631.25,1387773,3285071,8.483076,56,8.315519,6525,2647.755,29030070,good,heart1,0.011898
20.59524,202157,0.171015,6.981426,1,6.981426,42,1.036928,32168839,fair,nemeth03,0.000712
20.59524,202157,0.171015,6.981426,1,6.981426,42,1.036928,36564232,fair,nemeth03,0.000858
2619.653,243167,34.01184,300.0004,1,300.0004,7946,1.355457,37052868,fair,lhr10c,0.000699
128.5492,2319,20004,17.18981,3,17.18981,264,41557460,36564232,good,Chebyshev1,0.000103
2048.003,36879,2000004,26.87428,3,26.87428,4103,313286.2,32168839,good,Chebyshev3,0.000701
1024.006,18447,20004,24.46265,3,24.46265,2055,50605.8,36564232,bad,Chebyshev2,0.000446
1024.006,18447,20004,24.46265,3,24.46265,2055,50605.8,36025721,good,Chebyshev2,0.000338
3693.732,325863,30119.95,22.07428,1,20.89415,869,1.825854,29030070,good,goodwin,0.000921
531.1134,56175,12208740,21.60955,2,18.71334,679,90.24236,7285384,good,mark3jac020,0.019423
531.1134,56175,12208740,21.60955,2,18.71334,679,90.24236,57331597,bad,mark3jac020,0.021223
531.1134,56175,12208740,21.60955,2,18.71334,679,90.24236,95762353,good,mark3jac020,0.02014
531.1134,56175,12208740,21.60955,2,18.71334,679,90.24236,29030070,good,mark3jac020,0.019939
531.1134,56175,12208740,21.60955,2,18.71334,679,90.24236,81986705,good,mark3jac020,0.016173
2407.697,24785,2291018,29.40353,2,31.23805,7952,186.3414,32168839,fair,hydr1c_A_53,0.000183
2407.844,24800,2338560,30.17246,2,30.12502,7950,287.0132,37052868,bad,hydr1c_A_50,0.000186
2408.201,24801,2316819,30.66471,2,28.1316,7952,183.76,32168839,good,hydr1c_A_56,0.000191
2408.201,24801,2316819,30.66471,2,28.1316,7952,183.76,37052868,bad,hydr1c_A_56,0.000217
2427.288,28849,58138.05,29.40351,2,27.58136,8312,1.183745,32168839,bad,hydr1c_A_54,0.000221
