avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa,solver,class,matrix_name,solver_time,predicted-class,default_time,Time Difference,SpeedUp
52.96175,37.51811,17.53218,1,17.53218,37154.56,36025721,fair,cavity02,0.000194,good,0.003016,-93.57,15.54639175
52.96175,87.25475,17.72024,9,17.71031,8.226292,29030070,good,cavity03,0.000106,fair,0.029578,-99.64,279.0377358
9779.248,7.020041,9.939635,3,10.05847,64852.74,7285381,good,Ill_Stokes,0.129707,fair,2.082097,-93.77,16.05231021
9779.248,7.020041,9.939635,3,10.05847,64852.74,7285382,good,Ill_Stokes,0.109875,fair,2.082097,-94.72,18.94968828
9779.248,7.020041,9.939635,3,10.05847,64852.74,7285383,good,Ill_Stokes,0.11143,fair,2.082097,-94.65,18.68524634
1766.2,34.00427,300.1218,1,300.1485,2.024221,32168839,fair,lhr07c,0.00034,good,0.00034,0,1
793.8216,1.644563,98.94544,2,98.94544,62.8272,69654763,good,adder_dcop_69,0.000259,fair,0.023033,-98.88,88.93050193
793.8216,1.644563,98.94544,2,98.94544,101.9363,37052868,good,adder_dcop_68,0.000179,good,0.000664,-73.04,3.709497207
2924.34,1.00E+20,20,1,20,34180740,36564232,good,ww_vref_6405,0.000799,fair,0.017408,-95.41,21.78723404
793.8216,1.644563,98.94544,2,98.94544,94.88779,37052868,fair,adder_dcop_61,0.000175,good,0.000477,-63.31,2.725714286
45.75,14,0,3,0,8.60E+15,32168839,fair,n3c6-b1,0.000011,good,0.000011,0,1
3210.688,8,0,9,0,4.16E+14,85483012,bad,n3c6-b7,0.017517,fair,0.080625,-78.27,4.60267169
3210.688,8,0,9,0,4.16E+14,8520536,good,n3c6-b7,0.014719,fair,0.080625,-81.74,5.477613968
3210.688,8,0,9,0,4.16E+14,29030070,fair,n3c6-b7,0.025085,good,0.080625,-68.89,3.214072155
3210.688,8,0,9,0,4.16E+14,29030072,bad,n3c6-b7,0.01607,fair,0.080625,-80.07,5.017112632
3210.688,8,0,9,0,4.16E+14,81986705,good,n3c6-b7,0.012552,fair,0.080625,-84.43,6.423279159
3298.002,19187.95,8,1,9.098086,489.0298,36025721,good,c-27,0.000096,fair,0.000095,1.05,0.989583333
496.4013,300005,6,2,5.309361,2.114725,32168839,fair,b2_ss,0.000078,good,0.000078,0,1
496.4013,300005,6,2,5.309361,2.114725,36025721,good,b2_ss,0.000049,fair,0.000078,-37.18,1.591836735
2344.653,1179444,18.02107,2,18.02107,262112.2,18868444,bad,jan99jac060,0.02216,fair,0.364682,-93.92,16.45676895
2344.653,1179444,18.02107,2,18.02107,262112.2,29030070,fair,jan99jac060,0.033937,good,0.364682,-90.69,10.74585261
2344.653,1179444,18.02107,2,18.02107,262112.2,81986705,fair,jan99jac060,0.033939,bad,0.364682,-90.69,10.74521936
2344.653,1179444,18.02107,2,18.02107,262112.2,32168840,good,jan99jac060,0.017655,fair,0.364682,-95.16,20.65601813
2344.653,1179444,18.02107,2,18.02107,262112.2,69654760,fair,jan99jac060,0.035668,good,0.364682,-90.22,10.22434675
2344.653,1179444,18.02107,2,18.02107,262112.2,37052871,bad,jan99jac060,0.024331,fair,0.364682,-93.33,14.98836875
1631.25,3285071,8.483076,56,8.315519,2647.755,29030070,good,heart1,0.011898,fair,26.128,-99.95,2195.999328
20.59524,0.171015,6.981426,1,6.981426,1.036928,32168839,fair,nemeth03,0.000712,good,0.000712,0,1
20.59524,0.171015,6.981426,1,6.981426,1.036928,29030070,fair,nemeth03,0.000664,good,0.000712,-6.74,1.072289157
20.59524,0.171015,6.981426,1,6.981426,1.036928,37052868,good,nemeth03,0.000309,fair,0.000712,-56.6,2.30420712
2619.653,34.01184,300.0004,1,300.0004,1.355457,37052868,fair,lhr10c,0.000699,good,0.000487,43.53,0.696709585
128.5492,20004,17.18981,3,17.18981,41557460,36564232,good,Chebyshev1,0.000103,fair,0.079631,-99.87,773.1165049
128.5492,20004,17.18981,3,17.18981,41557460,69654763,good,Chebyshev1,0.000111,fair,0.079631,-99.86,717.3963964
2048.003,2000004,26.87428,3,26.87428,313286.2,32168839,good,Chebyshev3,0.000701,fair,0.000701,0,1
2048.003,2000004,26.87428,3,26.87428,313286.2,69654763,fair,Chebyshev3,0.001302,good,0.000701,85.73,0.538402458
1024.006,20004,24.46265,3,24.46265,50605.8,36564232,bad,Chebyshev2,0.000446,fair,0.002548,-82.5,5.713004484
1024.006,20004,24.46265,3,24.46265,50605.8,36025721,good,Chebyshev2,0.000338,fair,0.002548,-86.73,7.538461538
3693.732,30119.95,22.07428,1,20.89415,1.825854,29030070,good,goodwin,0.000921,fair,121.8114,-100,132259.9349
531.1134,12208740,21.60955,2,18.71334,90.24236,7285384,good,mark3jac020,0.019423,fair,76.07818,-99.97,3916.911909
531.1134,12208740,21.60955,2,18.71334,90.24236,57331597,bad,mark3jac020,0.021223,fair,76.07818,-99.97,3584.70433
531.1134,12208740,21.60955,2,18.71334,90.24236,95762353,good,mark3jac020,0.02014,fair,76.07818,-99.97,3777.466733
531.1134,12208740,21.60955,2,18.71334,90.24236,29030070,good,mark3jac020,0.019939,fair,76.07818,-99.97,3815.546417
531.1134,12208740,21.60955,2,18.71334,90.24236,81986705,good,mark3jac020,0.016173,fair,76.07818,-99.98,4704.023991
2407.697,2291018,29.40353,2,31.23805,186.3414,32168839,fair,hydr1c_A_53,0.000183,bad,0.000183,0,1
2407.844,2338560,30.17246,2,30.12502,287.0132,37052868,bad,hydr1c_A_50,0.000186,good,0.000356,-47.75,1.913978495
2408.201,2316819,30.66471,2,28.1316,183.76,32168839,good,hydr1c_A_56,0.000191,fair,0.000191,0,1
2408.201,2316819,30.66471,2,28.1316,183.76,69654763,good,hydr1c_A_56,0.000169,bad,0.000191,-11.52,1.130177515
2408.201,2316819,30.66471,2,28.1316,183.76,37052868,bad,hydr1c_A_56,0.000217,fair,0.000191,13.61,0.880184332
2427.511,66035.28,30.66095,2,28.79542,1.293485,32168839,good,hydr1c_A_57,0.000204,bad,0.000204,0,1
