avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa,solver,class,matrix_name,solver_time,predicted-class,default_time,Time Difference,Comparison,SpeedUp,
3693.732,30119.95,22.07428,1,20.89415,1.825854,29030070,good,goodwin,0.000921,good,121.8114,-100,-100.0 % less time of default solver time,132259.9349,
11619.32,118979.7,24.37608,1,23.7436,11.2332,37052868,good,rim,0.005574,good,360.0818,-100,-100.0 % less time of default solver time,64600.25117,
8917.951,1208498,75.74329,1,77.4584,670.0852,36564232,good,rajat22,0.007886,good,281.7301,-100,-100.0 % less time of default solver time,35725.34872,
6827.318,108674,17.41085,2,17.72205,193.9769,69654763,good,g7jac100sc,0.016661,good,314.4667,-99.99,-99.99 % less time of default solver time,18874.4193,
6827.318,93360220,25.32251,2,19.77358,34565.42,69654763,good,g7jac080,0.012589,good,214.4989,-99.99,-99.99 % less time of default solver time,17038.59719,
1068.327,1394711,9.490537,56,7.745396,1335.685,37052868,good,heart3,0.001011,good,8.4108,-99.99,-99.99 % less time of default solver time,8319.287834,
531.1134,2097152,9.976185,2,13.15285,5918.965,29030070,good,mark3jac080sc,0.033888,good,279.78,-99.99,-99.99 % less time of default solver time,8256.01983,
6827.318,535673000,26.32059,2,19.77358,8018.001,81986705,good,g7jac140,0.057174,good,449.2588,-99.99,-99.99 % less time of default solver time,7857.746528,
8155.592,429329.9,9.381631,2,9.381631,23.349,29030070,good,hvdc1,0.027186,good,213.4033,-99.99,-99.99 % less time of default solver time,7849.749871,
6827.318,535673000,26.32059,2,19.77358,8018.001,29030070,good,g7jac140,0.057715,good,449.2588,-99.99,-99.99 % less time of default solver time,7784.090791,
6827.318,242717800,26.10612,2,19.77358,17275.94,29030070,good,g7jac120,0.049374,good,378.0842,-99.99,-99.99 % less time of default solver time,7657.556609,
531.1134,2097152,9.976185,2,13.15285,5918.965,85483012,good,mark3jac080sc,0.037203,good,279.78,-99.99,-99.99 % less time of default solver time,7520.361261,
6827.318,138457900,25.59061,2,19.77358,9874.285,29030070,good,g7jac100,0.041862,good,314.2712,-99.99,-99.99 % less time of default solver time,7507.31451,
8155.592,429329.9,9.381631,2,9.381631,23.349,37052868,good,hvdc1,0.029514,good,213.4033,-99.99,-99.99 % less time of default solver time,7230.578708,
6827.318,535673000,26.32059,2,19.77358,8018.001,37052870,good,g7jac140,0.06237,good,449.2588,-99.99,-99.99 % less time of default solver time,7203.123296,
6827.318,535673000,26.32059,2,19.77358,8018.001,85483012,good,g7jac140,0.062809,good,449.2588,-99.99,-99.99 % less time of default solver time,7152.777468,
8155.592,429329.9,9.381631,2,9.381631,23.349,85483012,good,hvdc1,0.029945,good,213.4033,-99.99,-99.99 % less time of default solver time,7126.508599,
6827.318,108627.7,17.6835,2,17.72205,57.76688,89565283,good,g7jac080sc,0.034556,good,245.4342,-99.99,-99.99 % less time of default solver time,7102.506077,
8155.592,429329.9,9.381631,2,9.381631,23.349,37052869,good,hvdc1,0.03017,good,213.4033,-99.99,-99.99 % less time of default solver time,7073.360955,
8155.592,429329.9,9.381631,2,9.381631,23.349,37052870,good,hvdc1,0.030336,good,213.4033,-99.99,-99.99 % less time of default solver time,7034.655195,
6827.318,138457900,25.59061,2,19.77358,9874.285,37052869,good,g7jac100,0.04543,good,314.2712,-99.99,-99.99 % less time of default solver time,6917.701959,
6827.318,138457900,25.59061,2,19.77358,9874.285,37052871,good,g7jac100,0.046326,good,314.2712,-99.99,-99.99 % less time of default solver time,6783.905366,
6827.318,242717800,26.10612,2,19.77358,17275.94,81986705,good,g7jac120,0.055931,good,378.0842,-99.99,-99.99 % less time of default solver time,6759.832651,
531.1134,2097152,9.976185,2,13.15285,6584.382,37052868,good,mark3jac060sc,0.03165,good,212.0599,-99.99,-99.99 % less time of default solver time,6700.154818,
6827.318,138457900,25.59061,2,19.77358,9874.285,37052868,good,g7jac100,0.047421,good,314.2712,-99.98,-99.98 % less time of default solver time,6627.257966,
249.1577,18404410,20.45239,1,20.45239,2.389409,81986705,good,cz40948,0.050681,good,333.2154,-99.98,-99.98 % less time of default solver time,6574.759772,
6827.318,108619.2,17.56695,2,17.89277,274.3253,81986705,good,g7jac120sc,0.057922,good,378.4294,-99.98,-99.98 % less time of default solver time,6533.431166,
531.1134,2097152,9.976185,2,13.15285,6584.382,37052871,good,mark3jac060sc,0.032528,good,212.0599,-99.98,-99.98 % less time of default solver time,6519.303369,
6827.318,108614.4,17.59421,2,17.9674,88.41066,89565283,good,g7jac060sc,0.027854,good,179.4371,-99.98,-99.98 % less time of default solver time,6442.058591,
6827.318,108680,17.58501,2,18.1938,18.41862,81986705,good,g7jac140sc,0.070605,good,449.92,-99.98,-99.98 % less time of default solver time,6372.353233,
531.1134,2097152,9.976185,2,13.15285,5918.965,81986705,bad,mark3jac080sc,0.04421,good,279.78,-99.98,-99.98 % less time of default solver time,6328.432481,
6827.318,242717800,26.10612,2,19.77358,17275.94,85483012,good,g7jac120,0.060575,good,378.0842,-99.98,-99.98 % less time of default solver time,6241.588114,
6827.318,62951460,24.8499,2,19.77358,49955.62,29030070,good,g7jac060,0.024231,good,150.898,-99.98,-99.98 % less time of default solver time,6227.477199,
6827.318,535673000,26.32059,2,19.77358,8018.001,7285384,bad,g7jac140,0.072716,good,449.2588,-99.98,-99.98 % less time of default solver time,6178.266131,
6827.318,535673000,26.32059,2,19.77358,8018.001,37052869,bad,g7jac140,0.072817,good,449.2588,-99.98,-99.98 % less time of default solver time,6169.696637,
6827.318,242717800,26.10612,2,19.77358,17275.94,37052871,bad,g7jac120,0.062558,good,378.0842,-99.98,-99.98 % less time of default solver time,6043.738611,
6827.318,535673000,26.32059,2,19.77358,8018.001,37052868,bad,g7jac140,0.074479,good,449.2588,-99.98,-99.98 % less time of default solver time,6032.019764,
3768.24,2832902000,17.45223,18,17.45223,2,36564232,good,fp,0.048132,good,289.5589,-99.98,-99.98 % less time of default solver time,6015.933267,
6827.318,242717800,26.10612,2,19.77358,17275.94,29030069,bad,g7jac120,0.06287,good,378.0842,-99.98,-99.98 % less time of default solver time,6013.745825,
531.1134,2097152,9.976185,2,13.15285,6584.382,7285384,good,mark3jac060sc,0.035277,good,212.0599,-99.98,-99.98 % less time of default solver time,6011.279304,
6827.318,138457900,25.59061,2,19.77358,9874.285,81986705,bad,g7jac100,0.052436,good,314.2712,-99.98,-99.98 % less time of default solver time,5993.424365,
531.1134,2097152,9.976185,2,13.15285,6584.382,37052870,good,mark3jac060sc,0.0354,good,212.0599,-99.98,-99.98 % less time of default solver time,5990.392655,
249.1577,18404410,20.45239,1,20.45239,2.389409,7285383,good,cz40948,0.055643,good,333.2154,-99.98,-99.98 % less time of default solver time,5988.451378,
6827.318,108680,17.58501,2,18.1938,18.41862,89565283,good,g7jac140sc,0.075154,good,449.92,-99.98,-99.98 % less time of default solver time,5986.640764,
6827.318,242717800,26.10612,2,19.77358,17275.94,37052869,bad,g7jac120,0.063475,good,378.0842,-99.98,-99.98 % less time of default solver time,5956.42694,
6827.318,108614.4,17.59421,2,17.9674,88.41066,7285384,good,g7jac060sc,0.030278,good,179.4371,-99.98,-99.98 % less time of default solver time,5926.31944,
6827.318,138457900,25.59061,2,19.77358,9874.285,37052870,bad,g7jac100,0.05368,good,314.2712,-99.98,-99.98 % less time of default solver time,5854.530551,
6827.318,242717800,26.10612,2,19.77358,17275.94,37052870,bad,g7jac120,0.064651,good,378.0842,-99.98,-99.98 % less time of default solver time,5848.079689,
6827.318,535673000,26.32059,2,19.77358,8018.001,37052871,bad,g7jac140,0.077892,good,449.2588,-99.98,-99.98 % less time of default solver time,5767.714271,
6827.318,242717800,26.10612,2,19.77358,17275.94,7285384,bad,g7jac120,0.065678,good,378.0842,-99.98,-99.98 % less time of default solver time,5756.63388,
6827.318,138457900,25.59061,2,19.77358,9874.285,85483012,bad,g7jac100,0.055085,good,314.2712,-99.98,-99.98 % less time of default solver time,5705.204684,
3150.77,3.04E+12,21.66378,2,30.9457,102.736,37052868,good,ted_A_unscaled,0.028159,good,160.113,-99.98,-99.98 % less time of default solver time,5686.032885,
6827.318,242717800,26.10612,2,19.77358,17275.94,37052868,bad,g7jac120,0.066653,good,378.0842,-99.98,-99.98 % less time of default solver time,5672.425847,
249.1577,18404410,20.45239,1,20.45239,2.389409,95762352,good,cz40948,0.058979,good,333.2154,-99.98,-99.98 % less time of default solver time,5649.729565,
531.1134,2097152,9.976185,2,13.15285,6584.382,85483012,good,mark3jac060sc,0.037637,good,212.0599,-99.98,-99.98 % less time of default solver time,5634.346521,
6827.318,62951460,24.8499,2,19.77358,49955.62,81986705,good,g7jac060,0.026828,good,150.898,-99.98,-99.98 % less time of default solver time,5624.645892,
531.1134,2097152,9.976185,2,13.15285,6584.382,29030070,good,mark3jac060sc,0.037843,good,212.0599,-99.98,-99.98 % less time of default solver time,5603.675713,
3150.77,3.04E+12,21.66378,2,30.9457,102.736,37052871,good,ted_A_unscaled,0.029095,good,160.113,-99.98,-99.98 % less time of default solver time,5503.1105,
531.1134,2097152,9.976185,2,13.15285,6584.382,37052869,good,mark3jac060sc,0.03854,good,212.0599,-99.98,-99.98 % less time of default solver time,5502.332641,
6827.318,108627.7,17.6835,2,17.72205,57.76688,81986705,bad,g7jac080sc,0.044773,good,245.4342,-99.98,-99.98 % less time of default solver time,5481.745695,
6827.318,138457900,25.59061,2,19.77358,9874.285,29030069,bad,g7jac100,0.05847,good,314.2712,-99.98,-99.98 % less time of default solver time,5374.913631,
531.1134,2097152,9.976185,2,13.15285,6584.382,57331597,bad,mark3jac060sc,0.039866,good,212.0599,-99.98,-99.98 % less time of default solver time,5319.317213,
3150.77,3.04E+12,21.66378,2,30.9457,102.736,85483012,good,ted_A_unscaled,0.030186,good,160.113,-99.98,-99.98 % less time of default solver time,5304.213874,
531.1134,2097152,9.976185,2,13.15285,6584.382,95762353,bad,mark3jac060sc,0.041722,good,212.0599,-99.98,-99.98 % less time of default solver time,5082.687791,
6827.318,108614.4,17.59421,2,17.9674,88.41066,81986705,bad,g7jac060sc,0.036089,good,179.4371,-99.98,-99.98 % less time of default solver time,4972.071822,
3150.77,3.04E+12,21.66378,2,30.9457,102.736,81986705,good,ted_A_unscaled,0.032711,good,160.113,-99.98,-99.98 % less time of default solver time,4894.775458,
6827.318,108614.4,17.59421,2,17.9674,88.41066,95762354,bad,g7jac060sc,0.036794,good,179.4371,-99.98,-99.98 % less time of default solver time,4876.803283,
249.1577,18404410,20.45239,1,20.45239,2.389409,95762355,bad,cz40948,0.068525,good,333.2154,-99.98,-99.98 % less time of default solver time,4862.683692,
531.1134,2097152,9.976185,2,13.15285,6584.382,95762355,bad,mark3jac060sc,0.04418,good,212.0599,-99.98,-99.98 % less time of default solver time,4799.907198,
249.1577,18404410,20.45239,1,20.45239,2.389409,95762353,bad,cz40948,0.070888,good,333.2154,-99.98,-99.98 % less time of default solver time,4700.589663,
6827.318,108614.4,17.59421,2,17.9674,88.41066,99720138,bad,g7jac060sc,0.038276,good,179.4371,-99.98,-99.98 % less time of default solver time,4687.979413,
3150.77,3.04E+12,21.66378,2,30.9457,102.736,29030070,bad,ted_A_unscaled,0.037889,good,160.113,-99.98,-99.98 % less time of default solver time,4225.843912,
