avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver,matrix_name, actual_class,predicted_class,default_time,Time Difference,Comparison,SpeedUp
1068.327,1347558,8.405513,56,9.03683,1288.836,0.000903,29030070,heart2,good,fair,10.062,-99.99,-99.99 % less time of default solver time,11142.85714
13377.03,2669,0.60206,1,0.60206,24533360,0.000564,37052868,as-caida_G_120,good,fair,5.8268,-99.99,-99.99 % less time of default solver time,10331.20567
531.1134,2097152,9.976185,2,13.15285,5918.965,0.000656,37052868,mark3jac080sc,good,fair,6.7214,-99.99,-99.99 % less time of default solver time,10246.03659
8155.592,429329.9,9.381631,2,9.381631,23.349,0.000674,37052868,hvdc1,good,fair,6.9033,-99.99,-99.99 % less time of default solver time,10242.28487
1778.292,67.79309,6.359022,2,6.359022,44.5599,0.000053,37052868,S80PI_n,good,good,0.53728,-99.99,-99.99 % less time of default solver time,10137.35849
6493.718,126001,30.47297,2,30.47297,2.338928,0.000156,37052868,bayer02,good,good,1.5747,-99.99,-99.99 % less time of default solver time,10094.23077
173.5139,3.224218,25.16861,1,25.16861,768.1103,0.000149,37052868,utm5940,good,good,1.5039,-99.99,-99.99 % less time of default solver time,10093.28859
531.1134,12208740,21.60955,2,18.71334,56.81556,0.000485,37052868,mark3jac060,good,fair,4.8834,-99.99,-99.99 % less time of default solver time,10068.86598
5238.26,39168,4.291458,3,4.291458,270803.4,0.000255,37052868,big,good,fair,2.5555,-99.99,-99.99 % less time of default solver time,10021.56863
3693.732,30119.95,22.07428,1,20.89415,1.825854,0.000522,37052868,1win,good,fair,5.2176,-99.99,-99.99 % less time of default solver time,9995.402299
1381.141,12405480000,127.6996,2,127.6996,3.988377,0.000051,37052868,bayer08,good,good,0.50837,-99.99,-99.99 % less time of default solver time,9968.039216
1381.141,1160759000,59.49158,2,59.49158,3.610837,0.000051,37052868,bayer06,good,good,0.50804,-99.99,-99.99 % less time of default solver time,9961.568627
3150.77,18.43538,23.44316,2,23.90546,1.287311,0.000637,37052868,ted_A,good,fair,6.263,-99.99,-99.99 % less time of default solver time,9832.025118
1306.423,4849.372,14.34569,2,13.1715,26179.48,0.000039,37052868,extr1b_A_24,good,good,0.38177,-99.99,-99.99 % less time of default solver time,9788.974359
1306.463,4838.556,14.40508,2,13.557,56734.14,0.000039,37052868,extr1b_A_31,good,good,0.38093,-99.99,-99.99 % less time of default solver time,9767.435897
1306.423,4865.899,14.31667,2,12.859,13107.05,0.000039,37052868,extr1b_A_19,good,good,0.37743,-99.99,-99.99 % less time of default solver time,9677.692308
1306.423,4845.709,14.42637,2,13.24285,41830.12,0.000039,37052868,extr1b_A_40,good,good,0.37731,-99.99,-99.99 % less time of default solver time,9674.615385
1306.423,4841.575,14.40689,2,13.4073,42993.7,0.000039,37052868,extr1b_A_34,good,good,0.37655,-99.99,-99.99 % less time of default solver time,9655.128205
1068.327,1347558,8.405513,56,9.03683,1288.836,0.001047,37052868,heart2,good,fair,10.062,-99.99,-99.99 % less time of default solver time,9610.315186
1306.463,4841.603,14.42482,2,13.38897,42863.94,0.000039,37052868,extr1b_A_37,good,good,0.37439,-99.99,-99.99 % less time of default solver time,9599.74359
1306.082,4845.884,13.73004,2,12.43721,26953.28,0.00004,37052868,extr1b_A_17,good,good,0.37494,-99.99,-99.99 % less time of default solver time,9373.5
8917.951,1208498,75.74329,1,77.4584,670.0852,0.000602,37052868,rajat22,good,fair,5.4974,-99.99,-99.99 % less time of default solver time,9131.893688
531.1134,12208740,21.60955,2,18.71334,1.934897,0.000727,37052868,mark3jac080,good,fair,6.6135,-99.99,-99.99 % less time of default solver time,9096.973865
531.1134,2097152,9.976185,2,13.15285,6584.382,0.000542,37052868,mark3jac060sc,good,fair,4.8512,-99.99,-99.99 % less time of default solver time,8950.553506
6827.318,535673000,26.32059,2,19.77358,8018.001,0.001231,37052868,g7jac140,good,fair,10.915,-99.99,-99.99 % less time of default solver time,8866.77498
6827.318,93360220,25.32251,2,19.77358,34565.42,0.000545,37052868,g7jac080,good,fair,4.8277,-99.99,-99.99 % less time of default solver time,8858.165138
531.1134,12208740,21.60955,2,18.71334,35.06149,0.000366,37052868,mark3jac040,good,fair,3.2123,-99.99,-99.99 % less time of default solver time,8776.775956
4709.566,33948,4.229349,3,4.530379,232820.3,0.000239,37052868,pesa,good,good,2.0776,-99.99,-99.99 % less time of default solver time,8692.887029
13365.85,2673,0.60206,1,0.60206,3160828,0.000671,37052868,as-caida_G_119,good,fair,5.8098,-99.99,-99.99 % less time of default solver time,8658.420268
13330.38,2673,0.60206,1,0.60206,5870774,0.000699,37052868,as-caida_G_115,good,fair,5.9352,-99.99,-99.99 % less time of default solver time,8490.987124
1068.327,1394711,9.490537,56,7.745396,1335.685,0.001011,37052868,heart3,good,fair,8.4108,-99.99,-99.99 % less time of default solver time,8319.287834
6827.318,62951460,24.8499,2,19.77358,49955.62,0.000364,37052868,g7jac060,good,fair,2.7435,-99.99,-99.99 % less time of default solver time,7537.087912
3150.77,3.04E+12,21.66378,2,30.9457,102.736,0.000822,37052868,ted_A_unscaled,good,fair,6.1725,-99.99,-99.99 % less time of default solver time,7509.124088
1306.123,4843.661,14.34498,2,13.33393,31017.24,0.000051,37052868,extr1b_A_21,good,good,0.37072,-99.99,-99.99 % less time of default solver time,7269.019608
1306.123,4840.153,14.43798,2,13.4357,42220.34,0.000052,37052868,extr1b_A_42,good,good,0.36607,-99.99,-99.99 % less time of default solver time,7039.807692
1068.327,1394711,9.490537,56,7.745396,1335.685,0.001444,29030070,heart3,bad,fair,8.4108,-99.98,-99.98 % less time of default solver time,5824.65374
6827.318,242717800,26.10612,2,19.77358,17275.94,0.000913,37052868,g7jac120,good,fair,5.2736,-99.98,-99.98 % less time of default solver time,5776.122673
8917.951,1208498,75.74329,1,77.4584,670.0852,0.000959,29030070,rajat22,bad,fair,5.4974,-99.98,-99.98 % less time of default solver time,5732.429614
