avg-diag-dist,nnz,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver, class
2.5,30,188496,2.516551,1,2.516551,20644650,5.01E-06,45869639,1
2.5,30,188496,2.516551,1,2.516551,20644650,3.91E-05,59072883,fair
2.5,30,188496,2.516551,1,2.516551,20644650,8.82E-06,32168839,fair
2.5,30,188496,2.516551,1,2.516551,20644650,1.19E-05,11256941,fair
2.5,30,188496,2.516551,1,2.516551,20644650,1.79769313486e+308,90783920,fair
2.5,30,188496,2.516551,1,2.516551,20644650,0.0388,29030070,fair
2.5,30,188496,2.516551,1,2.516551,20644650,8.82E-06,7285382,fair
2.5,30,188496,2.516551,1,2.516551,20644650,1.69E-05,36564232,fair
2.5,30,188496,2.516551,1,2.516551,20644650,1.79769313486e+308,81986705,fair
2.5,30,188496,2.516551,1,2.516551,20644650,1.43E-05,69654763,fair
2.5,30,188496,2.516551,1,2.516551,20644650,3.89E-05,19932321,fair
2.5,30,188496,2.516551,1,2.516551,20644650,4.84E-05,32874610,fair
2.5,30,188496,2.516551,1,2.516551,20644650,9.06E-06,36025721,fair
2.5,30,188496,2.516551,1,2.516551,20644650,0.036689,37052868,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,5.01E-06,45869639,1
2.5,30,18849600,2.20412,1,2.20412,20649340,7.87E-06,32168839,-1
2.5,30,18849600,2.20412,1,2.20412,20649340,8.11E-06,32168837,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,1.79769313486e+308,90783920,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,0.037804,29030070,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,8.11E-06,7285382,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,1.91E-05,36564232,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,1.79769313486e+308,81986705,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,1.26E-05,69654763,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,1.62E-05,19932321,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,9.06E-06,36025721,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,0.035708,37052868,fair
2.5,30,0.000137024,11.48514,1,11.48514,8918971,9.06E-06,32168837,1
1.5,50,2581.412,2.556304,1,2.556304,48893.24,5.01E-06,45869639,1
1.5,50,2581.412,2.556304,1,2.556304,48893.24,9.06E-06,32168839,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,1.79769313486e+308,90783920,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,0.038414,29030070,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,9.06E-06,7285382,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,1.69E-05,36564232,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,1.79769313486e+308,81986705,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,1.22E-05,69654763,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,1.67E-05,19932321,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,7.87E-06,36025721,-1
1.5,50,2581.412,2.556304,1,2.556304,48893.24,0.03565,37052868,fair
1.5,50,6.09E-05,10.20965,1,10.20965,630091.3,1.60E-05,32168837,1
1.5,50,258140.7,2.556303,1,2.556303,48930.94,8.11E-06,32168837,1
