@relation petsc_anamod_aciss_40_60NoNoise

@attribute avg-diag-dist numeric
@attribute norm1 numeric
@attribute col-variability numeric
@attribute min-nnzeros-per-row numeric
@attribute row-variability numeric
@attribute kappa numeric
@attribute ' time' numeric
@attribute ' solver' numeric
@attribute ' class' {good,fair,bad}

@data
372.5646,1091429,53.45869,1,53.45869,40913.62,0.000091,32168839,good
372.5646,1091429,53.45869,1,53.45869,40913.62,0.00013,29030070,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.000372,36564232,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,1.79769313486E308,81986705,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.00007,37052868,good
200.611,1,1.726839,5,1.726839,10.44892,0.000102,45869639,good
200.611,1,1.726839,5,1.726839,10.44892,0.000126,32168839,good
200.611,1,1.726839,5,1.726839,10.44892,1.79769313486E308,90783920,fair
200.611,1,1.726839,5,1.726839,10.44892,0.000622,29030070,fair
200.611,1,1.726839,5,1.726839,10.44892,0.000232,7285382,fair
200.611,1,1.726839,5,1.726839,10.44892,0.000182,36564232,fair
200.611,1,1.726839,5,1.726839,10.44892,1.79769313486E308,81986705,fair
200.611,1,1.726839,5,1.726839,10.44892,0.000236,69654763,fair
200.611,1,1.726839,5,1.726839,10.44892,0.000771,19932321,fair
200.611,1,1.726839,5,1.726839,10.44892,0.000338,36025721,fair
200.611,1,1.726839,5,1.726839,10.44892,0.000327,37052868,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.001407,45869639,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.00013,32168839,good
792.7765,2.957396,295.84,2,295.84,512.5285,1.79769313486E308,90783920,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.000337,29030070,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.000111,7285382,good
792.7765,2.957396,295.84,2,295.84,512.5285,0.000215,36564232,fair
792.7765,2.957396,295.84,2,295.84,512.5285,1.79769313486E308,81986705,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.000162,69654763,bad
792.7765,2.957396,295.84,2,295.84,512.5285,0.00021,19932321,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.000112,36025721,good
792.7765,2.957396,295.84,2,295.84,512.5285,0.000173,37052868,bad
790.0977,1.075141,11.9998,2,11.9998,12464210,0.001651,45869639,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.002383,32168839,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.000362,32168837,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,1.79769313486E308,90783920,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.000328,29030070,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.002194,36564232,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,1.79769313486E308,81986705,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.000453,69654763,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.000838,19932321,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.000275,36025721,bad
