@relation MatrixNameWithFeatValFeb22RS2_WG

@attribute avg-diag-dist numeric
@attribute norm1 numeric
@attribute col-variability numeric
@attribute min-nnzeros-per-row numeric
@attribute row-variability numeric
@attribute kappa numeric
@attribute time numeric
@attribute solver numeric
@attribute matrix_name {hydr1c_A_76,hydr1c_A_27,hydr1c_A_26,hydr1c_A_25,hydr1c_A_23,hydr1c_A_22,hydr1c_A_21,Si5H12,g7jac020,g7jac140,rail_5177_E,ex18,bcsstm20,fpga_dcop_23,fpga_dcop_26,fpga_dcop_28,extr1b_A_15,bayer10,Pres_Poisson,TSOPF_RS_b162_c4,S40PI_n,mark3jac020sc,adder_dcop_04,adder_dcop_07,adder_dcop_01,t2d_q9_A_43,extr1b_A_12,radfr1,hydr1c_A_24,extr1b_A_11,ck400,t2d_q9_A_45,extr1b_A_10,t2d_q9_A_44,t2d_q4_A_03,hydr1c_A_20,jan99jac020sc,fd18,fd15,rdist1,rdist2,fd12,t2d_q4_A_11,fs_760_2,as-caida_G_121,as-caida_G_120,t2d_q4_A_17,as-caida_G_122,t2d_q4_A_19,t2d_q4_A_18,oscil_dcop_56,c-39,c-38,t2d_q9_A_03,oscil_dcop_57,oscil_dcop_41,hydr1c_A_17,c-31,c-30,c-33,c-32,c-35,c-34,c-37,hydr1c_A_15,oscil_dcop_52,cz20468,rail_1357_E,oscil_dcop_50,oscil_dcop_53,hydr1c_A_13,oscil_trans_01,t2d_q4_A_14,hydr1c_A_10,s1rmt3m1,west0381,hvdc1,Trefethen_150,oscil_dcop_51,std1_Jac2,jan99jac040,fpga_dcop_20,g7jac060sc,fpga_dcop_21,viscoplastic2_C_4,viscoplastic2_C_5,viscoplastic2_C_3,LF10000_E,c-48,c-49,c-44,c-45,c-46,c-47,c-40,c-41,c-42,circuit_2,ex21,fpga_dcop_27,bodyy6,extr1b_A_04,extr1b_A_05,extr1b_A_06,extr1b_A_07,extr1b_A_01,extr1b_A_02,extr1b_A_03,extr1b_A_08,extr1b_A_09,lung1,ex26,cavity20,cavity21,cavity22,cavity23,cavity24,cavity25,cavity26,fpga_dcop_10,oscil_dcop_08,g7jac020sc,t2d_q4_A_24,s2rmq4m1,cyl6,TSOPF_RS_b162_c1,fpga_dcop_14,adder_dcop_41,adder_dcop_43,adder_dcop_42,adder_dcop_45,adder_dcop_44,ted_B_unscaled,raefsky3,adder_dcop_48,raefsky1,onetone1,raefsky6,raefsky5,raefsky4,west0132,circuit204,nasa4704,g7jac010sc,lhr17c,hydr1c_A_70,hydr1c_A_71,hydr1c_A_72,hydr1c_A_73,hydr1c_A_74,hydr1c_A_75,extr1,t2d_q9_A_18,t2d_q9_A_19,hydr1,utm5940,s3rmt3m1,e40r0100,rim,cz148,g7jac050sc,LFAT5_E,wang3,Zd_Jac3,vt2010,Dubcova1,std1_Jac3_db,wang4,g7jac080,bbmat,t2d_q4_A_43,t2d_q4_A_41,t2d_q4_A_44,fp,t2dal_bci_E,cz5108,oscil_dcop_38,oscil_dcop_39,west0156,chipcool0,chipcool1,oscil_dcop_32,oscil_dcop_33,oscil_dcop_30,oscil_dcop_31,oscil_dcop_36,oscil_dcop_37,oscil_dcop_34,oscil_dcop_35,rajat22,rajat27,poli3,poli4,lhr04,west0167,S20PI_n,b_dyn,jan99jac040sc,inlet,PGPgiantcompo,pores_3,gyro_M,hydr1c_A_38,hydr1c_A_39,t2d_q4_A_10,hydr1c_A_34,hydr1c_A_35,hydr1c_A_36,hydr1c_A_37,hydr1c_A_30,hydr1c_A_31,hydr1c_A_32,hydr1c_A_33,heart2,ted_A,oscil_dcop_54,t2d_q9_A_31,t2d_q4_A_40,fpga_dcop_32,fpga_dcop_31,fpga_dcop_30,fpga_dcop_37,fpga_dcop_36,fpga_dcop_35,fpga_dcop_34,impcol_a,g7jac140sc,fpga_dcop_39,fpga_dcop_38,rail_5177,Zd_Jac3_db,bayer08,bayer09,bayer06,bayer07,bayer04,bayer05,bayer02,bayer03,adder_dcop_10,adder_dcop_11,t2d_q4_A_12,nasa1824,t2dah_a,hydr1c_A_64,t2dal_bci_Aside,rail_20209_E,t2d_q9_A_29,garon1,xingo3012,add32,hydr1c_A_28,t2d_q9_A_22,t2d_q9_A_21,t2d_q9_A_27,t2d_q9_A_07,t2d_q9_A_25,t2d_q9_A_24,g7jac040,t2d_q4_A_15,hydr1c_A_68,spiral_E,Zd_Jac6_db,smt,t2d_q4_A_13,t2dah_E,t2d_q4_A_06,t2d_q4_A_07,t2d_q4_A_05,t2d_q4_A_02,as-caida_G_115,t2d_q4_A_01,as-caida_G_119,Reuters911_Day_38,filter2D,t2d_q4_A_08,t2d_q4_A_09,cz628,flowmeter0,LFAT5000_E,flowmeter5,t2d_q4_A_16,LFAT5000_M,DK01R,juba40k,piston_M,viscoplastic1,TSOPF_RS_b9_c6,av41092,SiNa,g7jac060,oscil_dcop_55,S80PI_n,t2d_q9_A_36,rail_20209,Si10H16,piston_E,west2021,t2d_q9_A_37,spiral,std1_Jac3,west0655,c-57,c-56,c-54,c-53,c-52,c-51,c-50,extr1b_A_39,extr1b_A_38,extr1b_A_31,extr1b_A_30,extr1b_A_33,extr1b_A_32,extr1b_A_35,extr1b_A_34,extr1b_A_37,extr1b_A_36,oscil_dcop_45,oscil_dcop_49,oscil_dcop_48,lhr17,lhr10,LFAT5000,oscil_dcop_44,lhr11,sinc18,sinc12,c-36,sinc15,t2dal_bci,t2d_q4_A_42,adder_dcop_52,adder_dcop_50,adder_dcop_51,adder_dcop_56,adder_dcop_54,cz308,mark3jac040sc,oscil_dcop_43,Zhao2,jan99jac020,hydr1c_A_45,hydr1c_A_44,hydr1c_A_47,hydr1c_A_46,hydr1c_A_41,hydr1c_A_43,hydr1c_A_42,ex13,hydr1c_A_49,hydr1c_A_48,fpga_dcop_48,plat1919,fpga_dcop_41,fpga_dcop_46,lhr34c,ex7,Zd_Jac2,ex5,Zd_Jac6,g7jac120,tube2,TSOPF_RS_b678_c1,watt_2,inlet_E,S10PI_n,S80PI_n1_E,rotor2,oscil_dcop_40,rotor1,crystk03,gyro,Reuters911_Day_64,utm1700b,as-caida,t2d_q4_A_39,oscil_dcop_47,t2d_q4_A_37,t2d_q4_A_36,t2d_q4_A_35,t2d_q4_A_34,t2d_q4_A_33,t2d_q4_A_31,t2d_q4_A_30,lhr34,c-19,c-18,extr1b,lund_b,oscil_dcop_07,oscil_dcop_06,oscil_dcop_05,oscil_dcop_04,oscil_dcop_03,oscil_dcop_02,oscil_dcop_01,oscil_dcop_09,jan99jac120sc,TSOPF_RS_b300_c1,igbt3,t2d_q9_A_41,plbuckle,oscil_dcop_11,Zd_Jac2_db,jan99jac100,jazz,utm300,LFAT5,t2d_q9_A_40,S20PI_n1_E,piston,plbuckle_G,vibrobox,hydr1c_A_58,nasa2910,ww_36_pmec_36,hydr1c_A_01,hydr1c_A_03,hydr1c_A_02,hydr1c_A_05,hydr1c_A_04,hydr1c_A_07,hydr1c_A_06,hydr1c_A_09,hydr1c_A_08,hydr1c_A_59,t2d_q9_A_42,fpga_dcop_08,fpga_dcop_07,fpga_dcop_04,fpga_dcop_05,fpga_dcop_02,fpga_dcop_03,mark3jac100,shermanACd,shermanACb,shermanACa,TSOPF_RS_b300_c2,TSOPF_RS_b300_c3,adder_dcop_29,t2d_q9_A_30,meg1,adder_dcop_23,adder_dcop_22,adder_dcop_21,adder_dcop_20,mark3jac080,swang1,swang2,west1505,t2d_q9_A_38,t2d_q9_A_39,add20,cbuckle_G,t2d_q9_A_32,t2d_q9_A_33,t2d_q9_A_34,t2d_q9_A_35,t2d_q9_A_05,iprob,Si2,jan99jac100sc,t2d_q9_A_16,adder_trans_01,Reuters911_Day_23,g7jac080sc,wathen120,viscoplastic1_C_7,ns3Da,viscoplastic1_C_5,d_ss,viscoplastic1_C_3,viscoplastic1_C_2,viscoplastic1_C_1,nmos3,g7jac040sc,utm3060,jan99jac060sc,viscoplastic1_C_4,SiH4,S40PI_n1_E,LF10000_M,poli,t2d_q9_A_14,Reuters911_Day_54,circuit_1,powersim,std1_Jac2_db,mark3jac040,cage9,circuit_3,Zhao1,cage5,cage7,c-43,t2d_q4_A_29,t2d_q9_A_26,t2d_q9_A_15,nasa2146,hydr1c,t2dal_E,wathen100,mark3jac060,c-62,c-60,c-61,t2d_q4_A_27,extr1b_A_28,extr1b_A_29,extr1b_A_26,extr1b_A_27,extr1b_A_24,extr1b_A_25,extr1b_A_22,extr1b_A_23,extr1b_A_20,extr1b_A_21,rajat05,rajat04,shyy41,lhr11c,hydr1c_A_40,LF10_E,t2d_q4_A_45,memplus,airfoil_2d,cavity06,cavity07,cavity04,cavity05,cavity02,cavity03,cavity01,Ill_Stokes,cavity08,cavity09,lhr07c,adder_dcop_69,adder_dcop_68,adder_dcop_67,adder_dcop_64,ww_vref_6405,adder_dcop_61,s2rmt3m1,n3c6-b1,n3c6-b7,c-27,b2_ss,heart3,jan99jac060,heart1,nemeth03,lhr10c,Chebyshev1,Chebyshev3,Chebyshev2,1win,mark3jac020,hydr1c_A_52,hydr1c_A_53,hydr1c_A_50,hydr1c_A_51,hydr1c_A_56,hydr1c_A_57,hydr1c_A_54,hydr1c_A_55,nopss_11k,t2d_q9,hydr1c_A_67,Na5,t2d_q4,TSOPF_RS_b2052_c1,g7jac010,fpga_dcop_51,ted_B,t3dl_a,CAG_mat364,poli_large,t2d_q4_A_32,west0067,viscoplastic1_C_6,t3dl,nopoly,zenios,s3rmq4m1,Reuters911_Day_12,chipcool1_E,t2d_q4_A_28,flowmeter5_E,t2d_q4_A_25,t2d_q4_A_26,t2d_q4_A_20,t2d_q4_A_21,t2d_q4_A_22,cz40948,lhr02,lhr01,rajat13,lhr07,c-28,c-29,c-26,big,c-24,c-25,c-22,c-23,c-20,c-21,t2d_q4_A_23,Reuters911,gyro_k,oscil_dcop_10,bips98_1450,oscil_dcop_12,oscil_dcop_13,oscil_dcop_14,oscil_dcop_15,oscil_dcop_16,oscil_dcop_17,oscil_dcop_18,oscil_dcop_19,invextr1_new,CAG_mat1916,fv2,fv1,g7jac100,lhr14c,watt_1,oscil_dcop_46,young3c,t2d_q9_A_06,rail_1357,rdist3a,extr1b_A_17,extr1b_A_16,extr1b_A_14,TSOPF_RS_b162_c3,extr1b_A_19,extr1b_A_18,hydr1c_A_16,hydr1c_A_14,football,hydr1c_A_12,adder_dcop_18,filter2D_E,hydr1c_A_11,bips07_3078,adder_dcop_19,hydr1c_A_18,hydr1c_A_19,fpga_dcop_19,fpga_dcop_18,wang2,onetone2,adder_dcop_17,ex28,fpga_dcop_12,adder_dcop_14,fpga_dcop_16,chem_master1,ted_A_unscaled,TSOPF_RS_b39_c19,t2dal,fv3,t2dah,west0479,adder_dcop_35,mark3jac100sc,adder_dcop_30,adder_dcop_31,adder_dcop_32,wang1,adder_dcop_38,adder_dcop_39,s3rmt3m3,flowmeter0_E,cbuckle,g7jac120sc,hydr1c_A_63,hydr1c_A_62,hydr1c_A_61,hydr1c_A_60,hydr1c_A_66,hydr1c_A_65,t2d_q9_A_04,hydr1c_A_69,G61,t2d_q9_A_01,t2d_q9_A_02,s1rmq4m1,lhr04c,cz2548,cell1,appu,cell2,pdb1HYS,qh1484,cz10228,cage8,west0497,TSOPF_RS_b39_c7,xingo_afonso_itaipu,extr1b_A_13,t2d_q9_A_09,raefsky2,zeros_nopss_13k,pesa,cage6,jan99jac080sc,Reuters911_Day_47,t520,mark3jac080sc,GT01R,hydr1c_A_29,ex29,t2d_q9_A_28,t2d_q9_A_08,robot,LF10000,d_dyn,t2d_q9_A_23,t2dal_a,psmigr_2,oscil_dcop_29,oscil_dcop_28,t2d_q9_A_20,cz1268,oscil_dcop_21,oscil_dcop_20,oscil_dcop_23,oscil_dcop_22,oscil_dcop_25,oscil_dcop_24,oscil_dcop_27,oscil_dcop_26,rajat14,rajat15,rajat11,rajat12,aft01,chipcool0_E,S10PI_n1_E,lhr14,d_dyn1,SiO,rajat19,west0989,cavity19,cavity18,jan99jac120,g7jac100sc,cavity11,cavity10,cavity13,cavity12,cavity15,cavity14,cavity17,cavity16,jan99jac080,t2d_q4_A_38,t2d_q9_A_12,cage11,cage10,olafu,cryg10000,t2d_q9_A_13,t2d_q9_A_10,oscil_dcop_42,t2d_q9_A_11,mark3jac060sc,t2d_q4_A_04,extr1b_A_40,extr1b_A_41,extr1b_A_42,extr1b_A_43,extr1b_A_44,t2d_q9_A_17}
@attribute solver_time numeric
@attribute class {good,bad}

@data
2427.003,45711.66,29.76966,2,28.43969,1.21084,0.000341,32168839,hydr1c_A_76,0.000341,bad
2427.003,45711.66,29.76966,2,28.43969,1.21084,0.000272,29030070,hydr1c_A_76,0.000272,bad
2427.003,45711.66,29.76966,2,28.43969,1.21084,0.000412,36564232,hydr1c_A_76,0.000412,bad
2427.003,45711.66,29.76966,2,28.43969,1.21084,1.79769313486E308,81986705,hydr1c_A_76,1.79769313486E308,bad
2427.003,45711.66,29.76966,2,28.43969,1.21084,0.000232,69654763,hydr1c_A_76,0.000232,bad
2427.003,45711.66,29.76966,2,28.43969,1.21084,0.000139,37052868,hydr1c_A_76,0.000139,good
2407.43,2296333,27.93044,2,29.9565,192.0068,50.76741,45869639,hydr1c_A_27,50.76741,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.073997,47942867,hydr1c_A_27,0.073997,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.049756,30870720,hydr1c_A_27,0.049756,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,32.96297,44526267,hydr1c_A_27,32.96297,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.000184,32168839,hydr1c_A_27,0.000184,good
2407.43,2296333,27.93044,2,29.9565,192.0068,0.022982,95762352,hydr1c_A_27,0.022982,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.051844,53362206,hydr1c_A_27,0.051844,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.030687,85483012,hydr1c_A_27,0.030687,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.092539,47942864,hydr1c_A_27,0.092539,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.083596,47942865,hydr1c_A_27,0.083596,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.084971,47942866,hydr1c_A_27,0.084971,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.036138,99720138,hydr1c_A_27,0.036138,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.000349,29030070,hydr1c_A_27,0.000349,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.069695,68908713,hydr1c_A_27,0.069695,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.000283,36564232,hydr1c_A_27,0.000283,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.020129,81986705,hydr1c_A_27,0.020129,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.000136,69654763,hydr1c_A_27,0.000136,good
2407.43,2296333,27.93044,2,29.9565,192.0068,0.091103,1216556,hydr1c_A_27,0.091103,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.000216,36025721,hydr1c_A_27,0.000216,bad
2407.43,2296333,27.93044,2,29.9565,192.0068,0.033422,37052868,hydr1c_A_27,0.033422,bad
2408.001,2296333,28.7351,2,26.60895,183.6379,0.000185,32168839,hydr1c_A_26,0.000185,good
2408.001,2296333,28.7351,2,26.60895,183.6379,0.00036,29030070,hydr1c_A_26,0.00036,bad
2408.001,2296333,28.7351,2,26.60895,183.6379,0.000274,36564232,hydr1c_A_26,0.000274,bad
2408.001,2296333,28.7351,2,26.60895,183.6379,1.79769313486E308,81986705,hydr1c_A_26,1.79769313486E308,bad
2408.001,2296333,28.7351,2,26.60895,183.6379,0.000169,69654763,hydr1c_A_26,0.000169,good
2408.001,2296333,28.7351,2,26.60895,183.6379,0.000187,37052868,hydr1c_A_26,0.000187,good
2427.391,45386.36,28.93934,2,27.24262,1.195174,0.000222,32168839,hydr1c_A_25,0.000222,good
2427.391,45386.36,28.93934,2,27.24262,1.195174,0.000515,29030070,hydr1c_A_25,0.000515,bad
2427.391,45386.36,28.93934,2,27.24262,1.195174,0.000611,36564232,hydr1c_A_25,0.000611,bad
2427.391,45386.36,28.93934,2,27.24262,1.195174,1.79769313486E308,81986705,hydr1c_A_25,1.79769313486E308,bad
2427.391,45386.36,28.93934,2,27.24262,1.195174,0.000183,69654763,hydr1c_A_25,0.000183,good
2427.391,45386.36,28.93934,2,27.24262,1.195174,0.000279,37052868,hydr1c_A_25,0.000279,bad
2407.734,2276611,28.93907,2,26.49207,194.9634,0.01792,36025724,hydr1c_A_23,0.01792,bad
2407.734,2276611,28.93907,2,26.49207,194.9634,0.089749,17734818,hydr1c_A_23,0.089749,bad
2407.734,2276611,28.93907,2,26.49207,194.9634,0.016615,32168839,hydr1c_A_23,0.016615,bad
2407.734,2276611,28.93907,2,26.49207,194.9634,0.037067,95762353,hydr1c_A_23,0.037067,bad
2407.734,2276611,28.93907,2,26.49207,194.9634,0.03226,95762354,hydr1c_A_23,0.03226,bad
2407.734,2276611,28.93907,2,26.49207,194.9634,0.040539,29030070,hydr1c_A_23,0.040539,bad
2407.734,2276611,28.93907,2,26.49207,194.9634,0.000278,36564232,hydr1c_A_23,0.000278,bad
2407.734,2276611,28.93907,2,26.49207,194.9634,1.79769313486E308,81986705,hydr1c_A_23,1.79769313486E308,bad
2407.734,2276611,28.93907,2,26.49207,194.9634,0.000135,69654763,hydr1c_A_23,0.000135,good
2407.734,2276611,28.93907,2,26.49207,194.9634,0.000278,37052868,hydr1c_A_23,0.000278,bad
2427.031,45348.06,29.3272,2,27.41537,1.571096,52.14923,45869638,hydr1c_A_22,52.14923,bad
2427.031,45348.06,29.3272,2,27.41537,1.571096,52.15672,45869637,hydr1c_A_22,52.15672,bad
2427.031,45348.06,29.3272,2,27.41537,1.571096,0.021561,30870721,hydr1c_A_22,0.021561,bad
2427.031,45348.06,29.3272,2,27.41537,1.571096,0.000432,32168839,hydr1c_A_22,0.000432,bad
2427.031,45348.06,29.3272,2,27.41537,1.571096,0.035947,42851841,hydr1c_A_22,0.035947,bad
2427.031,45348.06,29.3272,2,27.41537,1.571096,0.201721,5890862,hydr1c_A_22,0.201721,bad
2427.031,45348.06,29.3272,2,27.41537,1.571096,0.000411,29030070,hydr1c_A_22,0.000411,bad
2427.031,45348.06,29.3272,2,27.41537,1.571096,0.032397,30870722,hydr1c_A_22,0.032397,bad
2427.031,45348.06,29.3272,2,27.41537,1.571096,0.000424,36564232,hydr1c_A_22,0.000424,bad
2427.031,45348.06,29.3272,2,27.41537,1.571096,1.79769313486E308,81986705,hydr1c_A_22,1.79769313486E308,bad
2427.031,45348.06,29.3272,2,27.41537,1.571096,0.000177,69654763,hydr1c_A_22,0.000177,good
2427.031,45348.06,29.3272,2,27.41537,1.571096,0.035965,37052870,hydr1c_A_22,0.035965,bad
2427.031,45348.06,29.3272,2,27.41537,1.571096,0.039957,37052869,hydr1c_A_22,0.039957,bad
2427.031,45348.06,29.3272,2,27.41537,1.571096,0.000223,37052868,hydr1c_A_22,0.000223,good
2407.284,2270087,28.94268,2,26.7714,203.6607,0.021217,89269804,hydr1c_A_21,0.021217,bad
2407.284,2270087,28.94268,2,26.7714,203.6607,0.00035,32168839,hydr1c_A_21,0.00035,bad
2407.284,2270087,28.94268,2,26.7714,203.6607,0.016106,57331597,hydr1c_A_21,0.016106,bad
2407.284,2270087,28.94268,2,26.7714,203.6607,48.80587,12321508,hydr1c_A_21,48.80587,bad
2407.284,2270087,28.94268,2,26.7714,203.6607,0.076598,91068411,hydr1c_A_21,0.076598,bad
2407.284,2270087,28.94268,2,26.7714,203.6607,0.000596,29030070,hydr1c_A_21,0.000596,bad
2407.284,2270087,28.94268,2,26.7714,203.6607,0.040298,36564233,hydr1c_A_21,0.040298,bad
2407.284,2270087,28.94268,2,26.7714,203.6607,0.000279,36564232,hydr1c_A_21,0.000279,good
2407.284,2270087,28.94268,2,26.7714,203.6607,1.79769313486E308,81986705,hydr1c_A_21,1.79769313486E308,bad
2407.284,2270087,28.94268,2,26.7714,203.6607,0.000224,69654763,hydr1c_A_21,0.000224,good
2407.284,2270087,28.94268,2,26.7714,203.6607,0.032087,37052871,hydr1c_A_21,0.032087,bad
2407.284,2270087,28.94268,2,26.7714,203.6607,0.782743,44114476,hydr1c_A_21,0.782743,bad
2407.284,2270087,28.94268,2,26.7714,203.6607,0.030018,36564235,hydr1c_A_21,0.030018,bad
2407.284,2270087,28.94268,2,26.7714,203.6607,0.000312,37052868,hydr1c_A_21,0.000312,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.063531,91036839,Si5H12,0.063531,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.045506,45869639,Si5H12,0.045506,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.043849,45869638,Si5H12,0.043849,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.04349,45869637,Si5H12,0.04349,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.620053,47942867,Si5H12,0.620053,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.044672,89269801,Si5H12,0.044672,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.055581,89269804,Si5H12,0.055581,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.045771,7285384,Si5H12,0.045771,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.058337,30870721,Si5H12,0.058337,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.048539,36025723,Si5H12,0.048539,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.051467,36025722,Si5H12,0.051467,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.047027,30870720,Si5H12,0.047027,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.190315,64278029,Si5H12,0.190315,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.038228,36025724,Si5H12,0.038228,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.159416,44526267,Si5H12,0.159416,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.619493,17734818,Si5H12,0.619493,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.048989,32168839,Si5H12,0.048989,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.041986,32168838,Si5H12,0.041986,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,113.9588,57331597,Si5H12,113.9588,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.041296,95762352,Si5H12,0.041296,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.040836,32168837,Si5H12,0.040836,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.028087,88865079,Si5H12,0.028087,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.030357,88865077,Si5H12,0.030357,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.066679,11256943,Si5H12,0.066679,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.065333,11256941,Si5H12,0.065333,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.043879,42851841,Si5H12,0.043879,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.063283,11256944,Si5H12,0.063283,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.327138,53362206,Si5H12,0.327138,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.053146,95762355,Si5H12,0.053146,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.079486,12321508,Si5H12,0.079486,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.094005,75830644,Si5H12,0.094005,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.052972,95762353,Si5H12,0.052972,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.619746,91068411,Si5H12,0.619746,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,265.2868,85483012,Si5H12,265.2868,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.190785,5890863,Si5H12,0.190785,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.200754,5890862,Si5H12,0.200754,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.076449,18868444,Si5H12,0.076449,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.085614,18868441,Si5H12,0.085614,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.092471,18868443,Si5H12,0.092471,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.092507,18868442,Si5H12,0.092507,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.641924,47942864,Si5H12,0.641924,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.640839,47942865,Si5H12,0.640839,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.627468,47942866,Si5H12,0.627468,bad
3331.368,47.57771,13.61307,1,13.60808,2.911578,0.169831,8520536,Si5H12,0.169831,bad
