avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver, class
372.5646,1091429,53.45869,1,53.45869,40913.62,22.96008,90197667,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,21.58429,45869638,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.04692234,47942867,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.01799842,89269802,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.0312918,89269803,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.03384126,89269801,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,1.836743,59072883,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,1.486279,59072881,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.01008421,7285381,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.009240092,7285384,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,1.186151,59072884,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.0347614,36025723,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.03482856,36025722,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,41.81289,53302993,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.02316056,36025724,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,32.09311,8793453,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.01950346,32168839,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.01756092,32168838,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.010662,57331599,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.9769333,88865079,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,77.59211,49834417,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,7.995786,88865076,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,17.39459,88865077,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,44.64646,11256942,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,44.87223,11256943,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,44.86038,11256941,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.1852713,42851841,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,44.8684,11256944,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,72.47364,31459546,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.05645489,17887723,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.01702541,91845162,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,53.74863,43373441,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.1022076,91068411,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.02479798,85483012,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.0220044,18868443,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.1930474,18868442,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.02952209,91068409,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.0239172,8520536,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.2651322,5890860,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,25.64189,82456576,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.009148563,95762354,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.0351746,90783920,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.00012994,29030070,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.00956359,29030072,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.03818746,85490469,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.03898711,30870723,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,16.36581,26415435,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,15.82119,26415432,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.0257211,36564233,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.009583842,7285382,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.00037169,36564232,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.03665287,75830645,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.02684804,36564234,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,1.79769313486e+308,81986705,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.01834979,29553943,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.5001012,29553942,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,29.8529,69654761,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.03768178,69654763,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,35.31159,69654762,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.02232981,32168840,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,20.88025,90197665,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.03543595,37052870,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.02424381,37052871,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,62.83344,19932321,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.03074811,19932323,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.0451238,80361467,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,77.8976,49834420,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,29.0255,38678404,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.0240272,38678402,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.2594985,38678403,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,17.78999,32874611,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,16.8929,32874610,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,19.00559,32874612,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.0376114,44114477,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.04824395,44114478,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.03323011,36564235,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.02528838,36025721,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.07254899,85490471,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,1.106423,85490470,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.03586328,85490472,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,0.02485408,37052869,fair
372.5646,1091429,53.45869,1,53.45869,40913.62,7.03E-05,37052868,1
200.611,1,1.726839,5,1.726839,10.44892,0.00012589,32168839,1
200.611,1,1.726839,5,1.726839,10.44892,0.01419047,95762352,fair
200.611,1,1.726839,5,1.726839,10.44892,0.06500468,47942865,fair
200.611,1,1.726839,5,1.726839,10.44892,0.00062156,29030070,fair
200.611,1,1.726839,5,1.726839,10.44892,0.00018191,36564232,-1
200.611,1,1.726839,5,1.726839,10.44892,1.79769313486e+308,81986705,fair
200.611,1,1.726839,5,1.726839,10.44892,0.00023603,69654763,fair
200.611,1,1.726839,5,1.726839,10.44892,0.00033784,36025721,fair
200.611,1,1.726839,5,1.726839,10.44892,0.00032711,37052868,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.1172434,45869637,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.00012994,32168839,1
792.7765,2.957396,295.84,2,295.84,512.5285,0.01494946,11256943,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.00033712,29030070,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.00021505,36564232,fair
792.7765,2.957396,295.84,2,295.84,512.5285,1.79769313486e+308,81986705,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.02311637,29553944,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.00016189,69654763,1
792.7765,2.957396,295.84,2,295.84,512.5285,0.02414006,69654760,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.0392612,37052870,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.01195768,38678402,fair
792.7765,2.957396,295.84,2,295.84,512.5285,0.00017309,37052868,1
790.0977,1.075141,11.9998,2,11.9998,12464210,0.145279,91036839,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.12156,45869639,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.1215788,45869638,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.0975235,89269804,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.09772757,30870721,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.09759411,30870720,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.07375312,36025724,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,17.46022,44526267,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.07320811,32168839,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.02721486,32168838,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.01150485,57331597,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.0126573,95762352,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.02107919,32168837,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.03886916,88865079,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.1082537,42851841,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.149034,53362206,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.1161847,12321508,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.01350061,95762353,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.03731484,91068411,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.02084592,85483012,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,4.132512,5890862,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.0363441,18868444,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.0224319,18868441,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.1051546,18868443,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.01961893,18868442,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.0124327,95762354,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.01130585,99720138,fair
790.0977,1.075141,11.9998,2,11.9998,12464210,0.01723532,29030070,fair
