lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,solver,class,matrix_name,solver_time,default_time,Time Difference,Comparison,SpeedUp
3298.002,17969,19187.95,8,1,9.098086,2285,489.0298,32168839,good,c-27,0.000095,0.000095,0.0,0.0 % less time of default solver time,1.0
3298.002,17969,19187.95,8,1,9.098086,2285,489.0298,36025721,good,c-27,0.000096,0.000095,1.05,1.05 % more time of default solver time,0.9895833333333334
2619.653,243167,34.01184,300.0004,1,300.0004,7946,1.355457,32168839,good,lhr10c,0.000487,0.000487,0.0,0.0 % less time of default solver time,1.0
2619.653,243167,34.01184,300.0004,1,300.0004,7946,1.355457,36564232,good,lhr10c,0.000483,0.000487,-0.82,-0.82 % less time of default solver time,1.008281573498965
2048.003,36879,2000004,26.87428,3,26.87428,4103,313286.2,32168839,good,Chebyshev3,0.000701,0.000701,0.0,0.0 % less time of default solver time,1.0
2408.201,24801,2316819,30.66471,2,28.1316,7952,183.76,32168839,good,hydr1c_A_56,0.000191,0.000191,0.0,0.0 % less time of default solver time,1.0
2408.201,24801,2316819,30.66471,2,28.1316,7952,183.76,69654763,good,hydr1c_A_56,0.000169,0.000191,-11.52,-11.52 % less time of default solver time,1.1301775147928996
2408.201,24801,2316819,30.66471,2,28.1316,7952,183.76,37052868,good,hydr1c_A_56,0.000217,0.000191,13.61,13.61 % more time of default solver time,0.8801843317972351
2427.511,28861,66035.28,30.66095,2,28.79542,8311,1.293485,32168839,good,hydr1c_A_57,0.000204,0.000204,0.0,0.0 % less time of default solver time,1.0
2427.511,28861,66035.28,30.66095,2,28.79542,8311,1.293485,69654763,good,hydr1c_A_57,0.000178,0.000204,-12.75,-12.75 % less time of default solver time,1.1460674157303372
2427.288,28849,58138.05,29.40351,2,27.58136,8312,1.183745,32168839,good,hydr1c_A_54,0.000221,0.000221,0.0,0.0 % less time of default solver time,1.0
2427.288,28849,58138.05,29.40351,2,27.58136,8312,1.183745,69654763,good,hydr1c_A_54,0.000177,0.000221,-19.91,-19.91 % less time of default solver time,1.248587570621469
2427.288,28849,58138.05,29.40351,2,27.58136,8312,1.183745,37052868,good,hydr1c_A_54,0.000172,0.000221,-22.17,-22.17 % less time of default solver time,1.2848837209302326
66.22222,87025,5.333333,1.034632,4,1.034632,9,2145.693,32168839,good,t2d_q9,0.00655,0.00655,0.0,0.0 % less time of default solver time,1.0
66.22222,87025,5.333333,1.034632,4,1.034632,9,2145.693,36564232,good,t2d_q9,0.008282,0.00655,26.44,26.44 % more time of default solver time,0.7908717701038397
1145.818,155731,22.89451,16.67064,1,16.66817,2292,2.87792,59072883,good,Na5,0.000414,0.000438,-5.48,-5.48 % less time of default solver time,1.0579710144927537
1145.818,155731,22.89451,16.67064,1,16.66817,2292,2.87792,32168839,good,Na5,0.000438,0.000438,0.0,0.0 % less time of default solver time,1.0
1145.818,155731,22.89451,16.67064,1,16.66817,2292,2.87792,36025721,good,Na5,0.000535,0.000438,22.15,22.15 % more time of default solver time,0.8186915887850468
