lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,solver,class,matrix_name,solver_time,default_time,Time Difference,Comparison,SpeedUp
4647.173,2,4,1,4,33.05747,0.000791,69654763,good,poli_large,0.000791,0.001039,-23.87,-23.87 % less time of default solver time,1.313527181
2408.001,2273545,28.62337,2,26.90774,178.5168,0.000141,37052868,good,hydr1c_A_66,0.000141,0.000185,-23.78,-23.78 % less time of default solver time,1.312056738
751.1841,1.221141,18.62187,1,18.62187,1.532423,0.000761,29030070,good,t3dl_a,0.000761,0.000978,-22.19,-22.19 % less time of default solver time,1.285151117
2427.288,58138.05,29.40351,2,27.58136,1.183745,0.000172,37052868,good,hydr1c_A_54,0.000172,0.000221,-22.17,-22.17 % less time of default solver time,1.284883721
2427.857,52685.83,28.91176,2,26.91073,1.174209,0.000177,37052868,good,hydr1c_A_65,0.000177,0.000222,-20.27,-20.27 % less time of default solver time,1.254237288
2427.288,58138.05,29.40351,2,27.58136,1.183745,0.000177,69654763,good,hydr1c_A_54,0.000177,0.000221,-19.91,-19.91 % less time of default solver time,1.248587571
12537.49,200542.3,10.28527,3,10.28527,7.260631,0.009046,36564232,good,TSOPF_RS_b2052_c1,0.009046,0.011267,-19.71,-19.71 % less time of default solver time,1.245522883
849.6811,8129.613,59.48493,2,57.87321,4.90858,0.000587,36564232,good,onetone2,0.000587,0.000688,-14.68,-14.68 % less time of default solver time,1.172061329
10596.47,2942.475,13.4054,3,13.4054,3.497701,0.000989,37052868,good,TSOPF_RS_b162_c3,0.000989,0.001141,-13.32,-13.32 % less time of default solver time,1.153690597
2427.511,66035.28,30.66095,2,28.79542,1.293485,0.000178,69654763,good,hydr1c_A_57,0.000178,0.000204,-12.75,-12.75 % less time of default solver time,1.146067416
793.8216,1.904575,215.6511,2,215.6511,64.03587,0.000152,69654763,good,adder_dcop_19,0.000152,0.000174,-12.64,-12.64 % less time of default solver time,1.144736842
2408.201,2316819,30.66471,2,28.1316,183.76,0.000169,69654763,good,hydr1c_A_56,0.000169,0.000191,-11.52,-11.52 % less time of default solver time,1.130177515
2408.001,2258658,29.13269,2,26.93115,183.8645,0.000169,69654763,good,hydr1c_A_62,0.000169,0.000186,-9.14,-9.14 % less time of default solver time,1.100591716
2426.757,45361.07,27.64377,2,26.92431,1.116794,0.000228,69654763,good,hydr1c_A_19,0.000228,0.00025,-8.8,-8.8 % less time of default solver time,1.096491228
2427.573,52046.66,28.40147,2,26.60359,1.162148,0.000211,37052868,good,hydr1c_A_61,0.000211,0.000227,-7.05,-7.05 % less time of default solver time,1.075829384
1913.373,6743057000,27.93371,1,27.42213,1174.046,0.001495,36025721,good,gyro_k,0.001495,0.001594,-6.21,-6.21 % less time of default solver time,1.066220736
1145.818,22.89451,16.67064,1,16.66817,2.87792,0.000414,59072883,good,Na5,0.000414,0.000438,-5.48,-5.48 % less time of default solver time,1.057971014
2408.001,2273545,28.62337,2,26.90774,178.5168,0.000177,69654763,good,hydr1c_A_66,0.000177,0.000185,-4.32,-4.32 % less time of default solver time,1.04519774
2408.001,2258658,28.5598,2,29.56166,177.4435,0.00018,69654763,good,hydr1c_A_63,0.00018,0.000187,-3.74,-3.74 % less time of default solver time,1.038888889
2614.427,2111.702,8,1,9.262202,3.043978,0.000118,36025721,good,c-25,0.000118,0.000121,-2.48,-2.48 % less time of default solver time,1.025423729
0,1.10188,5.97202,1,5.97202,1.18756,0.000084,36025721,good,flowmeter5_E,0.000084,0.000086,-2.33,-2.33 % less time of default solver time,1.023809524
2408.001,2258658,28.5598,2,29.56166,177.4435,0.000184,37052868,good,hydr1c_A_63,0.000184,0.000187,-1.6,-1.6 % less time of default solver time,1.016304348
10596.47,2942.475,13.4054,3,13.4054,3.497701,0.001123,36564232,good,TSOPF_RS_b162_c3,0.001123,0.001141,-1.58,-1.58 % less time of default solver time,1.016028495
2817.264,64187.34,16.75002,1,16.15871,19.09824,0.000069,36025721,good,c-22,0.000069,0.00007,-1.43,-1.43 % less time of default solver time,1.014492754
2619.653,34.01184,300.0004,1,300.0004,1.355457,0.000483,36564232,good,lhr10c,0.000483,0.000487,-0.82,-0.82 % less time of default solver time,1.008281573
12537.49,200542.3,10.28527,3,10.28527,7.260631,0.011175,37052868,good,TSOPF_RS_b2052_c1,0.011175,0.011267,-0.82,-0.82 % less time of default solver time,1.008232662
751.1841,1.221141,18.62187,1,18.62187,1.532423,0.000973,36025721,good,t3dl_a,0.000973,0.000978,-0.51,-0.51 % less time of default solver time,1.005138746
20.10811,1,8.705163,1,8.705163,11177070,0.000297,36025721,good,ted_B,0.000297,0.000298,-0.34,-0.34 % less time of default solver time,1.003367003
3298.002,19187.95,8,1,9.098086,489.0298,0.000095,32168839,good,c-27,0.000095,0.000095,0,0.0 % less time of default solver time,1
2619.653,34.01184,300.0004,1,300.0004,1.355457,0.000487,32168839,good,lhr10c,0.000487,0.000487,0,0.0 % less time of default solver time,1
2048.003,2000004,26.87428,3,26.87428,313286.2,0.000701,32168839,good,Chebyshev3,0.000701,0.000701,0,0.0 % less time of default solver time,1
2408.201,2316819,30.66471,2,28.1316,183.76,0.000191,32168839,good,hydr1c_A_56,0.000191,0.000191,0,0.0 % less time of default solver time,1
2427.511,66035.28,30.66095,2,28.79542,1.293485,0.000204,32168839,good,hydr1c_A_57,0.000204,0.000204,0,0.0 % less time of default solver time,1
2427.288,58138.05,29.40351,2,27.58136,1.183745,0.000221,32168839,good,hydr1c_A_54,0.000221,0.000221,0,0.0 % less time of default solver time,1
66.22222,5.333333,1.034632,4,1.034632,2145.693,0.00655,32168839,good,t2d_q9,0.00655,0.00655,0,0.0 % less time of default solver time,1
1145.818,22.89451,16.67064,1,16.66817,2.87792,0.000438,32168839,good,Na5,0.000438,0.000438,0,0.0 % less time of default solver time,1
12537.49,200542.3,10.28527,3,10.28527,7.260631,0.011267,32168839,good,TSOPF_RS_b2052_c1,0.011267,0.011267,0,0.0 % less time of default solver time,1
20.10811,1,8.705163,1,8.705163,11177070,0.000298,32168839,good,ted_B,0.000298,0.000298,0,0.0 % less time of default solver time,1
751.1841,1.221141,18.62187,1,18.62187,1.532423,0.000978,32168839,good,t3dl_a,0.000978,0.000978,0,0.0 % less time of default solver time,1
