avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa,solver,matrix_name,solver_time,predicted-class,actual_class,default_time,Time Difference,Comparison,SpeedUp
66.22222,628785.8,1.20324,4,1.560951,1.581144,36564232,t2d_q4_A_40,0.0084553,bad,fair,0.006095,38.73,38.73 % more time of default solver time,0.7208496446016107
66.22222,654304.8,1.293912,4,1.550128,1.483663,36564232,t2d_q9_A_29,0.0082695,bad,fair,0.011776,-29.78,-29.78 % less time of default solver time,1.424028054900538
66.22222,12789.05,1.122296,4,1.252157,1.503853,36564232,t2d_q9_A_22,0.0084374,bad,fair,0.006344,33.0,33.0 % more time of default solver time,0.7518903927750256
66.22222,12789.05,1.122296,4,1.252157,1.503853,36564232,t2d_q4_A_22,0.0084419,bad,fair,0.006444,31.0,31.0 % more time of default solver time,0.7633352681268435
66.22222,33713.19,1.208104,4,1.349296,1.451379,36564232,t2d_q9_A_21,0.0086472,bad,fair,0.006548,32.06,32.06 % more time of default solver time,0.7572393375890462
66.22222,1819.361,1.115002,4,1.257349,155824.7,32168839,t2d_q4_A_13,0.0063419,bad,good,0.006342,-0.0,-0.0 % less time of default solver time,1.000015768145193
66.22222,1819.361,1.115002,4,1.257349,155824.7,32168839,t2d_q9_A_13,0.0063896,bad,good,0.00639,-0.01,-0.01 % less time of default solver time,1.0000626017278078
66.22222,1864.36,1.267202,4,1.427216,283224.2,32168839,t2d_q4_A_02,0.0065565,good,bad,0.006557,-0.01,-0.01 % less time of default solver time,1.000076260199802
66.22222,1864.36,1.267202,4,1.427216,283224.2,36564232,t2d_q4_A_02,0.0089843,bad,fair,0.006557,37.02,37.02 % more time of default solver time,0.7298287011787229
66.22222,13314.43,1.051774,4,1.258432,145013.8,36564232,t2d_q9_A_37,0.0082603,fair,bad,0.006268,31.79,31.79 % more time of default solver time,0.7588102127041391
66.22222,1659740,1.428485,4,1.868414,1.790352,45869639,t2d_q4_A_39,0.006603,fair,bad,0.00588,12.3,12.3 % more time of default solver time,0.8905043162199
66.22222,1659740,1.428485,4,1.868414,1.790352,45869639,t2d_q9_A_39,0.0066376,fair,bad,0.005875,12.98,12.98 % more time of default solver time,0.885109075569483
66.22222,1659740,1.428485,4,1.868414,1.790352,32168839,t2d_q4_A_39,0.0058801,good,bad,0.00588,0.0,0.0 % less time of default solver time,0.9999829934865053
66.22222,1659740,1.428485,4,1.868414,1.790352,32168839,t2d_q9_A_39,0.0058749,good,bad,0.005875,-0.0,-0.0 % less time of default solver time,1.0000170215663247
66.22222,1659740,1.428485,4,1.868414,1.790352,69654763,t2d_q4_A_39,0.0064688,fair,bad,0.00588,10.01,10.01 % more time of default solver time,0.9089784813257481
66.22222,1659740,1.428485,4,1.868414,1.790352,69654763,t2d_q9_A_39,0.0065036,fair,bad,0.005875,10.7,10.7 % more time of default solver time,0.9033458392275048
66.22222,1659740,1.428485,4,1.868414,1.790352,36025721,t2d_q4_A_39,0.0043542,fair,good,0.00588,-25.95,-25.95 % less time of default solver time,1.3504202838638555
66.22222,1659740,1.428485,4,1.868414,1.790352,36025721,t2d_q9_A_39,0.0041392,fair,good,0.005875,-29.55,-29.55 % less time of default solver time,1.4193563973714727
66.22222,13314.43,1.051774,4,1.258432,145010.6,32168839,t2d_q4_A_37,0.0061638,good,bad,0.006164,-0.0,-0.0 % less time of default solver time,1.0000324475161426
66.22222,12143.3,1.041705,4,1.258433,108814.6,36025724,t2d_q4_A_35,0.0061839,good,bad,0.00625,-1.06,-1.06 % less time of default solver time,1.0106890473649315
66.22222,236637.6,1.217124,4,1.362062,1.559123,36564232,t2d_q4_A_30,0.0084329,bad,fair,0.00639,31.97,31.97 % more time of default solver time,0.7577464454695301
66.22222,236637.6,1.217124,4,1.362062,1.559123,36564232,t2d_q9_A_30,0.0084569,bad,fair,0.006373,32.7,32.7 % more time of default solver time,0.7535858293228015
66.22222,261583.9,1.103877,4,1.406217,1.374764,36564232,t2d_q4_A_41,0.0082321,bad,fair,0.006019,36.77,36.77 % more time of default solver time,0.7311621578940976
66.22222,261583.9,1.103877,4,1.406217,1.374764,36564232,t2d_q9_A_41,0.0082364,bad,fair,0.011486,-28.29,-28.29 % less time of default solver time,1.394541304453402
66.22222,628785.8,1.20324,4,1.560951,1.249756,32168837,t2d_q9_A_40,0.0085402,fair,bad,0.006112,39.73,39.73 % more time of default solver time,0.715674105992834
66.22222,132173.3,1.096194,4,1.393387,1.233862,32168839,t2d_q4_A_42,0.0060914,bad,good,0.006091,0.01,0.01 % more time of default solver time,0.9999343336507206
66.22222,132173.3,1.096194,4,1.393387,1.233862,32168839,t2d_q9_A_42,0.0061128,bad,good,0.006113,-0.0,-0.0 % less time of default solver time,1.0000327182305981
66.22222,132173.3,1.096194,4,1.393387,1.233862,36564232,t2d_q4_A_42,0.0082467,fair,bad,0.006091,35.39,35.39 % more time of default solver time,0.7385984696909067
66.22222,132173.3,1.096194,4,1.393387,1.233862,36564232,t2d_q9_A_42,0.0082507,fair,bad,0.006113,34.97,34.97 % more time of default solver time,0.7409068321475755
66.22222,236637.6,1.217124,4,1.362062,1.559123,36564232,t2d_q4_A_30,0.0084329,bad,fair,0.00639,31.97,31.97 % more time of default solver time,0.7577464454695301
66.22222,236637.6,1.217124,4,1.362062,1.559123,36564232,t2d_q9_A_30,0.0084569,bad,fair,0.006373,32.7,32.7 % more time of default solver time,0.7535858293228015
66.22222,4590210,1.554096,4,2.030542,1.506811,45869639,t2d_q9_A_38,0.006222,fair,bad,0.011163,-44.26,-44.26 % less time of default solver time,1.7941176470588234
66.22222,4590210,1.554096,4,2.030542,1.506811,45869639,t2d_q4_A_38,0.006206,fair,bad,0.011211,-44.64,-44.64 % less time of default solver time,1.8064776023203353
66.22222,4590210,1.554096,4,2.030542,1.506811,69654763,t2d_q9_A_38,0.0059845,fair,bad,0.011163,-46.39,-46.39 % less time of default solver time,1.865318740078536
66.22222,4590210,1.554096,4,2.030542,1.506811,69654763,t2d_q4_A_38,0.0059841,fair,bad,0.011211,-46.62,-46.62 % less time of default solver time,1.8734646814057252
66.22222,4590210,1.554096,4,2.030542,1.506811,36025721,t2d_q9_A_38,0.0044665,fair,good,0.011163,-59.99,-59.99 % less time of default solver time,2.499272360908989
66.22222,4590210,1.554096,4,2.030542,1.506811,36025721,t2d_q4_A_38,0.0042918,fair,good,0.011211,-61.72,-61.72 % less time of default solver time,2.612190689221306
66.22222,1659740,1.428485,4,1.868414,1.790352,32168839,t2d_q4_A_39,0.0058801,good,bad,0.00588,0.0,0.0 % less time of default solver time,0.9999829934865053
66.22222,1659740,1.428485,4,1.868414,1.790352,32168839,t2d_q9_A_39,0.0058749,good,bad,0.005875,-0.0,-0.0 % less time of default solver time,1.0000170215663247
66.22222,1659740,1.428485,4,1.868414,1.790352,69654763,t2d_q4_A_39,0.0064688,fair,bad,0.00588,10.01,10.01 % more time of default solver time,0.9089784813257481
66.22222,1659740,1.428485,4,1.868414,1.790352,69654763,t2d_q9_A_39,0.0065036,fair,bad,0.005875,10.7,10.7 % more time of default solver time,0.9033458392275048
66.22222,1659740,1.428485,4,1.868414,1.790352,36025721,t2d_q4_A_39,0.0043542,fair,good,0.00588,-25.95,-25.95 % less time of default solver time,1.3504202838638555
66.22222,1659740,1.428485,4,1.868414,1.790352,36025721,t2d_q9_A_39,0.0041392,fair,good,0.005875,-29.55,-29.55 % less time of default solver time,1.4193563973714727
66.22222,37362.49,1.044205,4,1.258102,321109.2,32168839,t2d_q9_A_32,0.0061913,good,bad,0.006191,0.0,0.0 % less time of default solver time,0.9999515449097928
66.22222,107.8268,1.027002,4,1.144468,19993.33,45869639,t2d_q9_A_05,0.0062025,bad,good,0.012345,-49.76,-49.76 % less time of default solver time,1.9903264812575576
66.22222,760.8224,1.032237,4,1.140008,65554.59,36564232,t2d_q4_A_14,0.0089874,fair,bad,0.006471,38.89,38.89 % more time of default solver time,0.720008011215702
66.22222,760.8224,1.032237,4,1.140008,65554.59,36564232,t2d_q9_A_14,0.0092025,fair,bad,0.006338,45.2,45.2 % more time of default solver time,0.6887258897038847
66.22222,654304.8,1.293912,4,1.550128,1.342661,32168839,t2d_q4_A_29,0.0062594,good,bad,0.006259,0.01,0.01 % more time of default solver time,0.9999360961114483
66.22222,654304.8,1.293912,4,1.550128,1.342661,36564232,t2d_q4_A_29,0.0082357,bad,fair,0.006259,31.58,31.58 % more time of default solver time,0.759983972218512
66.22222,1749.823,0.964094,4,1.071613,55436.77,32168839,t2d_q9_A_26,0.0063612,bad,good,0.006361,0.0,0.0 % less time of default solver time,0.9999685593913099
66.22222,1749.823,0.964094,4,1.071613,55436.77,32168839,t2d_q4_A_26,0.0064301,bad,good,0.00643,0.0,0.0 % less time of default solver time,0.9999844481423306
66.22222,1749.823,0.964094,4,1.071613,55436.77,36564232,t2d_q9_A_26,0.008425,fair,bad,0.006361,32.45,32.45 % more time of default solver time,0.7550148367952523
66.22222,1749.823,0.964094,4,1.071613,55436.77,36564232,t2d_q4_A_26,0.0084307,fair,bad,0.00643,31.12,31.12 % more time of default solver time,0.7626887447068452
66.22222,93191.72,1.283613,4,1.420731,1.403883,32168839,t2d_q4_A_20,0.0065556,good,bad,0.006556,-0.01,-0.01 % less time of default solver time,1.000061016535481
66.22222,93191.72,1.283613,4,1.420731,1.403883,32168839,t2d_q9_A_20,0.0066321,good,bad,0.006632,0.0,0.0 % less time of default solver time,0.9999849218196347
66.22222,93191.72,1.283613,4,1.420731,1.403883,36564232,t2d_q4_A_20,0.0088196,bad,fair,0.006556,34.53,34.53 % more time of default solver time,0.7433443693591546
66.22222,93191.72,1.283613,4,1.420731,1.403883,36564232,t2d_q9_A_20,0.0088172,bad,fair,0.006632,32.95,32.95 % more time of default solver time,0.752166220568888
66.22222,33713.19,1.208104,4,1.349296,1.297916,36564232,t2d_q4_A_21,0.0086255,bad,fair,0.006594,30.81,30.81 % more time of default solver time,0.764477421598748
66.22222,12789.05,1.122296,4,1.252157,1.503853,36564232,t2d_q9_A_22,0.0084374,bad,fair,0.006344,33.0,33.0 % more time of default solver time,0.7518903927750256
66.22222,12789.05,1.122296,4,1.252157,1.503853,36564232,t2d_q4_A_22,0.0084419,bad,fair,0.006444,31.0,31.0 % more time of default solver time,0.7633352681268435
66.22222,5335.601,1.037953,4,1.133933,164416.8,32168839,t2d_q4_A_23,0.0064445,good,bad,0.006445,-0.01,-0.01 % less time of default solver time,1.0000775855380557
