lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,nnzeros,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared,solver,class,matrix_name,solver_time,default_time,Time Difference,Comparison,SpeedUp
0,0,4,0,2,1,6,0,4,-0.565343,0,0,49.41483,43,20861,0,86,124.7753,73.67995,0,0,0,0.956919,-123.7731,0,0,0,0,0,0,-0.000372,5.39564,4073.604,0,20861,4257,86,0,-4073.604,1,-2,5.39564,4257,0,0,5,0,4.501106,189.3548,16604,87,103.2956,1,2.573104,45,0,8026.667,0,19.8866,8.91759,-42.54856,354.9648,123.7731,0,-0.00001,4257,0,69654763,good,t2dal_bci,0.00014,0.012745,-98.9,-98.9 % less time of default solver time,91.03571429
0,0,4,0,2,1,6,0,4,-0.565343,0,0,49.41483,43,20861,0,86,124.7753,73.67995,0,0,0,0.956919,-123.7731,0,0,0,0,0,0,-0.000372,5.39564,4073.604,0,20861,4257,86,0,-4073.604,1,-2,5.39564,4257,0,0,5,0,4.501106,189.3548,16604,87,103.2956,1,2.573104,45,0,8026.667,0,19.8866,8.91759,-42.54856,354.9648,123.7731,0,-0.00001,4257,0,69654763,good,t2dal_bci,0.00014,0.012745,-98.9,-98.9 % less time of default solver time,91.03571429
0,0,4,0,2,1,6,0,4,-0.565343,0,0,49.41483,43,20861,0,86,124.7753,73.67995,0,0,0,0.956919,-123.7731,0,0,0,0,0,0,-0.000372,5.39564,4073.604,0,20861,4257,86,0,-4073.604,1,-2,5.39564,4257,0,0,5,0,4.501106,189.3548,16604,87,103.2956,1,2.573104,45,0,8026.667,0,19.8866,8.91759,-42.54856,354.9648,123.7731,0,-0.00001,4257,0,36564232,good,t2dal_bci,0.000143,0.012745,-98.88,-98.88 % less time of default solver time,89.12587413
0,0,4,0,2,1,6,0,4,-0.565343,0,0,49.41483,43,20861,0,86,124.7753,73.67995,0,0,0,0.956919,-123.7731,0,0,0,0,0,0,-0.000372,5.39564,4073.604,0,20861,4257,86,0,-4073.604,1,-2,5.39564,4257,0,0,5,0,4.501106,189.3548,16604,87,103.2956,1,2.573104,45,0,8026.667,0,19.8866,8.91759,-42.54856,354.9648,123.7731,0,-0.00001,4257,0,36564232,good,t2dal_bci,0.000143,0.012745,-98.88,-98.88 % less time of default solver time,89.12587413
0,133,6,0,0,4,44,0,6,15.00053,0,377,0.840519,54.55856,815,0,133,15.00106,0.840535,133,0,0,0.529408,-1.000006,0,0,0,0,0,0,15.00051,7.176107,71.47007,0,815,132,133,0.870968,71.47007,2,1,6.875077,135,0,0,7,0,1.928484,0.00302,303,111,15.00053,0,922908.4,93,0,6815.041,0,7.813206,0,7.187325,23.71073,15.00107,0,15.00053,135,0,37052868,good,rajat11,0.000017,0.001176,-98.55,-98.55 % less time of default solver time,69.17647059
0,924,4,0,0,2,13,0,4,-6.67E+11,0,2492,1.26E+16,512.9315,6468,0,924,1.26E+16,1.16E+13,924,0,0,27058370000,-1.28E+16,0,0,0,0,0,0,-6.67E+11,13.52287,4.02E+13,0,6468,1476,924,0.116667,-4.02E+13,3,-1,13.52287,1484,0,0,6,0,91021910000,4.71E+16,2492,569,1.26E+16,0,30955.86,240,0,589501.9,0,3.34E+11,168932300,-3.34E+11,4.71E+16,1.28E+16,0,6222.947,1484,0,37052868,good,qh1484,0.00002,0.000705,-97.16,-97.16 % less time of default solver time,35.25
0,2052,8,0,0,6,2053,0,8,728.2939,0,12292,19548.87,1024.006,18447,0,4,20004,22.61903,2052,0,0,0.793029,-23354.17,0,0,0,0,0,0,726.2121,24.46265,1628.087,0,18447,2053,4,0.945055,1626.087,3,0,24.46265,2053,0,0,8,0,19.82917,28948.68,4102,2055,20277.16,0,50605.8,91,0,351919.7,0,364.2175,0.641014,364.0764,28967.03,24375,0,728.2939,2053,0,36025721,good,Chebyshev2,0.000338,0.002548,-86.73,-86.73 % less time of default solver time,7.538461538
0,2052,8,0,0,6,2053,0,8,728.2939,0,12292,19548.87,1024.006,18447,0,4,20004,22.61903,2052,0,0,0.793029,-23354.17,0,0,0,0,0,0,726.2121,24.46265,1628.087,0,18447,2053,4,0.945055,1626.087,3,0,24.46265,2053,0,0,8,0,19.82917,28948.68,4102,2055,20277.16,0,50605.8,91,0,351919.7,0,364.2175,0.641014,364.0764,28967.03,24375,0,728.2939,2053,0,36564232,good,Chebyshev2,0.000446,0.002548,-82.5,-82.5 % less time of default solver time,5.713004484
0,1801,6,0,0,76,1310,0,6,1.174299,0,5681,0.007171,793.8216,11258,0,1763,1.644563,0.018691,1801,0,0,0.002528,-1,0,0,0,0,0,0,1.174299,98.94544,4.582556,0,11258,1813,1763,0.561644,4.582556,2,1,98.94544,1813,0,0,7,0,0.00789,0,3764,3127,1.174299,0,101.9363,73,0,1328154,0,1.08715,0,0.08715,4.257988,1.644563,0,1.174299,1813,0,37052868,good,adder_dcop_68,0.000179,0.000664,-73.04,-73.04 % less time of default solver time,3.709497207
0,2486,4,0,0,1295,11,0,4,497.9248,0,4749,61565.83,1295.338,11887,0,2835,62073.03,11524.43,2486,0,0,0.008883,-91954.07,0,0,0,0,0,0,497.9248,13.73004,25.19084,0,11887,1299,2835,0.4875,-25.19084,2,-1,9.192277,2836,0,0,6,0,0.454554,448258.5,4302,4290,62063.76,0,7.882301,240,0,4219733,0,450.3772,473.5546,47.54759,448311.5,91954.07,0,497.9248,2836,0,37052868,good,extr1b_A_11,0.000034,0.000106,-67.92,-67.92 % less time of default solver time,3.117647059
