avg-diag-dist,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa,solver,matrix_name,solver_time,predicted-class,actual_class,default_time,Time Difference,Comparison,SpeedUp
2314.406,27158.11,16.354,2,16.80601,5.012472,37052868,g7jac020sc,0.00020504,good,good,0.90747,-99.98,-99.98 % less time of default solver time,4425.819352321499
29452.07,3100350,14.29831,1,17.23892,2837443000,37052868,c-62,0.0007,bad,good,0.001015,-31.03,-31.03 % less time of default solver time,1.4500000000000002
793.8216,1.916559,99.21325,2,99.21325,81.59196,32168837,adder_dcop_18,0.00010395,good,good,0.000089,16.8,16.8 % more time of default solver time,0.856180856180856
66.22222,12789.05,1.122296,4,1.252157,1.503853,36025721,t2d_q9_A_22,0.0046382,good,good,0.006344,-26.89,-26.89 % less time of default solver time,1.3677719805096804
66.22222,12789.05,1.122296,4,1.252157,1.503853,36025721,t2d_q4_A_22,0.0045736,good,good,0.006444,-29.03,-29.03 % less time of default solver time,1.4089557460206403
8155.592,429329.9,9.381631,2,9.381631,23.349,37052868,hvdc1,0.00067377,good,good,6.9033,-99.99,-99.99 % less time of default solver time,10245.781201300148
2408.001,2258658,28.5598,2,29.56166,177.4435,69654763,hydr1c_A_63,0.00017977,good,good,0.000187,-3.87,-3.87 % less time of default solver time,1.0402180564054069
10596.47,2942.475,13.4054,3,13.4054,3.497701,37052868,TSOPF_RS_b162_c3,0.00098896,good,good,0.001141,-13.33,-13.33 % less time of default solver time,1.1537372593431483
2408.001,2413750,29.75924,2,27.25238,176.4484,37052868,hydr1c_A_73,0.00014305,good,good,0.000184,-22.26,-22.26 % less time of default solver time,1.2862635442153092
2420.837,2298394,19.90817,2,19.05196,1.699392,69654763,hydr1c_A_05,0.00017023,good,good,0.000411,-58.58,-58.58 % less time of default solver time,2.4143805439699233
1306.463,4841.603,14.42482,2,13.38897,42863.94,37052868,extr1b_A_37,3.91E-05,good,good,0.37439,-99.99,-99.99 % less time of default solver time,9575.191815856777
793.8216,4.910904,270.5304,2,270.5304,164.5511,36025721,adder_dcop_10,0.00011873,bad,good,0.000217,-45.29,-45.29 % less time of default solver time,1.8276762402088773
20.85714,1,18.37362,1,18.37362,4359635000,37052868,watt_1,7.01E-05,good,good,0.000918,-92.36,-92.36 % less time of default solver time,13.095577746077034
793.8216,1.904575,215.6511,2,215.6511,64.03587,36025721,adder_dcop_19,0.00010824,good,good,0.000174,-37.79,-37.79 % less time of default solver time,1.607538802660754
1295.338,62078.87,14.34569,2,10.01171,7.947941,37052868,extr1b_A_22,4.41E-05,good,good,0.000095,-53.58,-53.58 % less time of default solver time,2.1541950113378685
2427.586,45353.54,27.30851,2,26.862,1.222608,32168839,hydr1c_A_48,0.00020504,good,good,0.000205,0.02,0.02 % more time of default solver time,0.999804916113929
4194.208,5034204,4.009345,1,3.562318,3.730979,37052868,vt2010,0.00047302,good,good,0.000436,8.49,8.49 % more time of default solver time,0.9217369244429412
2427.288,58138.05,29.40351,2,27.58136,1.183745,69654763,hydr1c_A_54,0.00017691,good,good,0.000221,-19.95,-19.95 % less time of default solver time,1.249222768639421
2408.001,2321284,28.90271,2,26.8236,186.7517,69654763,hydr1c_A_30,0.00016809,good,good,0.000216,-22.18,-22.18 % less time of default solver time,1.2850258789933964
793.8216,1.939259,236.888,2,236.888,57.42411,36025721,adder_dcop_17,0.00010705,good,good,0.000088,21.65,21.65 % more time of default solver time,0.8220457730032695
2619.653,34.01184,300.0004,1,300.0004,1.355457,36564232,lhr10c,0.00048304,good,good,0.000487,-0.81,-0.81 % less time of default solver time,1.008198078834051
2407.734,2276611,28.93907,2,26.49207,194.9634,36025721,hydr1c_A_23,0.00016499,good,good,0.000185,-10.82,-10.82 % less time of default solver time,1.1212800775804594
836.5486,14.95449,23.64811,2,23.64811,4926.92,45869639,adder_trans_01,0.00019598,good,good,0.000245,-20.01,-20.01 % less time of default solver time,1.2501275640371465
43,124.7753,5.39564,1,5.39564,2.573104,45869639,t2dal_bci,4.10E-05,good,good,0.000152,-73.03,-73.03 % less time of default solver time,3.707317073170732
43,124.7753,5.39564,1,5.39564,2.573104,45869639,t2dal,4.20E-05,good,good,0.0001,-58.0,-58.0 % less time of default solver time,2.3809523809523814
43,124.7753,5.39564,1,5.39564,2.573104,45869639,t2dal_a,4.10E-05,good,good,0.00008,-48.75,-48.75 % less time of default solver time,1.9512195121951221
793.8216,1.663467,98.94543,2,98.94543,102.4223,36025721,adder_dcop_42,0.0001061,good,good,0.000507,-79.07,-79.07 % less time of default solver time,4.7785108388312905
793.8216,1.644563,98.94545,2,98.94545,101.9362,36025721,adder_dcop_56,0.00010586,good,good,0.000303,-65.06,-65.06 % less time of default solver time,2.8622709238617037
7486.989,3627.23,8,1,9.924279,743945.5,37052868,c-40,0.00016594,good,good,0.000195,-14.9,-14.9 % less time of default solver time,1.1751235386284198
66.22222,84152.5,1.096194,4,1.393384,179235.1,36025721,t2d_q9_A_45,0.0045676,good,good,0.006003,-23.91,-23.91 % less time of default solver time,1.314256940187407
66.22222,760.8224,1.032237,4,1.140008,65554.59,32168839,t2d_q4_A_14,0.0064707,bad,good,0.006471,-0.0,-0.0 % less time of default solver time,1.000046362835551
66.22222,760.8224,1.032237,4,1.140008,65554.59,32168839,t2d_q9_A_14,0.0063384,bad,good,0.006338,0.01,0.01 % more time of default solver time,0.9999368925911901
2406.948,2413750,29.77364,2,27.25337,180.7405,37052868,hydr1c_A_75,0.00015593,good,good,0.000209,-25.39,-25.39 % less time of default solver time,1.3403450266145065
2427.329,49959.73,28.74852,2,26.98286,1.318621,37052868,hydr1c_A_42,0.00022006,good,good,0.000204,7.87,7.87 % more time of default solver time,0.9270199036626374
2407.856,2323054,28.34875,2,27.77982,185.8541,32168839,hydr1c_A_59,0.00020218,bad,good,0.000202,0.09,0.09 % more time of default solver time,0.999109704223959
2407.734,2321754,27.37574,2,27.43293,237.9745,36025721,hydr1c_A_37,0.00015998,good,good,0.000366,-56.29,-56.29 % less time of default solver time,2.287785973246656
115.0087,272.2243,7.553177,1,7.550828,2.717751,37052868,t2dah_a,0.00022697,good,good,0.000439,-48.3,-48.3 % less time of default solver time,1.934176322862052
115.0087,272.2243,7.553177,1,7.550828,2.717751,37052868,t2dah,0.00014687,good,good,0.000358,-58.97,-58.97 % less time of default solver time,2.4375297882481104
66.22222,654304.8,1.293912,4,1.550128,1.342661,36025721,t2d_q4_A_29,0.0045445,good,good,0.006259,-27.39,-27.39 % less time of default solver time,1.3772692265375728
3331.368,47.57771,13.61307,1,13.60808,2.911578,45869639,Si5H12,0.00054598,good,good,0.001352,-59.62,-59.62 % less time of default solver time,2.476281182460896
1018.732,93.69727,30.42735,7,30.103,217.6855,36025721,ex26,0.00072789,good,good,1.398,-99.95,-99.95 % less time of default solver time,1920.6198738820424
