matrix,row-variability:variance,diagonal-average:variance,upband:iprs,nnzlow:iprs,lambda-min-by-magnitude-re:lapack,avgdistfromdiag:iprs,avgnnzprow:iprs,lambda-max-by-im-part-im:spectrum,normF:simple,lambda-max-by-real-part-im:spectrum,sigma-min:spectrum,ellipse-cx:spectrum,lee96-lbound:normal,n-struct-unsymm:structure,lee96-ubound:normal,lambda-max-by-im-part-re:spectrum,ruhe75-bound:normal,departure:lapack,ellipse-cy:spectrum,relsymm:iprs,lambda-max-by-magnitude-im:spectrum,n-colours:jpl,commutator-normF:normal,col-variability:variance,symmetry-anorm:simple,diag-zerostart:structure,symmetry:structure,lambda-max-by-im-part-re:lapack,positive-fraction:spectrum,nnz:iprs,diagonal-dominance:simple,lambda-max-by-real-part-re:lapack,dummy-rows-kind:structure,max-nnzeros-per-row:structure,ellipse-ax:spectrum,lambda-min-by-magnitude-re:spectrum,symmetry-fanorm:simple,nnzeros:structure,loband:iprs,diagonal-sign:variance,min-nnzeros-per-row:structure,lambda-max-by-real-part-re:spectrum,trace-asquared:normal,nnzup:iprs,n-dummy-rows:structure,nrows:structure,symmetry-fsnorm:simple,diag-definite:structure,avg-diag-dist:iprs,lambda-max-by-im-part-im:lapack,diagonal-variance:variance,symmetry-snorm:simple,n-ritz-values:spectrum,lambda-max-by-magnitude-re:spectrum,lee95-bound:normal,normInf:simple,lambda-max-by-magnitude-re:lapack,sigma-max:spectrum,n-nonzero-diags:iprs,trace-abs:simple,norm1:simple,lambda-min-by-magnitude-im:lapack,left-bandwidth:structure,blocksize:structure,ellipse-ay:spectrum,lambda-max-by-magnitude-im:lapack,sigma-diag-dist:iprs,kappa:spectrum,lambda-max-by-real-part-im:lapack,trace:simple,nnzdia:iprs,lambda-min-by-magnitude-im:spectrum,right-bandwidth:structure
t2d_q9_A_14, 1.140008, 18.7483, 100, 38612, 4.816579, 8, 8, nan, 3647.064, nan, 417.1517, 245.0377, nan, nan, nan, nan, 417.1442, 83.41673, nan, nan, nan, 8, nan, 1.032237, nan, 9801, nan, 489.6732, 1.0, 87025, -1.923689, 490.068, nan, 9, 245.0302, 0.007499688, nan, 87025, 100, 2, 4, 490.068, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 29.40092, nan, 26, 490.068, nan, 762.1984, 490.068, 490.338, 9, 183752.1, 760.8224, nan, 100, 99, nan, nan, 10920.05, 65345.11, nan, 183752.1, 9801, nan, 100
hydr1c_A_29, 27.05915, 1.708457e-05, 5307, 13782, 1.37161e-07, 5, 5, 28.53481, 178833.8, nan, 14921.84, 0.004193165, nan, nan, nan, -1.357712, 45418.17, 178833.6, nan, nan, 17.1476, 6, nan, 27.41011, nan, 2797, nan, 29.10652, 0.4958333, 28847, -67552.76, 29.10652, nan, 15, 29.12292, 1.468651, nan, 28847, 4535, nan, 2, 29.12712, nan, 9757, nan, 5308, nan, nan, 2426.94, nan, 0.001059743, nan, 240, -27.35684, nan, 67552.76, -29.1088, 45450.45, 8311, 0.09068491, 45443.18, nan, 4535, 2780, 28.53481, nan, 12698520.0, 1.380892, nan, 0.06084166, 5308, 23.33494, 5307
hydr1c_A_28, 26.60902, 0.03475248, 4535, 9870, -2.168404e-19, 4, 4, 100000.0, 8681947.0, nan, 1006940.0, 171.8829, nan, 19409, nan, -1.090772e-11, 2889389.0, 8680793.0, nan, 0.2168422, 100000.0, 6, nan, 27.27038, 2263587.0, 2386, nan, 454.078, 0.475, 24783, -4527171.0, 491.2643, nan, 13, 791.5987, 300.5948, 6139878.0, 24783, 5307, 1, 2, 963.4816, -20000880000.0, 9605, nan, 5308, 6138249.0, nan, 2407.108, nan, 2.517999, 2263587.0, 240, -1.090772e-11, 8680795.0, 4527171.0, -2.168404e-19, 2989389.0, 7950, 184.4662, 2296333.0, nan, 5307, 2358, 100000.0, nan, 14932460.0, 188.4794, nan, 184.4662, 5308, 437.1943, 4535
hydr1c_A_27, 29.9565, 0.03475248, 4535, 9869, nan, 4, 4, 100000.0, 8681992.0, nan, 939318.3, -42.91292, nan, nan, nan, -1.136868e-12, 2889389.0, 8680837.0, nan, nan, 100000.0, 6, nan, 27.93044, nan, 2386, nan, nan, 0.4916667, 24791, -4527171.0, 491.2643, nan, 13, 667.8895, -453.9917, nan, 24791, 5307, 1, 2, -710.8024, nan, 9614, nan, 5308, nan, nan, 2407.43, nan, 2.517999, nan, 240, -1.136868e-12, nan, 4527171.0, nan, 2989389.0, 7951, 184.4662, 2296333.0, nan, 5307, 2358, 100000.0, nan, 14939860.0, 192.0068, nan, 184.4662, 5308, 255.225, 4535
mark3jac020sc, 13.15285, 3951.81, 4075, 25798, 1.0, 6, 6, 36.51342, 6597258.0, nan, 185362.6, 524160.0, nan, nan, nan, 149.2871, 1296111.0, 5565253.0, nan, nan, nan, 8, nan, 9.976185, nan, 9129, nan, 1.0, 0.9615385, 56175, -1048585.0, 1048576.0, nan, 44, 524416.0, 149.2871, nan, 56175, 1375, nan, 2, 1048576.0, nan, 21248, nan, 9129, nan, nan, 531.1832, nan, 36868.92, nan, 52, 1048576.0, nan, 3145737.0, 1.0, 2344687.0, 677, 36076070.0, 2097152.0, nan, 1375, 15, 36.51342, nan, 921202.6, 6822.776, nan, 36058130.0, 9129, 36.51342, 4075
hydr1c_A_25, 27.24262, 2.077875e-05, 5307, 13769, 1.527257e-07, 5, 5, 31.02565, 213210.8, nan, 18105.65, 0.08245465, nan, 23443, nan, -3.162174, 53399.74, 213210.5, nan, 0.1872768, nan, 6, nan, 28.93934, 40453.08, 2797, nan, 35.17646, 0.5, 28845, -80906.14, 35.17646, nan, 15, 34.99241, 1.890982, 150762.8, 28845, 4535, nan, 2, 35.07487, 2944.95, 9768, nan, 5308, 150762.8, nan, 2427.391, nan, 0.001290178, 40453.08, 240, 35.07487, 213210.8, 80906.14, -35.17876, 53434.82, 8307, 0.1102936, 45386.36, nan, 4535, 2780, 31.02565, nan, 12697670.0, 1.195174, nan, 0.07423522, 5308, 29.2861, 5307
hydr1c_A_24, 31.74282, 0.03507346, 4535, 9865, nan, 4, 4, 100000.0, 8691622.0, nan, 1004941.0, 285.5495, nan, 19418, nan, 1.776357e-15, 2863795.0, 8690469.0, nan, 0.2167635, 100000.0, 6, nan, 29.69753, 2243757.0, 2386, nan, nan, 0.5416667, 24792, -4487511.0, 490.6939, nan, 13, 825.3887, -539.8392, 6146718.0, 24792, 5307, 1, 2, 1110.938, -20000880000.0, 9619, nan, 5308, 6145091.0, nan, 2407.696, nan, 2.541382, 2243757.0, 240, 1.776357e-15, 8690471.0, 4487511.0, nan, 2963795.0, 7950, 186.1699, 2276611.0, nan, 5307, 2358, 100000.0, nan, 14942110.0, 184.4341, nan, 186.1699, 5308, 50.53336, 4535
t2d_q9_A_45, 1.393384, 1666.789, 100, 38612, 100.4695, 8, 8, nan, 411735.3, nan, 46646.78, 28133.78, nan, nan, nan, nan, 46646.47, 8408.434, nan, nan, nan, 8, nan, 1.096194, nan, 9801, nan, 56267.25, 1.0, 87025, -0.07760163, 56267.25, nan, 9, 28133.47, 0.3139298, nan, 87025, 100, 2, 4, 56267.25, nan, 38612, nan, 9801, nan, 1, 66.22222, nan, 3565.913, nan, 30, 56267.25, nan, 84152.58, 56267.25, 56316.53, 9, 16336200.0, 84152.5, nan, 100, 99, nan, nan, 10920.05, 179235.1, nan, 16336200.0, 9801, nan, 100
hydr1c_A_22, 27.41537, 1.962205e-05, 5307, 13776, -1.535255e-07, 5, 5, 33.4492, 204285.4, nan, 17206.74, -1.036982, nan, nan, nan, -1.390636, 50812.22, 204285.1, nan, nan, 17.31149, 6, nan, 29.3272, nan, 2797, nan, 33.39287, 0.4958333, 28848, -76988.58, 33.39287, nan, 15, 34.43819, -14.4821, nan, 28848, 4535, nan, 2, -35.47517, nan, 9764, nan, 5308, nan, nan, 2427.031, nan, 0.001216398, nan, 240, -34.67619, nan, 76988.58, -33.39543, 50850.97, 8309, 0.1041538, 45348.06, nan, 4535, 2780, 33.4492, nan, 12696190.0, 1.571096, nan, 0.06974074, 5308, 19.9706, 5307
hydr1c_A_21, 26.7714, 0.03505887, 4535, 9866, 3.252607e-19, 4, 4, 100000.0, 8658516.0, nan, 936210.4, -51.98303, nan, nan, nan, 4.263256e-13, 2855328.0, 8657358.0, nan, nan, 100000.0, 6, nan, 28.94268, nan, 2386, nan, 3.252607e-19, 0.4958333, 24790, -4474379.0, 488.377, nan, 13, 673.8211, 410.418, nan, 24790, 5307, 1, 2, -725.8042, nan, 9616, nan, 5308, nan, nan, 2407.284, nan, 2.540319, nan, 240, 4.263256e-13, nan, 4474379.0, 3.252607e-19, 2955328.0, 7949, 186.0925, 2270087.0, nan, 5307, 2358, 100000.0, nan, 14934340.0, 203.6607, nan, 186.0925, 5308, 269.5375, 4535
