Name,Row Variance,Col Variance,Diag Variance,Nonzeroes,Dimension,Frobenius Norm,Frobenius norm of symmetric portion,Frobenius norm of anti-symmetric portion,1 Norm,Inf Norm,Inf Norm of Symmetric Portion,Inf norm of anti-symmetric portion,Max nonzeroes per row,Trace,Abs Trace,Min nonzeroes per row,Avg nonzeroes per row,Dummy rows,Dummy rows kind,Numerical Symmetry,Structural Symmetry,Numeric value symmetry,Nonzero pattern symmetry,row diagonal dominance,col diagonal dominance,diagonal average,diagonal sign,diagonal nonzero count,lower bandwidth,upper bandwidth
cage3.mtx,0.0317465,0.055123,0.0256406,19,5,1.37037,1.31715,0.37819,1,2,1.5,0.5,5,2.33333,2.33333,0,3,0,0,0,1,0.874456,1,0,0,0.466667,2,5,4,4
b1_ss.mtx,0.308149,0.308149,1.59184,24,7,3.58236,3.58236,0,3.06136,3.06136,3.06136,0,6,0,6,0,3,0,0,1,1,1,1,0,0,0.857143,3,6,6,6
cage4.mtx,0.0416499,0.0466155,0.0298409,49,9,1.88226,1.86588,0.247806,1,1.25,1.125,0.25,6,5,5,0,5,0,0,0,1,0.925926,1,0,0,0.555556,2,9,7,7
jgl009.mtx,12.1289,10.9383,5.1358,36,9,41.0366,34.7491,21.8289,39,63,39.5,23.5,7,13,13,0,4,0,0,0,0,0.694196,0.472222,0,0,1.44444,1,3,7,8
rgg010.mtx,13.696,13.256,0,50,10,51.5558,44.4297,26.1534,42,49,43,25.5,7,100,100,0,5,0,0,0,0,0.710366,0.4,0,0,10,2,10,9,9
Stranke94.mtx,32082,32082,0,90,10,1492.62,1492.62,0,1658,1658,1658,0,9,0,0,0,9,0,0,1,1,1,1,0,0,0,0,0,9,9
Tina_AskCal.mtx,12.6536,12.6536,0.330579,24,11,38.3275,29.975,23.8851,26,30,26,19,4,2,2,0,2,1,1,0,0,0.598266,0.208333,0,0,0.181818,1,1,7,8
Tina_AskCog.mtx,15.0909,14.6702,2.97521,28,11,41.0853,30.2655,27.7849,29,29,29,28,3,6,6,0,2,0,0,0,0,0.546875,0.178571,0,0,0.545455,1,1,8,9
Tina_DisCal.mtx,13.6289,12.4944,0.330579,31,11,41.3038,33.1964,24.5764,29,36,31,20,5,2,2,0,2,0,0,0,0,0.622642,0.225806,0,0,0.181818,1,1,6,7
Tina_DisCog.mtx,15.0909,13.0932,0.330579,35,11,45.6289,36.3731,27.55,35,37,36,29,5,2,2,0,3,0,0,0,0,0.618852,0.371429,0,0,0.181818,1,1,7,9
jgl011.mtx,16.7971,14.3336,0,49,11,59.0085,49.4318,32.2258,41,75,53.5,40.5,7,121,121,0,4,0,0,0,0,0.672368,0.306122,0,0,11,2,11,10,9
LFAT5.mtx,1.69E+13,1.69E+13,2.66E+13,46,14,2.51E+07,2.51E+07,0,2.51E+07,2.51E+07,2.51E+07,0,5,3.77E+07,3.77E+07,0,3,0,0,1,1,1,1,0,0,2.70E+06,2,14,5,5
GD01_b.mtx,29.2682,34.2284,25.2222,36,18,85.5219,64.1093,56.6039,51,48,47,47,4,48,48,0,2,1,1,0,0,0.570213,0.194444,0,0,2.66667,1,5,6,12
LF10.mtx,2.46E+09,2.46E+09,7.29E+09,82,18,582526,582526,0,344506,344506,344506,0,5,1.37E+06,1.37E+06,0,4,0,0,1,1,1,1,0,0,76348.3,2,18,3,3
Trefethen_20b.mtx,238.632,238.632,455.091,147,19,173.583,173.583,0,76,76,76,0,9,637,637,0,7,0,0,1,1,1,1,0,0,33.5263,2,19,16,16
Trefethen_20.mtx,227.752,227.752,479.548,158,20,173.623,173.623,0,76,76,76,0,9,639,639,0,7,0,0,1,1,1,1,0,0,31.95,2,20,16,16
Ragusa18.mtx,0.733706,0.655379,0.230624,64,23,10.9545,8.94427,6.32456,16,11,11.5,6.5,7,4,4,0,2,0,1,0,0,0.6625,0.359375,0,0,0.173913,1,3,21,20
GD02_a.mtx,62.8868,53.6971,0,72,23,146.492,108.761,98.1377,110,112,108.5,90.5,7,0,0,0,3,0,1,0,0,0.546931,0.166667,0,0,0,0,0,21,20
Ragusa16.mtx,1.34954,2.26562,1.9375,81,24,15.3948,13.9463,6.5192,21,19,19.5,7.5,9,18,18,0,3,0,1,0,0,0.730088,0.444444,0,0,0.75,1,10,19,21
can_24.mtx,75.4028,75.4028,40.6649,146,24,212.506,212.506,0,152,152,152,0,8,109,109,0,6,0,0,1,1,1,1,0,0,4.54167,1,10,21,21
lap_25.mtx,65.7133,65.7133,0,135,25,193.789,193.789,0,134,134,134,0,8,600,600,0,5,0,0,1,1,1,1,0,0,24,2,25,6,6
pores_1.mtx,2.24E+13,2.70E+13,4.14E+13,180,30,3.75E+07,3.37E+07,1.64E+07,4.37E+07,3.90E+07,4.13E+07,1.67E+07,8,-6.08E+07,6.08E+07,0,6,0,0,0,0,0.69469,0.688889,0,0,2.03E+06,-2,30,11,10
Hamrle1.mtx,1536.51,1536.51,0.104808,98,32,313.676,221.802,221.803,315.748,315.748,159.001,159.001,5,3.64607,4.05393,0,3,0,0,0,0,0.503151,0.112245,0,0,0.126685,3,5,24,19
ibm32.mtx,72.2765,71.5622,0,92,32,226.038,204.828,95.5955,125,120,82.5,50.5,7,1024,1024,0,2,6,1,0,0,0.766771,0.369565,0,0,32,2,32,22,26
GD01_c.mtx,0.377661,0.366697,0,135,33,12.9615,9.16515,9.16515,14,13,11,11,12,0,0,0,4,0,1,0,0,0.5,0,0,0,0,0,0,0,25
karate.mtx,130.474,130.474,0,150,34,315.097,315.097,0,273,273,273,0,11,0,0,0,4,0,0,1,1,1,1,0,0,0,0,0,31,31
football.mtx,4.08882,6.04781,0,118,35,35.426,25.05,25.05,54,22,27,27,10,0,0,0,3,0,1,0,0,0.5,0,0,0,0,0,0,33,28
football.mtx,4.08882,6.04781,0,118,35,35.426,25.05,25.05,54,22,27,27,10,0,0,0,3,0,1,0,0,0.5,0,0,0,0,0,0,33,28
GD95_a.mtx,81.3364,66.0084,27.064,56,36,200.993,144.656,139.544,131,107,79,71,4,41,41,0,1,1,1,0,0,0.524146,0.0714286,0,0,1.13889,1,2,21,18
cage5.mtx,0.017308,0.0172552,0.0255168,233,37,3.87068,3.83165,0.548297,1,1.67331,1.33666,0.4,10,21.4,21.4,0,6,0,0,0,1,0.917389,1,0,0,0.578378,2,37,23,23
GD98_a.mtx,33.1126,38.2248,0,49,38,89.3868,63.206,63.206,74,67,47.5,47.5,6,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,28,27
bcspwr01.mtx,81.6759,81.6759,249.621,112,39,270.174,270.174,0,123,123,123,0,5,1146,1146,0,2,1,1,1,1,1,1,0,0,29.3846,1,32,38,38
chesapeake.mtx,185.166,185.166,0,280,39,484.291,484.291,0,607,607,607,0,23,0,0,0,7,0,0,1,1,1,1,0,0,0,0,0,37,37
GD97_b.mtx,78071.4,78071.4,0,264,47,4114.62,4114.62,0,5453.34,5453.34,5453.34,0,25,0,0,0,5,0,1,1,1,1,1,0,0,0,0,0,40,40
bcsstm01.mtx,798.973,798.973,6875,24,48,774.597,774.597,0,200,200,200,0,1,3600,3600,0,0,24,1,1,1,1,1,1,1,75,1,24,0,0
mesh1e1.mtx,0.77284,0.77284,1.07935,306,48,34.8496,34.8496,0,10.9369,10.9369,10.9369,0,8,221.104,221.104,0,6,0,0,1,1,1,1,2,2,4.60634,2,48,47,47
mesh1em1.mtx,12.7106,12.7106,26.9799,306,48,88.5064,88.5064,0,43.6386,43.6386,43.6386,0,8,466.944,466.944,0,6,0,0,1,1,1,1,2,2,9.728,2,48,47,47
mesh1em6.mtx,0.610114,0.610114,0.717228,306,48,25.0494,25.0494,0,9.5829,9.5829,9.5829,0,8,157.554,157.554,0,6,0,0,1,1,1,1,2,2,3.28237,2,48,47,47
bcsstk01.mtx,1.28E+17,1.28E+17,5.80E+17,400,48,7.52E+09,7.52E+09,0,3.57E+09,3.57E+09,3.57E+09,0,12,3.24E+10,3.24E+10,0,8,0,0,1,1,1,1,0,0,6.76E+08,2,48,35,35
bcspwr02.mtx,159.186,159.186,235.865,144,49,480.415,480.415,0,195,195,195,0,6,459,459,0,2,0,0,1,1,1,1,0,0,9.36735,1,16,29,29
d_ss.mtx,2.40E+07,2.40E+07,474.15,278,53,55661.2,55661.2,0,52483.8,52483.8,52483.8,0,9,158.168,161.832,0,5,0,0,1,1,1,1,0,0,3.05344,3,4,45,45
curtis54.mtx,175.244,185.801,0,189,54,528.108,488.896,199.697,272,210,226,136.5,7,2916,2916,0,3,1,1,0,0,0.808268,0.486772,0,0,54,2,54,44,41
will57.mtx,278.111,236.659,363.805,204,57,595.313,530.276,270.562,317,378,347.5,130.5,8,1037,1037,0,3,0,0,0,0,0.78258,0.681373,0,0,18.193,1,37,44,44
dwt_59.mtx,213.113,213.113,209.007,226,59,611.56,611.56,0,273,273,273,0,6,3192,3192,0,3,1,1,1,1,1,1,0,0,54.1017,1,56,23,23
impcol_b.mtx,0.345361,0.450469,0.397177,271,59,13.8904,10.7217,8.8312,12.7942,10.2412,10.9318,6.69181,7,4.34659,15.6537,0,4,0,0,0,0,0.570621,0.144231,0,0,0.265317,3,17,43,20
can_61.mtx,263.82,263.82,376.304,433,61,872.796,872.796,0,446,446,446,0,17,830,830,0,7,0,0,1,1,1,1,0,0,13.6066,1,27,50,50
can_62.mtx,230.585,230.585,350.606,249,62,727.456,727.456,0,317,317,317,0,6,724,724,0,4,0,0,1,1,1,1,0,0,11.6774,1,23,48,48
GD95_c.mtx,198.648,234.473,191.423,180,62,615.065,492.201,368.84,293,237,233,151.5,8,255,255,0,2,0,0,0,0,0.638616,0.388889,0,0,4.1129,1,6,42,38
dolphins.mtx,263.586,263.586,0,306,62,744.813,744.813,0,379,379,379,0,9,0,0,0,4,0,0,1,1,1,1,0,0,0,0,0,59,59
bfwb62.mtx,1.86E-10,1.86E-10,1.26E-08,342,62,0.000541245,0.000541245,0,0.0002125,0.0002125,0.0002125,0,13,-0.00335319,0.00335319,0,5,0,0,1,1,1,1,0,0,5.41E-05,-2,62,48,48
