MatrixName,CommSize,Edge,Interior,Dimension,npoints,nnz,AvgNonzerosPerRow,AbsoluteNonZeroSum,Trace,AbsoluteTrace,DiagonalMean,DiagonalNonZeros,DiagonalAverage,FrobeniusNorn,RowVariance,AvgDiagonalDistance,InfinityNorm,MaxNonZeroPerRow,DiagonalSign,lowerBandwidth,upperBandwidth,RowDiagonalDominance,MinNonZeroPerRow,OneNorm,ColumnDiagonalDominance,ColumnVariance,Symmetricity,NonZeroPatternSymmetry,SymmeticInfinityNorm,AntiSymmetricFrobeniusNorm,SymmetricFrobeniusNorm,AntiSymmerticInfinityNorm
08blocks.petsc,1,10,10,300,29,600,2,18240,982.759,982.759,3.27586,10.3448,9.18333,5902.61,73.9756,10.75,621,2,-1,36,1,0,0,98,0,12.9027,0,0,355,1368.46,1368.46,0
1138_bus.petsc,1,10,10,1138,30,3869.2,3.4,177528,1.63E+06,1.63E+06,1435.47,1138,37.8286,47083.5,1169.15,64,10030,1,2,716,435,0,1,20030,1,15.0554,1,1,10030,0,39086.3,0
144.petsc,1,10,10,144649,30,1.75E+06,12.1,1.57E+11,0,0,0,0,#NAME?,1.59E+10,0,20975.6,176,0,0,144577,138998,0,0,1.54E+06,0,831831,1,1,176,0,0,0
2D_27628_bjtcai.petsc,1,10,10,27628,30,99460.8,3.6,2.03E+08,265280,271675,9.60184,19339.6,0.0152537,7.54E+07,338.742,148.1,172,1,-3,314,27304,0,0,36244,0,2693.85,0,0,172,0,510428,0
2D_54019_highK.petsc,1,10,10,54019,30,124244,2.3,2.45E+06,259804,266494,4.80949,39613.9,0.00373606,1.06E+06,14.3386,360.286,6419,1,-3,1086,53946,0,0,8746,0,0.0706376,0,0,3236,0,210969,0
2cubes_sphere.petsc,1,10,10,101492,30,1.63E+06,16.1,8.68E+12,1.18E+14,-4.38E+13,1.16E+09,74427.5,-174085,4.88E+12,2.09E+15,6125.42,3.07E+09,1,-1,100247,81532,0,1,4.34E+09,0,2.28E+11,1,1,3.07E+09,0,4.64E+12,0
3D_28984_Tetra.petsc,1,10,10,28984,30,20288.8,0.7,69561.6,-342750,362300,-11.8255,14492,0.0258763,34780.8,0.02,57.6,181,1,-3,98,28982,0,0,367,0,0.000496842,0,0,181,0.592158,4098.96,0
3D_51448_3D.petsc,1,10,10,51448,30,15434.4,0.3,15434.4,-882510,915774,-17.1534,24009.1,0.0222416,8911.05,0.03,#NAME?,261,1,-3,0,51445,0,0,946,0,5.83E-06,0,0,261,2572.4,9274.92,0
3dtube.petsc,1,10,10,45330,30,2.06E+06,45.4,4.77E+10,4.34E+08,4.34E+08,9579.1,21154,13.5848,2.50E+09,1.90E+07,1235.75,407953,1,-1,3111,3357,0,0,9.71E+07,0,671351,1,1,407953,0,1.98E+08,0
3elt.petsc,1,10,10,4720,30,26432,5.6,9.99E+07,0,0,0,0,#NAME?,1.41E+07,0,37.8036,4719,0,0,425,2587,0,0,31783,0,18830.9,1,1,4719,0,0,0
3elt_dual.petsc,1,10,10,9000,30,24300,2.7,1.87E+08,0,0,0,0,#NAME?,3.73E+07,0,12.1852,35991,0,0,41,48,0,0,35991,0,19088.8,1,1,35991,0,0,0
494_bus.petsc,1,10,10,494,30,1432.6,2.9,68023.8,80178.6,79962.1,162.305,494,9.82996,18189.2,800.175,71.7895,2220,1,2,428,345,0,1,2241,1,27.4996,1,1,2220,0,14015.4,0
