@relation 'petsc_data-weka.filters.unsupervised.attribute.Remove-R33-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R2,4-5,9-11,13-16,18-26'

@attribute DiagonalNonZeros numeric
@attribute AvgDiagonalDistance numeric
@attribute Trace numeric
@attribute AvgNonzerosPerRow numeric
@attribute ColumnDiagonalDominance numeric
@attribute SymmetricFrobeniusNorm numeric
@attribute DiagonalAverage numeric
@attribute solver {89565283,8793455,90197667,49598909,91036839,45869639,45869638,45869637,47942867,89269802,89269803,89269801,89269804,59072883,59072882,59072881,7285381,7285384,59072884,49598911,49598910,49598912,30870721,36025723,36025722,53302993,30870720,64278029,36025724,44526267,8793454,8793456,8793453,17734818,32168839,32168838,57331597,95762352,57331599,57331598,32168837,88865078,88865079,49834417,49834419,49834418,88865076,88865077,11256942,11256943,11256941,42851841,11256944,31459546,17887723,91845162,53362206,95762355,12321508,75830644,57331600,43373444,95762353,43373441,43373442,43373443,91068411,91068410,5890861,85483012,5890863,5890862,18868444,18868441,18868443,18868442,91068408,47942864,47942865,47942866,91068409,8520536,5890860,82456576,29030069,95762354,90783920,99720138,29030071,29030070,29030072,85490469,30870723,30870722,26415435,26415434,26415433,26415432,13323659,45869640,36564233,68908713,7285382,36564232,7285383,75830645,36564234,81986705,29553941,29553943,29553942,69654761,29553944,69654763,69654762,32874609,32168840,90197664,90197665,90197666,69654760,37052870,37052871,19932321,19932323,19932322,19932324,80361466,80361467,80361464,80361465,49834420,1216556,38678404,38678401,38678402,38678403,32874611,32874610,32874612,44114477,44114476,44114479,44114478,36564235,36025721,75830647,75830646,85490471,85490470,85490472,18524981,37052869,37052868}
@attribute class {good,bad}

@data
7555.03,151.467,20700000,2.3,0,58595.6,8.69672,89565283,good
7555.03,151.467,20700000,2.3,0,58595.6,8.69672,64278029,good
7555.03,151.467,20700000,2.3,0,58595.6,8.69672,44526267,good
7555.03,151.467,20700000,2.3,0,58595.6,8.69672,17887723,good
7555.03,151.467,20700000,2.3,0,58595.6,8.69672,53362206,good
7555.03,151.467,20700000,2.3,0,58595.6,8.69672,8520536,good
7555.03,151.467,20700000,2.3,0,58595.6,8.69672,82456576,good
7555.03,151.467,20700000,2.3,0,58595.6,8.69672,90783920,good
7555.03,151.467,20700000,2.3,0,58595.6,8.69672,68908713,good
7555.03,151.467,20700000,2.3,0,58595.6,8.69672,81986705,good
7555.03,151.467,20700000,2.3,0,58595.6,8.69672,1216556,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,89565283,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,64278029,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,44526267,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,17887723,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,53362206,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,8520536,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,82456576,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,90783920,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,68908713,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,81986705,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,1216556,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,89565283,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,64278029,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,44526267,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,17887723,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,53362206,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,8520536,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,82456576,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,90783920,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,68908713,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,81986705,good
12019,216.738,-2090000,4.4,0,3610000,0.144521,1216556,good
0,?,371.945,0,1,121.718,?,89565283,bad
0,?,371.945,0,1,121.718,?,91036839,bad
0,?,371.945,0,1,121.718,?,45869639,bad
0,?,371.945,0,1,121.718,?,45869638,bad
0,?,371.945,0,1,121.718,?,45869637,good
