@relation petsc_data-weka.filters.unsupervised.attribute.RemoveUseless-M99.0

@attribute right-bandwidth numeric
@attribute n-nonzero-diags numeric
@attribute n-dummy-rows numeric
@attribute blocksize numeric
@attribute max-nnzeros-per-row numeric
@attribute avgnnzprow numeric
@attribute lambda-max-by-magnitude-re numeric
@attribute nnzup numeric
@attribute ruhe75-bound numeric
@attribute avg-diag-dist numeric
@attribute nnz numeric
@attribute lambda-min-by-magnitude-re numeric
@attribute left-bandwidth numeric
@attribute norm1 numeric
@attribute sigma-min numeric
@attribute upband numeric
@attribute nnzeros numeric
@attribute diagonal-average numeric
@attribute diagonal-dominance numeric
@attribute nnzlow numeric
@attribute lambda-max-by-im-part-re numeric
@attribute col-variability numeric
@attribute trace-abs numeric
@attribute diag-zerostart numeric
@attribute loband numeric
@attribute positive-fraction numeric
@attribute trace numeric
@attribute min-nnzeros-per-row numeric
@attribute diagonal-sign numeric
@attribute row-variability numeric
@attribute nrows numeric
@attribute n-colours numeric
@attribute diagonal-variance numeric
@attribute departure numeric
@attribute kappa numeric
@attribute sigma-max numeric
@attribute sigma-diag-dist numeric
@attribute n-ritz-values numeric
@attribute ellipse-ax numeric
@attribute ellipse-ay numeric
@attribute ellipse-cx numeric
@attribute normF numeric
@attribute normInf numeric
@attribute lambda-max-by-real-part-re numeric
@attribute nnzdia numeric
@attribute avgdistfromdiag numeric
@attribute class {good,bad}

@data
100,9,?,99,9,8,490.068,38612,417.1442,66.22222,87025,4.816579,100,760.8224,417.1517,100,87025,18.7483,-1.923689,38612,489.6732,1.032237,183752.1,9801,100,1,183752.1,4,2,1.140008,9801,8,29.40092,83.41673,65345.11,490.338,10920.05,26,245.0302,?,245.0377,3647.064,762.1984,490.068,9801,8,bad
5307,8311,?,2780,15,5,-29.1088,9757,45418.17,2426.94,28847,0,4535,45443.18,14921.84,5307,28847,0.000017,-67552.76,13782,29.10652,27.41011,0.090685,2797,4535,0.495833,0.060842,2,?,27.05915,5308,6,0.00106,178833.6,1.380892,45450.45,12698520,240,29.12292,28.53481,0.004193,178833.8,67552.76,29.10652,5308,5,bad
4535,7950,?,2358,13,4,0,9605,2889389,2407.108,24783,0,5307,2296333,1006940,4535,24783,0.034752,-4527171,9870,454.078,27.27038,184.4662,2386,5307,0.475,184.4662,2,1,26.60902,5308,6,2.517999,8680793,188.4794,2989389,14932460,240,791.5987,100000,171.8829,8681947,4527171,491.2643,5308,4,bad
4535,7951,?,2358,13,4,?,9614,2889389,2407.43,24791,?,5307,2296333,939318.3,4535,24791,0.034752,-4527171,9869,?,27.93044,184.4662,2386,5307,0.491667,184.4662,2,1,29.9565,5308,6,2.517999,8680837,192.0068,2989389,14939860,240,667.8895,100000,-42.91292,8681992,4527171,491.2643,5308,4,bad
4535,7952,?,2358,13,4,0,9622,2889389,2407.734,24816,0,5307,2296333,939318.3,4535,24816,0.034752,-4527171,9886,0,28.7351,184.4662,2386,5307,0.483333,184.4662,2,1,26.60895,5308,6,2.517999,8680877,192.0114,2989389,14946190,240,667.8896,100000,-42.91227,8682031,4527171,491.2643,5308,4,bad
5307,8307,?,2780,15,5,-35.17876,9768,53399.74,2427.391,28845,0,4535,45386.36,18105.65,5307,28845,0.000021,-80906.14,13769,35.17646,28.93934,0.110294,2797,4535,0.5,0.074235,2,?,27.24262,5308,6,0.00129,213210.5,1.195174,53434.82,12697670,240,34.99241,31.02565,0.082455,213210.8,80906.14,35.17646,5308,5,bad
4535,7950,?,2358,13,4,?,9619,2863795,2407.696,24792,?,5307,2276611,1004941,4535,24792,0.035073,-4487511,9865,?,29.69753,186.1699,2386,5307,0.541667,186.1699,2,1,31.74282,5308,6,2.541382,8690469,184.4341,2963795,14942110,240,825.3887,100000,285.5495,8691622,4487511,490.6939,5308,4,bad
4535,7952,?,2358,13,4,0,9622,2863795,2407.734,24809,0,5307,2276611,937583.4,4535,24809,0.035073,-4487511,9879,0,28.93907,186.1699,2386,5307,0.483333,186.1699,2,1,26.49207,5308,6,2.541382,8690481,194.9634,2963795,14946190,240,671.2212,100000,-46.87728,8691634,4487511,490.6939,5308,4,bad
5307,8309,?,2780,15,5,-33.39543,9764,50812.22,2427.031,28848,0,4535,45348.06,17206.74,5307,28848,0.00002,-76988.58,13776,33.39287,29.3272,0.104154,2797,4535,0.495833,0.069741,2,?,27.41537,5308,6,0.001216,204285.1,1.571096,50850.97,12696190,240,34.43819,33.4492,-1.036982,204285.4,76988.58,33.39287,5308,5,bad
4535,7949,?,2358,13,4,0,9616,2855328,2407.284,24790,0,5307,2270087,936210.4,4535,24790,0.035059,-4474379,9866,0,28.94268,186.0925,2386,5307,0.495833,186.0925,2,1,26.7714,5308,6,2.540319,8657358,203.6607,2955328,14934340,240,673.8211,100000,-51.98303,8658516,4474379,488.377,5308,4,bad
