% Generated on 2015-06-01 17:06:35,  dyna6-73.cs.uoregon.edu: /Users/norris/research/lighthouse/lighthouse-git/sandbox/petsc/scripts/anamod2arff.py, Command: "../scripts/anamod2arff.py -f ../anamod-features -p ../timing/bgq -n solvers_anamod -t"
lambda-max-by-magnitude-im,right-bandwidth,n-nonzero-diags,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-min-by-magnitude-re,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,nnzeros,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,nnzlow,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,colour-offsets,n-colours,diagonal-variance,departure,dummy-rows-kind,kappa,sigma-max,colour-set-sizes,sigma-diag-dist,n-ritz-values,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lambda-max-by-real-part-im,lambda-max-by-real-part-re,nnzdia,avgdistfromdiag, time, class
?,100,9,?,99,9,1,8,490.068,?,38612,417.1442,66.22222,87025,4.816579,?,100,760.8224,417.1517,100,87025,?,18.7483,-1.923689,?,?,38612,?,489.6732,1.032237,183752.1,?,9801,100,1.0,183752.1,4,2,1.140008,9801,?,8,29.40092,83.41673,?,65345.11,490.338,?,10920.05,26,245.0302,?,245.0377,3647.064,762.1984,?,490.068,9801,8,71.15058,bad
?,5307,8311,?,2780,15,?,5,-29.1088,?,9757,45418.17,2426.94,28847,1.37161e-07,?,4535,45443.18,14921.84,5307,28847,?,1.708457e-05,-67552.76,?,?,13782,?,29.10652,27.41011,0.09068491,?,2797,4535,0.4958333,0.06084166,2,?,27.05915,5308,?,6,0.001059743,178833.6,?,1.380892,45450.45,?,12698520.0,240,29.12292,28.53481,0.004193165,178833.8,67552.76,?,29.10652,5308,5,40.92819,bad
?,5307,8311,?,2780,15,?,5,-29.1088,?,9757,45418.17,2426.94,28847,1.37161e-07,?,4535,45443.18,14921.84,5307,28847,?,1.708457e-05,-67552.76,?,?,13782,?,29.10652,27.41011,0.09068491,?,2797,4535,0.4958333,0.06084166,2,?,27.05915,5308,?,6,0.001059743,178833.6,?,1.380892,45450.45,?,12698520.0,240,29.12292,28.53481,0.004193165,178833.8,67552.76,?,29.10652,5308,5,0.03659014,bad
?,4535,7950,?,2358,13,?,4,-2.168404e-19,?,9605,2889389.0,2407.108,24783,-2.168404e-19,?,5307,2296333.0,1006940.0,4535,24783,?,0.03475248,-4527171.0,?,?,9870,?,454.078,27.27038,184.4662,?,2386,5307,0.475,184.4662,2,1,26.60902,5308,?,6,2.517999,8680793.0,?,188.4794,2989389.0,?,14932460.0,240,791.5987,100000.0,171.8829,8681947.0,4527171.0,?,491.2643,5308,4,39.87208,bad
?,4535,7951,?,2358,13,?,4,?,?,9614,2889389.0,2407.43,24791,?,?,5307,2296333.0,939318.3,4535,24791,?,0.03475248,-4527171.0,?,?,9869,?,?,27.93044,184.4662,?,2386,5307,0.4916667,184.4662,2,1,29.9565,5308,?,6,2.517999,8680837.0,?,192.0068,2989389.0,?,14939860.0,240,667.8895,100000.0,-42.91292,8681992.0,4527171.0,?,491.2643,5308,4,39.87666,bad
?,4535,7952,?,2358,13,?,4,4.87891e-19,?,9622,2889389.0,2407.734,24816,4.87891e-19,?,5307,2296333.0,939318.3,4535,24816,?,0.03475248,-4527171.0,?,?,9886,?,4.87891e-19,28.7351,184.4662,?,2386,5307,0.4833333,184.4662,2,1,26.60895,5308,?,6,2.517999,8680877.0,?,192.0114,2989389.0,?,14946190.0,240,667.8896,100000.0,-42.91227,8682031.0,4527171.0,?,491.2643,5308,4,39.91525,bad
?,5307,8307,?,2780,15,?,5,-35.17876,?,9768,53399.74,2427.391,28845,1.527257e-07,?,4535,45386.36,18105.65,5307,28845,?,2.077875e-05,-80906.14,?,?,13769,?,35.17646,28.93934,0.1102936,?,2797,4535,0.5,0.07423522,2,?,27.24262,5308,?,6,0.001290178,213210.5,?,1.195174,53434.82,?,12697670.0,240,34.99241,31.02565,0.08245465,213210.8,80906.14,?,35.17646,5308,5,40.89728,bad
?,4535,7950,?,2358,13,?,4,?,?,9619,2863795.0,2407.696,24792,?,?,5307,2276611.0,1004941.0,4535,24792,?,0.03507346,-4487511.0,?,?,9865,?,?,29.69753,186.1699,?,2386,5307,0.5416667,186.1699,2,1,31.74282,5308,?,6,2.541382,8690469.0,?,184.4341,2963795.0,?,14942110.0,240,825.3887,100000.0,285.5495,8691622.0,4487511.0,?,490.6939,5308,4,0.5548244,bad
?,4535,7950,?,2358,13,?,4,?,?,9619,2863795.0,2407.696,24792,?,?,5307,2276611.0,1004941.0,4535,24792,?,0.03507346,-4487511.0,?,?,9865,?,?,29.69753,186.1699,?,2386,5307,0.5416667,186.1699,2,1,31.74282,5308,?,6,2.541382,8690469.0,?,184.4341,2963795.0,?,14942110.0,240,825.3887,100000.0,285.5495,8691622.0,4487511.0,?,490.6939,5308,4,39.8647,bad
?,4535,7952,?,2358,13,?,4,4.607859e-19,?,9622,2863795.0,2407.734,24809,4.607859e-19,?,5307,2276611.0,937583.4,4535,24809,?,0.03507346,-4487511.0,?,?,9879,?,4.607859e-19,28.93907,186.1699,?,2386,5307,0.4833333,186.1699,2,1,26.49207,5308,?,6,2.541382,8690481.0,?,194.9634,2963795.0,?,14946190.0,240,671.2212,100000.0,-46.87728,8691634.0,4487511.0,?,490.6939,5308,4,39.882,bad
