MinNonzerosPerRow,RowVariance,ColumnVariance,DiagonalVariance,Nonzeros ,Dimension,FrobeniusNorm ,SymmetricFrobeniusNorm ,AntiSymmetricFrobeniusNorm,OneNorm,InfinityNorm, SymmetricInfinityNorm,AntiSymmetricInfinityNorm,MaxNonzerosPerRow ,Trace , AbsoluteTrace,MinNonzerosPerRow,AvgNonzerosPerRow,DummyRows,DummyRowsKind,NumericValueSymmetryV1,NonZeroPatternSymmetryV1,NumericValueSymmetryV2,NonZeroPatternSymmetryV2,RowDiagonalDominance ,ColumnDiagonalDominance ,DiagonalAverage,DiagonalSign ,DiagonalNonZeros ,lowerBandwidth ,upperBandwidth ,MatrixSymmetric ,matrix
 16,  0.0439236,   0.0438431,  127.867,  1413608,  40804,  5423.65, 5423.2,  70.3631,  106.761,  77.7997,  86.5271, 30.5995, 36, 947074, 947074, 16, 34, 0, 0, 0, 0, 0.99909, 0.99909, 0, 0, 23.2103, 2,  40804, 811,Q 811, 0, CHParsed_test_2_3_1.mat
  4,  0.00852568,   0.00853876,  1.08957,  178928,  20164,  928.065, 928.044,  6.21246,  24.027,  24.0875,  24.0549, 0.342338, 9, 124257, 124257, 4, 8, 0, 0, 0, 0, 0.996917, 0.996917, 0, 0, 6.16233, 2,  20164, 568,Q 568, 0, kobayashi_2_3_1.mat
  4,  1.60265,   1.60265,  6473.32,  109610,  20002,  17390.2, 17390.2,  2.0826E-13,  248.559,  248.559,  248.559, 3.55271E-15, 6, 1.74268E+06, 1.74268E+06, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 87.1252, 2,  20002, 3,Q 3, 0, direct_order4_test_32_4_1.mat
  4,  4.86818E+11,   4.86818E+11,  1.34653e+15,  120004,  20002,  6.61884E+09, 6.61884E+09,  872760,  1.0146E+08,  1.0146E+08,  1.01458E+08, 19914, 6, 5.7898E+11, 5.7898E+11, 4, 5, 0, 0, 0, 0, 0.999861, 0.999861, 0, 0, 2.89461e+07, 2,  20002, 3,Q 3, 0, direct_42_4_1.mat
  4,  2.28057,   2.28217,  6247.64,  268392,  20164,  21682.8, 21682.8,  13.7565,  414.297,  403.794,  409.046, 8.2549, 18, 2.37477E+06, 2.37477E+06, 4, 13, 0, 0, 0, 0, 0.999789, 0.999789, 0, 0, 117.773, 2,  20164, 568,Q 569, 0, AC_mobility_derivative_coupled_test_2_2_1.mat
  4,  0.635801,   0.634073,  194.416,  120004,  20002,  4145.93, 4120.52,  458.323,  113.63,  121.13,  116.546, 4.58333, 6, 278700, 278700, 4, 5, 0, 0, 0, 0, 0.942468, 0.942468, 0, 0, 13.9336, 2,  20002, 3,Q 3, 0, split_order8_test_41_1_1.mat
  4,  4.90039E+11,   4.90039E+11,  1.34903e+15,  120004,  20002,  6.62416E+09, 6.62416E+09,  872388,  1.01723E+08,  1.01723E+08,  1.01722E+08, 19909.4, 6, 5.79333E+11, 5.79333E+11, 4, 5, 0, 0, 0, 0, 0.999862, 0.999862, 0, 0, 2.89637e+07, 2,  20002, 3,Q 3, 0, direct_35_2_1.mat
  4,  4.9109E+11,   4.9109E+11,  1.3498e+15,  120004,  20002,  6.6258E+09, 6.6258E+09,  872239,  1.01808E+08,  1.01808E+08,  1.01807E+08, 19908, 6, 5.79441E+11, 5.79441E+11, 4, 5, 0, 0, 0, 0, 0.999862, 0.999862, 0, 0, 2.89692e+07, 2,  20002, 3,Q 3, 0, direct_32_12_1.mat
  4,  0.279057,   0.279057,  884.205,  118450,  20002,  6489.29, 6489.29,  1.57995E-14,  88.5239,  88.5239,  88.5239, 1.44329E-15, 6, 684253, 684253, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.2092, 2,  20002, 3,Q 3, 0, direct_order6_test_24_1_1.mat
  3,  0.509056,   0.509077,  291.785,  80001,  20001,  12327.5, 12327.4,  38.5417,  101.818,  101.047,  101.433, 0.385417, 5, 1.67668E+06, 1.67668E+06, 3, 3, 0, 0, 0, 0, 0.998093, 0.998093, 2, 2, 83.8298, 2,  20001, 10001,Q 10001, 0, langmuir_desorption_182_1_1.mat
  4,  1.60269,   1.60269,  6473.29,  109607,  20002,  17390.1, 17390.1,  2.08263E-13,  248.565,  248.565,  248.565, 3.55271E-15, 6, 1.74267E+06, 1.74267E+06, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 87.125, 2,  20002, 3,Q 3, 0, direct_order4_test_24_10_1.mat
  4,  0.277015,   0.277015,  884.262,  118448,  20002,  6489.47, 6489.47,  1.58151E-14,  88.3509,  88.3509,  88.3509, 1.44329E-15, 6, 684272, 684272, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.2102, 2,  20002, 3,Q 3, 0, direct_order6_test_59_3_1.mat
  4,  0.121713,   0.121713,  275.448,  100788,  20002,  3730.93, 3730.93,  5.90822E-15,  50.2652,  50.2652,  50.2652, 5.55112E-16, 6, 409343, 409343, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 20.4651, 2,  20002, 3,Q 3, 0, direct_order8_test_40_6_1.mat
  4,  0.277879,   0.277879,  884.27,  118450,  20002,  6489.5, 6489.5,  1.57878E-14,  88.4862,  88.4862,  88.4862, 1.44329E-15, 6, 684274, 684274, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.2103, 2,  20002, 3,Q 3, 0, direct_order6_test_64_1_1.mat
  4,  0.277999,   0.277999,  884.21,  118450,  20002,  6489.31, 6489.31,  1.5787E-14,  88.4022,  88.4022,  88.4022, 1.44329E-15, 6, 684254, 684254, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.2093, 2,  20002, 3,Q 3, 0, direct_order6_test_27_4_1.mat
  4,  0.133688,   0.133688,  275.435,  100756,  20002,  3730.85, 3730.85,  2.19285E-14,  53.2786,  53.2786,  53.2786, 6.66134E-16, 6, 409335, 409335, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 20.4647, 2,  20002, 3,Q 3, 0, direct_order8_test_3_12_1.mat
  4,  0.281608,   0.281608,  884.296,  118448,  20002,  6489.58, 6489.58,  1.58128E-14,  88.9044,  88.9044,  88.9044, 1.44329E-15, 6, 684283, 684283, 4, 5, 0, 0, 0, 0, 1, 1, 0, 0, 34.2107, 2,  20002, 3,Q 3, 0, direct_order6_test_84_10_1.mat
  4,  9.15563E+10,   9.15547E+10,  1.60018e+14,  120004,  20002,  2.71638E+09, 2.71635E+09,  1.18218E+07,  6.98814E+07,  7.01411E+07,  7.00112E+07, 146776, 6, 1.85383E+11, 1.85383E+11, 4, 5, 0, 0, 0, 0, 0.996949, 0.996949, 0, 0, 9.26824e+06, 2,  20002, 3,Q 3, 0, split_17_5_1.mat
  4,  2.29596,   2.29423,  2732.28,  120004,  20002,  12368.1, 12359.6,  458.323,  252.467,  259.967,  255.384, 4.58333, 6, 1.04601E+06, 1.04601E+06, 4, 5, 0, 0, 0, 0, 0.97784, 0.97784, 0, 0, 52.2954, 2,  20002, 3,Q 3, 0, split_order6_test_4_2_1.mat
  4,  2.28057,   2.28249,  6245.85,  268392,  20164,  21684, 21684,  12.4059,  414.853,  403.794,  409.323, 9.23631, 18, 2.3751E+06, 2.3751E+06, 4, 13, 0, 0, 0, 0, 0.999804, 0.999804, 0, 0, 117.789, 2,  20164, 568,Q 569, 0, AC_mobility_derivative_coupled_test_3_1_1.mat
