@relation solvers_anamod_30RS1

@attribute n-nonzero-diags numeric
@attribute avg-diag-dist numeric
@attribute nnz numeric
@attribute norm1 numeric
@attribute col-variability numeric
@attribute min-nnzeros-per-row numeric
@attribute row-variability numeric
@attribute kappa numeric
@attribute ' time' numeric
@attribute ' solver' numeric
@attribute ' class' {good,bad}

@data
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000761,90197667,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.00012,45869639,good
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000121,45869638,good
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.00024,89269803,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.00024,89269801,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.00028,7285381,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000271,7285384,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000543,59072884,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000544,49598910,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000563,49598912,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000249,30870721,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000239,30870720,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,1.79769313486E308,44526267,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000239,32168838,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000272,95762352,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.00055,57331598,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.00012,88865079,good
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000477,49834418,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.00012,88865076,good
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.000719,57331600,bad
3,0.666667,30001,0.640389,1.625188,2,1.625188,3.582398,0.001421,43373442,bad
