lambda-max-by-magnitude-im,right-bandwidth,n-nonzero-diags,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-min-by-magnitude-re,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,nnzeros,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,nnzlow,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,colour-offsets,n-colours,diagonal-variance,departure,dummy-rows-kind,kappa,sigma-max,colour-set-sizes,sigma-diag-dist,n-ritz-values,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lambda-max-by-real-part-im,lambda-max-by-real-part-re,nnzdia,avgdistfromdiag, time, solver, class
0,721,418,6,60,43,0,13,65258.4,0,4076,830551,372.5646,10795,0.00105409,0,721,1091429,527450.2,721,10795,0,106.1868,-1091707,0,0,5928,0,65258.4,53.45869,83993.79,0,702,721,0.825,83993.79,1,0,53.45869,791,0,12,1713.416,4707370,1,40913.62,895809.4,0,337920.1,240,32630.18,6.8701,32628.22,4707844,1091709,0,65258.4,791,13,9.11E-05,32168839,1
0,721,418,6,60,43,0,13,65258.4,0,4076,830551,372.5646,10795,0.00105409,0,721,1091429,527450.2,721,10795,0,106.1868,-1091707,0,0,5928,0,65258.4,53.45869,83993.79,0,702,721,0.825,83993.79,1,0,53.45869,791,0,12,1713.416,4707370,1,40913.62,895809.4,0,337920.1,240,32630.18,6.8701,32628.22,4707844,1091709,0,65258.4,791,13,0.00012994,29030070,-1
0,721,418,6,60,43,0,13,65258.4,0,4076,830551,372.5646,10795,0.00105409,0,721,1091429,527450.2,721,10795,0,106.1868,-1091707,0,0,5928,0,65258.4,53.45869,83993.79,0,702,721,0.825,83993.79,1,0,53.45869,791,0,12,1713.416,4707370,1,40913.62,895809.4,0,337920.1,240,32630.18,6.8701,32628.22,4707844,1091709,0,65258.4,791,13,0.00037169,36564232,-1
0,721,418,6,60,43,0,13,65258.4,0,4076,830551,372.5646,10795,0.00105409,0,721,1091429,527450.2,721,10795,0,106.1868,-1091707,0,0,5928,0,65258.4,53.45869,83993.79,0,702,721,0.825,83993.79,1,0,53.45869,791,0,12,1713.416,4707370,1,40913.62,895809.4,0,337920.1,240,32630.18,6.8701,32628.22,4707844,1091709,0,65258.4,791,13,1.79769313486e+308,81986705,-1
0,721,418,6,60,43,0,13,65258.4,0,4076,830551,372.5646,10795,0.00105409,0,721,1091429,527450.2,721,10795,0,106.1868,-1091707,0,0,5928,0,65258.4,53.45869,83993.79,0,702,721,0.825,83993.79,1,0,53.45869,791,0,12,1713.416,4707370,1,40913.62,895809.4,0,337920.1,240,32630.18,6.8701,32628.22,4707844,1091709,0,65258.4,791,13,7.03E-05,37052868,1
0,420,779,0,16,18,1,10,0.625,0,4994,0.8998526,200.611,11003,0.0957024,0,420,1,0.995555,420,11003,0,0.6433498,-0.1666667,0,0,4994,0,0.0957024,1.726839,653,0,1015,420,1,653,5,2,1.726839,1015,0,9,0.1244806,1.928401,0,10.44892,1.022023,0,94511.12,16,0.4521423,0,0.5478447,21.26015,1.333333,0,1,1015,10,0.00010228,45869639,1
0,420,779,0,16,18,1,10,0.625,0,4994,0.8998526,200.611,11003,0.0957024,0,420,1,0.995555,420,11003,0,0.6433498,-0.1666667,0,0,4994,0,0.0957024,1.726839,653,0,1015,420,1,653,5,2,1.726839,1015,0,9,0.1244806,1.928401,0,10.44892,1.022023,0,94511.12,16,0.4521423,0,0.5478447,21.26015,1.333333,0,1,1015,10,0.00012589,32168839,1
0,420,779,0,16,18,1,10,0.625,0,4994,0.8998526,200.611,11003,0.0957024,0,420,1,0.995555,420,11003,0,0.6433498,-0.1666667,0,0,4994,0,0.0957024,1.726839,653,0,1015,420,1,653,5,2,1.726839,1015,0,9,0.1244806,1.928401,0,10.44892,1.022023,0,94511.12,16,0.4521423,0,0.5478447,21.26015,1.333333,0,1,1015,10,1.79769313486e+308,90783920,-1
0,420,779,0,16,18,1,10,0.625,0,4994,0.8998526,200.611,11003,0.0957024,0,420,1,0.995555,420,11003,0,0.6433498,-0.1666667,0,0,4994,0,0.0957024,1.726839,653,0,1015,420,1,653,5,2,1.726839,1015,0,9,0.1244806,1.928401,0,10.44892,1.022023,0,94511.12,16,0.4521423,0,0.5478447,21.26015,1.333333,0,1,1015,10,0.00062156,29030070,-1
0,420,779,0,16,18,1,10,0.625,0,4994,0.8998526,200.611,11003,0.0957024,0,420,1,0.995555,420,11003,0,0.6433498,-0.1666667,0,0,4994,0,0.0957024,1.726839,653,0,1015,420,1,653,5,2,1.726839,1015,0,9,0.1244806,1.928401,0,10.44892,1.022023,0,94511.12,16,0.4521423,0,0.5478447,21.26015,1.333333,0,1,1015,10,0.00023222,7285382,-1
