% Generated on 2016-04-04 11:32:04,  Kanika.local: /Users/kanikas/Documents/Lighthouse_Github/lighthouse/sandbox/scripts/anamod2arff.py, Command: "../scripts/anamod2arff.py -f ../petsc/anamod-features -p ../petsc/timing/aciss-moose -n solvers_anamod -b 30 -t"
lambda-max-by-magnitude-im,right-bandwidth,n-nonzero-diags,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-min-by-magnitude-re,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,nnzeros,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,nnzlow,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,colour-offsets,n-colours,diagonal-variance,departure,dummy-rows-kind,kappa,sigma-max,colour-set-sizes,sigma-diag-dist,n-ritz-values,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lambda-max-by-real-part-im,lambda-max-by-real-part-re,nnzdia,avgdistfromdiag, time, solver, class
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.00027108,"7285384",1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.00054288,"59072884",-1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.00024891,"30870721",1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.0002389,"30870720",1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.00047708,"49834418",-1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.0036869,"91068410",-1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.0036848,"91068408",-1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,1.79769313486e+308,"90783920",-1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.0002811,"99720138",1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.00032997,"26415433",-1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.00035691,"69654762",-1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.00031209,"38678401",-1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.00034308,"38678402",-1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.00028896,"38678403",1
0,1,3,0,1,3,1,2,0.5650184,0,10000,0.01385231,0.6666667,30001,0.1598192,0,1,0.6403888,0.1577207,1,30001,0,0.362979,0.1152512,0,0,10000,0,0.5650184,1.625188,3630.153,0,10001,1,1.0,3630.153,2,2,1.625188,10001,0,3,0.003455495,0.09778007,0,3.582398,0.5788707,0,1.111111,32,0.2036488,0,0.3613695,37.3691,0.6290849,0,0.5650184,10001,2,0.00023937,"36025721",1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,0.00071907,"7285384",-1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,0.00072098,"59072884",-1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,0.00073004,"30870721",-1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,0.00071597,"30870720",-1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,0.0014257,"49834418",-1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,0.0075817,"91068408",-1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,1.79769313486e+308,"90783920",-1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,0.00072312,"99720138",-1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,0.00024199,"26415433",1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,0.0010812,"69654762",-1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,0.0010779,"80361466",-1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,0.001075,"80361467",-1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,0.0009191,"38678401",-1
0,3,7,0,142,6,1,5,50.00959,0,50001,18.87889,1.714286,120004,4.68164,0,3,50.63281,19.6315,3,120004,0,20.46501,-3.356551,0,0,50001,0,50.00959,16.62039,409341.1,0,20002,3,1.0,409341.1,4,2,16.62039,20002,0,6,16.59651,4.582741e-11,0,66.44774,50.00959,0,6.938776,38,24.62849,0,25.3811,3730.908,50.63281,0,50.00959,20002,5,0.00092006,"38678402",-1
