n-nonzero-diags,avg-diag-dist,nnz,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver, class
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00076103,90197667,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00024009,89269803,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00024009,89269801,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00027108,7285384,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00054288,59072884,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00054407,49598910,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00056338,49598912,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00024891,30870721,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.0002389,30870720,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.0002389,32168838,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00047708,49834418,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.0014207,43373442,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.0036869,91068410,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00014591,18868441,1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.0036848,91068408,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,1.79769313486e+308,90783920,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.0002811,99720138,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00032997,26415433,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,1.79769313486e+308,68908713,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00017118,75830645,1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00035691,69654762,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00047994,19932323,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00031209,38678401,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00034308,38678402,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00028896,38678403,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.00023937,36025721,-1
3,0.6666667,30001,0.6403888,1.625188,2,1.625188,3.582398,0.003701,85490472,-1
7,1.714286,120004,50.63281,16.62039,4,16.62039,66.44774,0.0042901,90197667,-1
