@relation 'petsc_data-weka.filters.unsupervised.attribute.Remove-R25-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Remove-R1-9,12-13,15-22,24-29,31,33-38,40,42-53'

@attribute avg-diag-dist numeric
@attribute nnz numeric
@attribute norm1 numeric
@attribute col-variability numeric
@attribute min-nnzeros-per-row numeric
@attribute row-variability numeric
@attribute n-nonzero-diags numeric
@attribute kappa numeric
@attribute solver {89565283,8793455,90197667,49598909,91036839,45869639,45869638,45869637,47942867,89269802,89269803,89269801,89269804,59072883,59072882,59072881,7285381,7285384,59072884,49598911,49598910,49598912,30870721,36025723,36025722,53302993,30870720,64278029,36025724,44526267,8793454,8793456,8793453,17734818,32168839,32168838,57331597,95762352,57331599,57331598,32168837,88865078,88865079,49834417,49834419,49834418,88865076,88865077,11256942,11256943,11256941,42851841,11256944,31459546,17887723,91845162,53362206,95762355,12321508,75830644,57331600,43373444,95762353,43373441,43373442,43373443,91068411,91068410,5890861,85483012,5890863,5890862,18868444,18868441,18868443,18868442,91068408,47942864,47942865,47942866,91068409,8520536,5890860,82456576,29030069,95762354,90783920,99720138,29030071,29030070,29030072,85490469,30870723,30870722,26415435,26415434,26415433,26415432,13323659,45869640,36564233,68908713,7285382,36564232,7285383,75830645,36564234,81986705,29553941,29553943,29553942,69654761,29553944,69654763,69654762,32874609,32168840,90197664,90197665,90197666,69654760,37052870,37052871,19932321,19932323,19932322,19932324,80361466,80361467,80361464,80361465,49834420,1216556,38678404,38678401,38678402,38678403,32874611,32874610,32874612,44114477,44114476,44114479,44114478,36564235,36025721,75830647,75830646,85490471,85490470,85490472,18524981,37052869,37052868}
@attribute class {good,bad}

@data
97.77401,2264,202500,5.980963,2,7.988063,177,38.13091,80361466,good
97.77401,2264,202500,5.980963,2,7.988063,177,38.13091,80361467,good
97.77401,2264,202500,5.980963,2,7.988063,177,38.13091,80361465,good
97.77401,2264,202500,5.980963,2,7.988063,177,38.13091,36564233,good
97.77401,2264,202500,5.980963,2,7.988063,177,38.13091,36564232,good
97.77401,2264,202500,5.980963,2,7.988063,177,38.13091,75830644,good
97.77401,2264,202500,5.980963,2,7.988063,177,38.13091,13323659,good
97.77401,2264,202500,5.980963,2,7.988063,177,38.13091,75830646,good
97.77401,2264,202500,5.980963,2,7.988063,177,38.13091,38678404,bad
97.77401,2264,202500,5.980963,2,7.988063,177,38.13091,29553943,good
2427.003,28847,45711.66,29.76966,2,28.43969,8311,1.21084,89565283,bad
2427.003,28847,45711.66,29.76966,2,28.43969,8311,1.21084,44114476,bad
2407.43,24791,2296333,27.93044,2,29.9565,7951,192.0068,89565283,bad
2408.001,24816,2296333,28.7351,2,26.60895,7953,183.6379,89565283,bad
2427.391,28845,45386.36,28.93934,2,27.24262,8307,1.195174,89565283,bad
2407.734,24809,2276611,28.93907,2,26.49207,7952,194.9634,89565283,bad
2407.734,24809,2276611,28.93907,2,26.49207,7952,194.9634,68908713,good
2427.031,28848,45348.06,29.3272,2,27.41537,8309,1.571096,89565283,bad
2427.031,28848,45348.06,29.3272,2,27.41537,8309,1.571096,30870720,good
2427.031,28848,45348.06,29.3272,2,27.41537,8309,1.571096,91068410,good
2407.284,24790,2270087,28.94268,2,26.7714,7949,203.6607,89565283,bad
2407.284,24790,2270087,28.94268,2,26.7714,7949,203.6607,47942866,good
