nprocs,solverid,solvername,avg time/solve,name,count,maxtime,flops/kspsolve,maxflops,messages,avgmsglen,reductions,max mflop/s,speedup,efficiency
24,99720138,cg/bjacobi,2.53E-01,KSPSolve,1,2.53E-01,1.29E+08,1.29E+08,4.60E+02,6.70E+03,2.60E+01,12074,1.0,100.0
24,83929537,cg/asm,5.87E-01,KSPSolve,1,5.87E-01,1.45E+08,1.45E+08,1.70E+03,1.40E+04,4.00E+01,5868,1.0,100.0
24,42851841,gmres/bjacobi,1.90E+00,KSPSolve,2,3.80E+00,1.26E+11,2.52E+11,8.00E+05,6.70E+03,2.10E+04,15601,1.0,100.0
24,22479830,gmres/asm,2.05E+00,KSPSolve,2,4.10E+00,1.27E+11,2.53E+11,1.60E+06,6.80E+03,2.10E+04,14666,1.0,100.0
24,12321508,fgmres/bjacobi,2.80E+00,KSPSolve,2,5.60E+00,1.83E+11,3.66E+11,1.20E+06,6.70E+03,3.10E+04,15635,1.0,100.0
24,82456576,tfqmr/jacobi,3.30E+00,KSPSolve,1,3.30E+00,1.75E+11,1.75E+11,1.50E+06,6.70E+03,3.00E+04,12486,1.0,100.0
24,36931900,bicg/asm,9.70E+00,KSPSolve,1,9.70E+00,4.61E+09,4.61E+09,4.80E+04,7.00E+03,5.00E+02,11323,1.0,100.0
48,83929537,cg/asm,2.81E-01,KSPSolve,1,2.81E-01,6.51E+07,6.51E+07,3.30E+03,1.00E+04,3.70E+01,11008,2.088967971530249,104.44839857651245
48,42851841,gmres/bjacobi,8.50E-01,KSPSolve,2,1.70E+00,6.30E+10,1.26E+11,1.70E+06,4.70E+03,2.10E+04,34061,2.235294117647059,111.76470588235294
48,53362206,bicg/jacobi,1.10E+00,KSPSolve,1,1.10E+00,6.56E+08,6.56E+08,2.70E+04,4.70E+03,2.60E+02,27539,1.0,100.0
48,44526267,fgmres/jacobi,1.10E+00,KSPSolve,1,1.10E+00,9.06E+10,9.06E+10,1.70E+06,4.70E+03,2.00E+04,37314,1.0,100.0
48,12321508,fgmres/bjacobi,1.20E+00,KSPSolve,2,2.40E+00,8.55E+10,1.71E+11,2.40E+06,4.70E+03,2.90E+04,33491,2.3333333333333335,116.66666666666667
48,53302993,tfqmr/bjacobi,1.20E+00,KSPSolve,3,3.60E+00,6.90E+10,2.07E+11,4.50E+06,4.70E+03,4.10E+04,27334,1.0,100.0
48,36482981,fgmres/asm,1.25E+00,KSPSolve,2,2.50E+00,8.20E+10,1.64E+11,4.40E+06,4.70E+03,2.70E+04,30664,1.0,100.0
48,81997754,tfqmr/asm,1.42E+00,KSPSolve,5,7.10E+00,7.40E+10,3.70E+11,1.60E+07,4.70E+03,7.30E+04,24609,1.0,100.0
96,81986705,cg/jacobi,1.22E-02,KSPSolve,1,1.22E-02,4.41E+06,4.41E+06,6.90E+02,3.30E+03,1.50E+01,34273,1.0,100.0
96,53362206,bicg/jacobi,5.42E-01,KSPSolve,1,5.42E-01,3.30E+08,3.30E+08,5.60E+04,3.30E+03,2.60E+02,57919,2.029520295202952,101.4760147601476
96,36482981,fgmres/asm,6.00E-01,KSPSolve,2,1.20E+00,4.27E+10,8.54E+10,9.60E+06,3.40E+03,2.80E+04,65680,2.0833333333333335,104.16666666666667
96,53302993,tfqmr/bjacobi,1.30E+00,KSPSolve,1,1.30E+00,7.58E+10,7.58E+10,6.90E+06,3.30E+03,3.00E+04,54293,0.923076923076923,46.15384615384615
96,13323659,bicg/bjacobi,2.80E+00,KSPSolve,1,2.80E+00,1.68E+09,1.68E+09,1.60E+05,3.30E+03,7.00E+02,55631,1.0,100.0
96,42851841,gmres/bjacobi,4.35E+00,KSPSolve,2,8.70E+00,3.17E+10,6.33E+10,3.60E+06,3.30E+03,2.10E+04,69071,0.4367816091954023,10.919540229885058
96,44526267,fgmres/jacobi,5.40E+00,KSPSolve,1,5.40E+00,4.56E+10,4.56E+10,3.60E+06,3.30E+03,2.00E+04,80275,0.20370370370370372,10.185185185185187
96,99720138,cg/bjacobi,6.20E+00,KSPSolve,1,6.20E+00,3.77E+10,3.77E+10,3.40E+06,3.30E+03,3.00E+04,57852,0.04080645161290322,1.0201612903225805
384,83929537,cg/asm,7.91E-02,KSPSolve,1,7.91E-02,6.44E+06,6.44E+06,2.30E+04,4.20E+03,3.10E+01,30590,7.4209860935524645,46.381163084702905
384,36931900,bicg/asm,5.44E-01,KSPSolve,1,5.44E-01,3.02E+08,3.02E+08,9.40E+05,1.70E+03,5.00E+02,209395,17.830882352941174,111.44301470588233
