config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/s
s1000_g1e2,24,7481378,tfqmr/none,KSPSolve,1,3.2,3.200000e+00,1.72e+11,1.5e+06,6.7e+03,3.0e+04,12788
s1000_g1e2,24,75830645,ibcgs/asm/overlap3,KSPSolve,3,6.5,2.166667e+00,1.07e+11,1.4e+06,9.8e+03,6.7e+03,39022
s1000_g1e2,24,75830644,ibcgs/asm/overlap2,KSPSolve,3,6.9,2.300000e+00,1.14e+11,1.5e+06,7.3e+03,7.2e+03,39200
s1000_g1e2,24,11256942,tfqmr/asm/overlap0,KSPSolve,3,2.5,8.333333e-01,1.27e+11,6.4e+05,6.7e+03,1.3e+04,11840
s1000_g1e2,24,11256943,tfqmr/asm/overlap3,KSPSolve,1,6.2,6.200000e+00,3.10e+11,4.2e+06,9.7e+03,3.0e+04,11733
s1000_g1e2,24,11256941,tfqmr/asm/overlap1,KSPSolve,3,3.1,1.033333e+00,1.53e+11,1.5e+06,6.8e+03,1.5e+04,11557
s1000_g1e2,24,42851841,gmres/bjacobi,KSPSolve,3,6.9,2.300000e+00,4.64e+11,1.5e+06,6.7e+03,3.8e+04,16042
s1000_g1e2,24,81986705,cg/jacobi,KSPSolve,1,5.5002e-02,5.500200e-02,1.75e+07,1.5e+02,6.7e+03,1.5e+01,7631
s1000_g1e2,24,82456576,tfqmr/jacobi,KSPSolve,1,3.2,3.200000e+00,1.75e+11,1.5e+06,6.7e+03,3.0e+04,12785
s1000_g1e2,24,89269802,lgmres/asm/overlap1,KSPSolve,1,3.9,3.900000e+00,2.43e+11,1.5e+06,6.7e+03,2.1e+04,14831
s1000_g1e2,24,53362206,bicg/jacobi,KSPSolve,1,1.5,1.500000e+00,8.42e+08,7.9e+03,6.7e+03,1.7e+02,13325
s1000_g1e2,24,83929537,cg/asm,KSPSolve,1,7.1,7.100000e+00,3.52e+09,3.6e+04,7.1e+03,7.1e+02,11763
s1000_g1e2,24,45869638,fgmres/asm/overlap3,KSPSolve,3,7.0,2.333333e+00,4.23e+11,3.7e+06,9.7e+03,3.5e+04,14430
s1000_g1e2,24,45869637,fgmres/asm/overlap2,KSPSolve,3,6.2,2.066667e+00,3.78e+11,3.3e+06,7.3e+03,3.1e+04,14460
s1000_g1e2,24,36482981,fgmres/asm,KSPSolve,3,5.9,1.966667e+00,3.70e+11,2.3e+06,6.8e+03,3.1e+04,14838
s1000_g1e2,24,18524981,ibcgs/bjacobi,KSPSolve,3,7.6,2.533333e+00,1.39e+11,6.7e+05,6.7e+03,8.9e+03,43131
s1000_g1e2,24,12321508,fgmres/bjacobi,KSPSolve,3,7.4,2.466667e+00,4.99e+11,1.6e+06,6.7e+03,4.2e+04,16057
s1000_g1e2,24,89269803,lgmres/asm/overlap2,KSPSolve,1,3.9,3.900000e+00,2.44e+11,2.1e+06,7.3e+03,2.1e+04,14732
s1000_g1e2,24,89269801,lgmres/asm/overlap0,KSPSolve,1,3.9,3.900000e+00,2.42e+11,7.3e+05,6.7e+03,2.1e+04,14649
s1000_g1e2,24,22479830,gmres/asm,KSPSolve,3,6.4,2.133333e+00,4.00e+11,2.5e+06,6.8e+03,3.3e+04,14743
s1000_g1e2,24,89269804,lgmres/asm/overlap3,KSPSolve,1,3.9,3.900000e+00,2.45e+11,2.1e+06,9.7e+03,2.1e+04,14774
s1000_g1e2,24,75830647,ibcgs/asm/overlap1,KSPSolve,3,6.6,2.200000e+00,1.09e+11,1.0e+06,6.8e+03,6.9e+03,39409
s1000_g1e2,24,44673503,fgmres/none,KSPSolve,1,2.4,2.400000e+00,1.79e+11,7.9e+05,6.7e+03,2.0e+04,17209
s1000_g1e2,24,99720138,cg/bjacobi,KSPSolve,1,2.6,2.600000e+00,1.56e+10,7.9e+04,6.7e+03,3.1e+03,14015
s1000_g1e2,24,80361466,bcgs/asm/overlap0,KSPSolve,3,2.0,6.666667e-01,1.08e+11,5.5e+05,6.7e+03,1.5e+04,12843
s1000_g1e2,24,80361467,bcgs/asm/overlap1,KSPSolve,3,2.1,7.000000e-01,1.09e+11,1.1e+06,6.8e+03,1.5e+04,12314
s1000_g1e2,24,81997754,tfqmr/asm,KSPSolve,3,3.0,1.000000e+00,1.53e+11,1.5e+06,6.8e+03,1.5e+04,11855
s1000_g1e2,24,80361465,bcgs/asm/overlap3,KSPSolve,3,2.0,6.666667e-01,1.03e+11,1.4e+06,9.8e+03,1.4e+04,12199
s1000_g1e2,24,80361464,bcgs/asm/overlap2,KSPSolve,3,2.2,7.333333e-01,1.16e+11,1.6e+06,7.3e+03,1.5e+04,12294
s1000_g1e2,24,19481960,bicg/none,KSPSolve,1,1.0111e-01,1.011100e-01,4.69e+07,4.6e+02,6.7e+03,2.1e+01,11109
s1000_g1e2,24,8520536,bcgs/jacobi,KSPSolve,3,3.0,1.000000e+00,1.82e+11,1.6e+06,6.7e+03,4.3e+04,14395
s1000_g1e2,24,1216556,ibcgs/jacobi,KSPSolve,1,3.6,3.600000e+00,7.02e+10,5.7e+05,6.7e+03,7.5e+03,46123
