config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/s,speedup,efficiency
s20_g1,24,99720138,cg/bjacobi,KSPSolve,1,2.2643e-01,2.264300e-01,6.62e+07,7.6e+05,1.3e+02,3.0e+04,5680,0.08708846153846153,8.708846153846153
s20_g1,24,11256942,tfqmr/asm/overlap0,KSPSolve,2,6.0580e-03,3.029000e-03,9.45e+05,1.0e+04,1.3e+02,2.4e+02,3023,0.0036348001453920054,0.36348001453920054
s20_g1,24,11256943,tfqmr/asm/overlap3,KSPSolve,2,6.8109e-03,3.405450e-03,1.66e+06,2.3e+04,3.0e+02,1.8e+02,4368,0.000549266129032258,0.054926612903225806
s20_g1,24,11256941,tfqmr/asm/overlap1,KSPSolve,2,5.3189e-03,2.659450e-03,9.57e+05,1.6e+04,1.7e+02,1.8e+02,3391,0.0025736621205361674,0.25736621205361676
s20_g1,24,42851841,gmres/bjacobi,KSPSolve,2,4.0848e-03,2.042400e-03,1.18e+06,8.4e+03,1.3e+02,2.9e+02,5658,0.0008880000000000001,0.08880000000000002
s20_g1,24,11256944,tfqmr/asm/overlap2,KSPSolve,2,7.4630e-03,3.731500e-03,1.23e+06,2.2e+04,2.1e+02,1.7e+02,3027,0.0006117213114754099,0.06117213114754099
s20_g1,24,82456576,tfqmr/jacobi,KSPSolve,1,8.6188e-03,8.618800e-03,2.73e+06,4.9e+04,1.3e+02,1.0e+03,6135,0.0026933749999999996,0.26933749999999995
s20_g1,24,49542066,bcgs/none,KSPSolve,2,5.1761e-03,2.588050e-03,1.39e+06,2.6e+04,1.3e+02,7.1e+02,5205,0.0032018829875416007,0.013341179114756671
s20_g1,24,53362206,bicg/jacobi,KSPSolve,2,6.9621e-03,3.481050e-03,2.10e+06,4.1e+04,1.3e+02,8.3e+02,5840,0.0031645909090909086,0.013185795454545452
s20_g1,24,45869639,fgmres/asm/overlap0,KSPSolve,2,5.8639e-03,2.931950e-03,1.31e+06,9.3e+03,1.3e+02,3.8e+02,4371,0.0011133988751137816,0.11133988751137816
s20_g1,24,45869638,fgmres/asm/overlap3,KSPSolve,2,6.7668e-03,3.383400e-03,1.46e+06,1.7e+04,3.3e+02,2.8e+02,3944,0.0014500287785755397,0.14500287785755397
