config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/s,speedup,efficiency
s20_g1e2,24,99720138,cg/bjacobi,KSPSolve,1,2.3956e-01,2.395600e-01,6.62e+07,7.6e+05,1.3e+02,3.0e+04,5369,0.09213846153846153,9.213846153846154
s20_g1e2,24,53362206,bicg/jacobi,KSPSolve,3,1.5570e-02,5.190000e-03,2.82e+06,5.5e+04,1.3e+02,1.1e+03,3508,0.0047181818181818175,0.019659090909090907
s20_g1e2,24,69323954,gmres/none,KSPSolve,3,1.6487e-02,5.495667e-03,3.75e+06,3.5e+04,1.3e+02,9.6e+02,4482,0.0021982668,0.21982668000000002
s20_g1e2,24,19481960,bicg/none,KSPSolve,3,1.5793e-02,5.264333e-03,2.61e+06,5.2e+04,1.3e+02,1.0e+03,3197,0.006340507304852639,0.026418780436885995
s20_g1e2,24,7481378,tfqmr/none,KSPSolve,3,2.3186e-02,7.728667e-03,1.99e+06,3.7e+04,1.3e+02,7.4e+02,1664,0.0010734259722222222,0.4293703888888889
s20_g1e2,24,13323659,bicg/bjacobi,KSPSolve,3,2.2939e-02,7.646333e-03,2.36e+06,2.8e+04,1.3e+02,5.6e+02,1990,0.001499280980392157,0.00624700408496732
s20_g1e2,24,12321508,fgmres/bjacobi,KSPSolve,3,1.3748e-02,4.582667e-03,2.14e+06,1.5e+04,1.3e+02,5.2e+02,3055,0.0018578377219138215,0.18578377219138215
s20_g1e2,24,96689089,cg/none,KSPSolve,1,7.6420e-03,7.642000e-03,1.75e+05,3.3e+03,1.3e+02,1.3e+02,443,0.011948839827381324,0.04978683261408885
s20_g1e2,24,53302993,tfqmr/bjacobi,KSPSolve,3,2.1845e-02,7.281667e-03,1.74e+06,1.9e+04,1.3e+02,4.0e+02,1548,0.009497826108790169,0.9497826108790168
s20_g1e2,24,44673503,fgmres/none,KSPSolve,3,1.5526e-02,5.175333e-03,3.74e+06,3.4e+04,1.3e+02,1.0e+03,4744,0.0030443135294117647,0.012684639705882352
s20_g1e2,24,81986705,cg/jacobi,KSPSolve,1,1.5233e-01,1.523300e-01,4.16e+07,7.6e+05,1.3e+02,3.0e+04,5291,0.3523139903323542,1.4679749597181426
s20_g1e2,24,44526267,fgmres/jacobi,KSPSolve,3,1.4961e-02,4.987000e-03,3.77e+06,3.5e+04,1.3e+02,1.0e+03,4965,0.0019948,0.19948000000000002
s20_g1e2,24,82456576,tfqmr/jacobi,KSPSolve,3,2.1703e-02,7.234333e-03,2.34e+06,4.2e+04,1.3e+02,8.6e+02,2092,0.0022607290625,0.22607290624999998
s20_g1e2,24,42851841,gmres/bjacobi,KSPSolve,3,1.5411e-02,5.137000e-03,2.24e+06,1.6e+04,1.3e+02,4.8e+02,2847,0.002233478260869565,0.22334782608695652
s20_g1e2,96,90783920,gmres/jacobi,KSPSolve,3,2.2785e-02,7.595000e-03,1.13e+06,1.6e+05,6.7e+01,9.8e+02,3257,0.003038,0.07595
s20_g1e2,96,99720138,cg/bjacobi,KSPSolve,1,2.1538e-02,2.153800e-02,1.65e+05,3.0e+04,6.7e+01,2.7e+02,479,0.008283846153846154,0.20709615384615385
s20_g1e2,96,53362206,bicg/jacobi,KSPSolve,3,2.5455e-02,8.485000e-03,8.47e+05,2.5e+05,6.7e+01,1.1e+03,2143,0.007713636363636363,0.008035037878787878
s20_g1e2,96,69323954,gmres/none,KSPSolve,3,2.3028e-02,7.676000e-03,1.12e+06,1.6e+05,6.7e+01,9.6e+02,3188,0.0030704,0.07676
s20_g1e2,96,19481960,bicg/none,KSPSolve,3,2.2482e-02,7.494000e-03,7.83e+05,2.4e+05,6.7e+01,1.0e+03,2244,0.00902597950064437,0.009402061979837884
s20_g1e2,96,7481378,tfqmr/none,KSPSolve,3,3.3231e-02,1.107700e-02,5.97e+05,1.7e+05,6.7e+01,7.4e+02,1160,0.001538472222222222,0.15384722222222222
s20_g1e2,96,13323659,bicg/bjacobi,KSPSolve,3,3.3786e-02,1.126200e-02,1.06e+06,2.1e+05,6.7e+01,9.1e+02,1959,0.002208235294117647,0.002300245098039216
s20_g1e2,96,12321508,fgmres/bjacobi,KSPSolve,3,2.4668e-02,8.222667e-03,9.62e+05,1.1e+05,6.7e+01,7.6e+02,2503,0.0033335131981738915,0.08333782995434728
s20_g1e2,96,96689089,cg/none,KSPSolve,1,1.0463e-02,1.046300e-02,5.24e+04,1.5e+04,6.7e+01,1.3e+02,323,0.01635968478328851,0.017041338315925532
s20_g1e2,96,53302993,tfqmr/bjacobi,KSPSolve,3,2.9518e-02,9.839333e-03,6.45e+05,1.2e+05,6.7e+01,5.4e+02,1372,0.012833912050699475,0.3208478012674869
s20_g1e2,96,44673503,fgmres/none,KSPSolve,3,2.4733e-02,8.244333e-03,1.12e+06,1.6e+05,6.7e+01,1.0e+03,2967,0.004849607647058824,0.005051674632352942
s20_g1e2,96,81986705,cg/jacobi,KSPSolve,1,2.9142e-01,2.914200e-01,1.25e+07,3.4e+06,6.7e+01,3.0e+04,2761,0.6740060596248584,0.7020896454425608
s20_g1e2,96,44526267,fgmres/jacobi,KSPSolve,3,2.4971e-02,8.323667e-03,1.13e+06,1.6e+05,6.7e+01,1.0e+03,2955,0.0033294668,0.08323667
