RowVariance,InfinityNorm,AvgNNZperRow,Symmetric,solver,predictedclass,class
493000000000,102000000,5,0,32168838,bad,bad
1.60822,248.837,5,1,7285384,bad,bad
0.250715,111.716,5,0,85490469,bad,bad
0.008452,24.1877,8,0,45869638,bad,bad
1.60822,248.837,5,1,36025723,bad,bad
0.27635,88.2346,5,1,38678403,bad,bad
483000000000,101000000,5,0,89269803,bad,bad
0.692215,296.153,17,0,90783920,bad,bad
0.118851,49.5675,5,1,75830644,bad,bad
0.000033,0.610986,2,0,80361467,bad,bad
2.28057,403.794,13,0,37052869,bad,bad
0.28288,89.0356,5,1,91845162,bad,bad
1.60341,248.598,5,1,7285382,bad,bad
0.127359,51.685,5,1,8793454,bad,bad
508000000000,103000000,5,0,59072884,bad,bad
1.60516,248.69,5,1,89269802,bad,bad
2.07815,254.356,5,0,49834417,bad,bad
496000000000,102000000,5,0,30870721,bad,bad
0.803485,141.568,5,0,99720138,bad,bad
0.278332,88.4406,5,1,37052869,bad,bad
0.118921,49.5848,5,1,69654762,bad,bad
517000000000,105000000,5,0,49834417,bad,bad
0.281849,88.8419,5,1,7285381,bad,bad
0.281942,88.9388,5,1,85490471,bad,bad
0.280344,88.7744,5,1,85490472,bad,bad
0.131619,52.7745,5,1,30870723,bad,bad
0.000031,0.579079,2,0,44526267,bad,bad
2.28057,403.794,13,0,49598912,bad,bad
0.127359,51.685,5,1,82456576,bad,bad
0.275587,88.1189,5,1,8793454,bad,bad
1.55674,249.714,5,1,32168837,bad,bad
0.279544,88.6925,5,1,8793454,bad,bad
0.118738,49.5396,5,1,89269803,bad,bad
2.28057,403.794,13,0,43373442,bad,bad
0.124306,50.9022,5,1,64278029,bad,bad
1.60341,248.598,5,1,19932323,bad,bad
1.60272,248.562,5,1,43373442,bad,bad
0.000029,0.559135,2,0,49834418,bad,bad
0.126617,51.4942,5,1,59072884,bad,bad
517000000000,105000000,5,0,49834418,bad,bad
0.000033,0.620253,2,0,81986705,bad,bad
0.129348,52.2006,5,1,29553942,bad,bad
0.047808,40,8,0,95762352,bad,bad
