Name,Num Procs,Row Variance,Col Variance,Diag Variance,Nonzeros,Dimension,Frob. Norm,Symm Frob Norm,Antisymm Frob Norm,One Norm,Inf Norm,Symm Inf Norm,Antisymm Inf Norm,Max Nonzeros / Row,Min Nonzeros / Rows,Avg Nonzeros / Row,Trace,Abs Trace,Dummy Rows,Total Matching %,Total No match %,Total DNE %,Row Diag Dominance,Col Diag Dominance,Lower Bandwidth,Upper Bandwidth,Diagonal Mean,Diagonal Sign,Diagonal Nonzeros,Eigen LM,Eigen LR,Eigen SM,Eigen SR,
08blocks.mtx,12,448.987,33.2233,224.596,592,300,1083.86,788.951,743.18,101,2065,1080.5,984.5,38,1,1.97333,744,744,292,0,0.0273973,0.972603,1,1,37,1,2.48,2,8, 95.2835 : 0, 95.2835 : 0, unconverged, -1.04798 : 0.637067, 
1138_bus.mtx,12,533730,533730,6.65E+06,4054,1138,125946,125946,0,40366.7,40366.7,40366.7,0,18,2,3.56239,973900,973900,0,1,0,0,1,1,1030,1030,855.8,2,1138, 30148.8 : 0, 30148.8 : 0, unconverged, unconverged, 
2cubes_sphere.mtx,12,6.52E+15,6.52E+15,2.89E+18,1647264,101492,5.82E+11,5.82E+11,0,4.23E+10,4.23E+10,4.23E+10,0,31,5,16.2305,5.11E+13,5.11E+13,0,1,0,0,1,1,100407,100407,5.03E+08,2,101492, 2.82749e+10 : 0, 2.82749e+10 : 0, unconverged, unconverged, 
2D_27628_bjtcai.mtx,12,4.67E+06,4.67E+06,4255.35,442898,27628,3.40E+06,2.40E+06,2.40E+06,561019,561435,280926,280510,90,9,16.0308,817929,817937,0,0.537525,0.462051,0.000423821,1,1,27304,27304,29.6051,3,27628, 1585.61 : 0, 1585.61 : 0, unconverged, unconverged, 
2D_54019_highK.mtx,12,3.87E+28,7.74E+28,8.63E+28,996414,54019,9.65E+16,8.36E+16,4.83E+16,9.14E+16,4.57E+16,6.86E+16,2.29E+16,1426,6,18.4456,1.75E+17,1.75E+17,0,0.486263,0.511826,0.00191109,1,1,53964,53946,3.25E+12,3,54019, 4.57174e+16 : 0, 4.57174e+16 : 0, unconverged, unconverged, 
3D_28984_Tetra.mtx,12,3.15E+37,6.31E+37,2.30E+39,599170,28984,1.16E+22,1.00E+22,5.79E+21,1.91E+21,9.56E+20,1.43E+21,4.78E+20,3817,12,20.6724,1.30E+23,1.30E+23,0,0.556436,0.430968,0.0125959,1,1,28982,28982,4.49E+18,3,28984, 9.56186e+20 : 0, 9.56186e+20 : 0, unconverged, unconverged, 
3D_51448_3D.mtx,12,1.32845,1.32827,2.77079,1056610,51448,382.319,380.441,37.851,946,319.172,473.5,472.5,5671,12,20.5374,6223.19,7272.4,0,0.427426,0.564665,0.00790917,1,1,51445,51445,0.120961,3,51448, -261.301 : 0, 1 : 0, unconverged, -261.301 : 0, 
494_bus.mtx,12,1.22E+06,1.22E+06,3.40E+06,1666,494,57513.2,57513.2,0,40015.4,40015.4,40015.4,0,10,2,3.37247,223750,223750,0,1,0,0,1,1,428,428,452.935,2,494, 30005.1 : 0, 30005.1 : 0, unconverged, unconverged, 
662_bus.mtx,12,12182.8,12182.8,38467.7,2474,662,7360.03,7360.03,0,4032.26,4032.26,4032.26,0,10,2,3.73716,74426,74426,0,1,0,0,1,1,335,335,112.426,2,662, 4008.11 : 0, 4008.11 : 0, unconverged, unconverged, 
685_bus.mtx,12,999598,999598,1.62E+06,3249,685,40139.1,40139.1,0,26447.4,26447.4,26447.4,0,13,2,4.74307,211735,211735,0,1,0,0,1,1,550,550,309.103,2,685, 26186.5 : 0, 26186.5 : 0, unconverged, unconverged, 
a0nsdsil.mtx,12,0.0208536,0.0208536,0.00875025,355034,80016,982.741,982.741,0,2507.81,2507.81,2507.81,0,5003,3,4.43704,8001.6,8001.6,0,1,0,0,1,1,75014,75014,0.1,2,45008, -42.0768 : 0, 42.0747 : 0, unconverged, -42.0768 : 0, 
a2nnsnsl.mtx,12,0.0210993,0.0210993,0.00875025,347222,80016,905.801,905.801,0,2520.25,2520.25,2520.25,0,5003,3,4.33941,8001.6,8001.6,0,1,0,0,1,1,75014,75014,0.1,2,45008, 41.8554 : 0, 41.8554 : 0, unconverged, -41.8573 : 0, 
a5esindl.mtx,12,0.0274258,0.0274258,0.00833356,255004,60008,735.034,735.034,0,2474.65,2474.65,2474.65,0,9993,3,4.2495,6000.8,6000.8,0,1,0,0,1,1,60006,60006,0.1,2,35004, -41.0576 : 0, 41.0556 : 0, unconverged, -41.0576 : 0, 
ABACUS_shell_hd_E.mtx,12,4.79E+11,4.79E+11,1.45E+14,19216,23412,2.49E+09,2.49E+09,1.19E-07,2.70E+08,2.70E+08,2.70E+08,1.82E-08,12,0,0.820776,6.76E+10,6.76E+10,0,0.509993,0.490007,0,1,1,177,177,2.89E+06,2,1604, 2.25667e+08 : 0, 2.25667e+08 : 0, unconverged, unconverged, 
ABACUS_shell_hd_K.mtx,12,1.20E+21,1.20E+21,3.63E+23,216082,23412,1.24E+14,1.24E+14,1.82348,1.35E+13,1.35E+13,1.35E+13,0.155643,15,4,9.22954,3.38E+15,3.38E+15,0,0.937769,0.0497638,0.0124669,1,1,379,379,1.44E+11,2,23412, 1.12834e+13 : 0, 1.12834e+13 : 0, unconverged, unconverged, 
ABACUS_shell_hd_M.mtx,12,1.42011,1.42793,4.25411,206474,23412,2607.37,1863.69,1823.47,283.612,311.285,155.643,155.643,12,4,8.81915,11693.6,11693.6,0,0.983612,0.00326665,0.0131212,1,1,379,379,0.49947,2,23412, 25.7723 : 0, 25.7723 : 0, unconverged, unconverged, 
