Name,Num Procs,Abs Trace - MinOverProcs,  Abs Trace - MeanOverProcs,  Abs Trace - MaxOverProcs,  Abs Trace - MeanOverCallCounts,  Anasazi: BlockKrylovSchur::Computing Ritz vectors - MinOverProcs,  Anasazi: BlockKrylovSchur::Computing Ritz vectors - MeanOverProcs,  Anasazi: BlockKrylovSchur::Computing Ritz vectors - MaxOverProcs,  Anasazi: BlockKrylovSchur::Computing Ritz vectors - MeanOverCallCounts,  Anasazi: BlockKrylovSchur::Computing Schur form - MinOverProcs,  Anasazi: BlockKrylovSchur::Computing Schur form - MeanOverProcs,  Anasazi: BlockKrylovSchur::Computing Schur form - MaxOverProcs,  Anasazi: BlockKrylovSchur::Computing Schur form - MeanOverCallCounts,  Anasazi: BlockKrylovSchur::Operation Op*x - MinOverProcs,  Anasazi: BlockKrylovSchur::Operation Op*x - MeanOverProcs,  Anasazi: BlockKrylovSchur::Operation Op*x - MaxOverProcs,  Anasazi: BlockKrylovSchur::Operation Op*x - MeanOverCallCounts,  Anasazi: BlockKrylovSchur::Orthogonalization - MinOverProcs,  Anasazi: BlockKrylovSchur::Orthogonalization - MeanOverProcs,  Anasazi: BlockKrylovSchur::Orthogonalization - MaxOverProcs,  Anasazi: BlockKrylovSchur::Orthogonalization - MeanOverCallCounts,  Anasazi: BlockKrylovSchur::Sorting Ritz values - MinOverProcs,  Anasazi: BlockKrylovSchur::Sorting Ritz values - MeanOverProcs,  Anasazi: BlockKrylovSchur::Sorting Ritz values - MaxOverProcs,  Anasazi: BlockKrylovSchur::Sorting Ritz values - MeanOverCallCounts,  Anasazi: BlockKrylovSchur::Sorting Schur form - MinOverProcs,  Anasazi: BlockKrylovSchur::Sorting Schur form - MeanOverProcs,  Anasazi: BlockKrylovSchur::Sorting Schur form - MaxOverProcs,  Anasazi: BlockKrylovSchur::Sorting Schur form - MeanOverCallCounts,  Anasazi: BlockKrylovSchurSolMgr restarting - MinOverProcs,  Anasazi: BlockKrylovSchurSolMgr restarting - MeanOverProcs,  Anasazi: BlockKrylovSchurSolMgr restarting - MaxOverProcs,  Anasazi: BlockKrylovSchurSolMgr restarting - MeanOverCallCounts,  Anasazi: BlockKrylovSchurSolMgr::solve() - MinOverProcs,  Anasazi: BlockKrylovSchurSolMgr::solve() - MeanOverProcs,  Anasazi: BlockKrylovSchurSolMgr::solve() - MaxOverProcs,  Anasazi: BlockKrylovSchurSolMgr::solve() - MeanOverCallCounts,  Antisymm Frob Norm - MinOverProcs,  Antisymm Frob Norm - MeanOverProcs,  Antisymm Frob Norm - MaxOverProcs,  Antisymm Frob Norm - MeanOverCallCounts,  Antisymm Inf Norm - MinOverProcs,  Antisymm Inf Norm - MeanOverProcs,  Antisymm Inf Norm - MaxOverProcs,  Antisymm Inf Norm - MeanOverCallCounts,  Avg Nonzeros / Row - MinOverProcs,  Avg Nonzeros / Row - MeanOverProcs,  Avg Nonzeros / Row - MaxOverProcs,  Avg Nonzeros / Row - MeanOverCallCounts,  Col Diag Dominance - MinOverProcs,  Col Diag Dominance - MeanOverProcs,  Col Diag Dominance - MaxOverProcs,  Col Diag Dominance - MeanOverCallCounts,  Col Variance - MinOverProcs,  Col Variance - MeanOverProcs,  Col Variance - MaxOverProcs,  Col Variance - MeanOverCallCounts,  Diadonal Nonzeros - MinOverProcs,  Diadonal Nonzeros - MeanOverProcs,  Diadonal Nonzeros - MaxOverProcs,  Diadonal Nonzeros - MeanOverCallCounts,  Diag Variance - MinOverProcs,  Diag Variance - MeanOverProcs,  Diag Variance - MaxOverProcs,  Diag Variance - MeanOverCallCounts,  Diagonal Mean - MinOverProcs,  Diagonal Mean - MeanOverProcs,  Diagonal Mean - MaxOverProcs,  Diagonal Mean - MeanOverCallCounts,  Diagonal Sign - MinOverProcs,  Diagonal Sign - MeanOverProcs,  Diagonal Sign - MaxOverProcs,  Diagonal Sign - MeanOverCallCounts,  Dimension - MinOverProcs,  Dimension - MeanOverProcs,  Dimension - MaxOverProcs,  Dimension - MeanOverCallCounts,  Dummy Rows - MinOverProcs,  Dummy Rows - MeanOverProcs,  Dummy Rows - MaxOverProcs,  Dummy Rows - MeanOverCallCounts,  Eigen LM - MinOverProcs,  Eigen LM - MeanOverProcs,  Eigen LM - MaxOverProcs,  Eigen LM - MeanOverCallCounts,  Eigen LR - MinOverProcs,  Eigen LR - MeanOverProcs,  Eigen LR - MaxOverProcs,  Eigen LR - MeanOverCallCounts,  Eigen SM - MinOverProcs,  Eigen SM - MeanOverProcs,  Eigen SM - MaxOverProcs,  Eigen SM - MeanOverCallCounts,  Eigen SR - MinOverProcs,  Eigen SR - MeanOverProcs,  Eigen SR - MaxOverProcs,  Eigen SR - MeanOverCallCounts,  Frob. Norm - MinOverProcs,  Frob. Norm - MeanOverProcs,  Frob. Norm - MaxOverProcs,  Frob. Norm - MeanOverCallCounts,  Inf Norm - MinOverProcs,  Inf Norm - MeanOverProcs,  Inf Norm - MaxOverProcs,  Inf Norm - MeanOverCallCounts,  Lower Bandwidth - MinOverProcs,  Lower Bandwidth - MeanOverProcs,  Lower Bandwidth - MaxOverProcs,  Lower Bandwidth - MeanOverCallCounts,  Max Nonzeros / Row - MinOverProcs,  Max Nonzeros / Row - MeanOverProcs,  Max Nonzeros / Row - MaxOverProcs,  Max Nonzeros / Row - MeanOverCallCounts,  Min Nonzeros / Row - MinOverProcs,  Min Nonzeros / Row - MeanOverProcs,  Min Nonzeros / Row - MaxOverProcs,  Min Nonzeros / Row - MeanOverCallCounts,  Nonzeros - MinOverProcs,  Nonzeros - MeanOverProcs,  Nonzeros - MaxOverProcs,  Nonzeros - MeanOverCallCounts,  One Norm - MinOverProcs,  One Norm - MeanOverProcs,  One Norm - MaxOverProcs,  One Norm - MeanOverCallCounts,  Row Diag Dominance - MinOverProcs,  Row Diag Dominance - MeanOverProcs,  Row Diag Dominance - MaxOverProcs,  Row Diag Dominance - MeanOverCallCounts,  Row Variance - MinOverProcs,  Row Variance - MeanOverProcs,  Row Variance - MaxOverProcs,  Row Variance - MeanOverCallCounts,  Symm Frob Norm - MinOverProcs,  Symm Frob Norm - MeanOverProcs,  Symm Frob Norm - MaxOverProcs,  Symm Frob Norm - MeanOverCallCounts,  Symm Inf Norm - MinOverProcs,  Symm Inf Norm - MeanOverProcs,  Symm Inf Norm - MaxOverProcs,  Symm Inf Norm - MeanOverCallCounts,  Symmetry - MinOverProcs,  Symmetry - MeanOverProcs,  Symmetry - MaxOverProcs,  Symmetry - MeanOverCallCounts,  Trace - MinOverProcs,  Trace - MeanOverProcs,  Trace - MaxOverProcs,  Trace - MeanOverCallCounts,  Upper Bandwidth - MinOverProcs,  Upper Bandwidth - MeanOverProcs,  Upper Bandwidth - MaxOverProcs,  Upper Bandwidth - MeanOverCallCounts,
08blocks.mtx,12,1.29E-05,1.36E-05,1.41E-05,1.36E-05,0.00641108,0.00669388,0.00677204,0.00223129,0.0444415,0.0445353,0.0448239,0.00117198,0.0038929,0.00426408,0.00471997,1.17E-05,0.0750589,0.0754952,0.0758817,0.000205709,9.20E-05,9.96E-05,0.000104427,2.62E-06,0.00586343,0.00590265,0.0061717,0.000155333,0.0135078,0.0135688,0.0136118,0.000399082,0.14697,0.147006,0.147049,0.0367516,0.000314951,0.000321984,0.000329018,0.000321984,0.000324965,0.00032711,0.000332117,0.00032711,1.10E-05,1.24E-05,1.41E-05,1.24E-05,0.000247955,0.000249406,0.000253916,0.000249406,0.00215602,0.0021656,0.00217009,0.0021656,0,3.18E-07,9.54E-07,3.18E-07,0.000187874,0.000188311,0.00019002,0.000188311,1.69E-05,3.18E-05,4.29E-05,3.18E-05,2.19E-05,2.43E-05,2.60E-05,2.43E-05,0,0,0,0,4.39E-05,4.43E-05,4.60E-05,4.43E-05,0.28761,0.287634,0.287648,0.0719086,0.00147414,0.0014779,0.00148296,0.000369474,0.0357101,0.035716,0.035722,0.00892899,0.0155561,0.0155618,0.0155671,0.00389046,6.91E-06,1.01E-05,1.10E-05,1.01E-05,5.98E-05,7.18E-05,8.42E-05,2.39E-05,1.41E-05,1.76E-05,1.91E-05,1.76E-05,0,9.93E-08,1.19E-06,9.93E-08,1.50E-05,1.92E-05,2.19E-05,1.92E-05,0,7.95E-08,9.54E-07,7.95E-08,0.000215054,0.000219246,0.000221968,0.000219246,2.88E-05,4.38E-05,6.08E-05,4.38E-05,0.00217319,0.00222441,0.0022831,0.00222441,0.000429153,0.000434339,0.000441074,0.000434339,0.000352859,0.000356356,0.000359058,0.000356356,0.000262976,0.000282486,0.000296831,0.000282486,1.31E-05,1.41E-05,1.50E-05,1.41E-05,1.69E-05,3.67E-05,5.10E-05,3.67E-05, 
1138_bus.mtx,12,4.10E-05,4.21E-05,4.32E-05,4.21E-05,0.000195742,0.00021265,0.000236988,0.000106325,0.00397515,0.00402158,0.00405049,8.04E-05,0.00859761,0.00941475,0.0111134,1.87E-05,0.0476654,0.0491397,0.0500729,9.67E-05,0.000107765,0.0001266,0.000142813,2.53E-06,0.000756502,0.000768205,0.00078392,1.54E-05,0.000765562,0.000786205,0.000809193,1.71E-05,0.0668061,0.0669102,0.0670128,0.0167276,0.000564814,0.000569423,0.000570059,0.000569423,0.000619888,0.000620365,0.000620842,0.000620365,1.81E-05,2.00E-05,2.22E-05,2.00E-05,0.000389099,0.000390291,0.00039196,0.000390291,0.021822,0.0218279,0.0218379,0.0218279,0,0,0,0,0.000197172,0.000197808,0.00019908,0.000197808,4.20E-05,6.75E-05,9.01E-05,6.75E-05,5.10E-05,5.32E-05,5.48E-05,5.32E-05,0,7.95E-08,9.54E-07,7.95E-08,4.70E-05,4.83E-05,4.98E-05,4.83E-05,0.014725,0.0147448,0.0147569,0.0036862,0.00533891,0.00534381,0.00534987,0.00133595,0.026212,0.0262158,0.0262184,0.00655395,0.0261829,0.0261843,0.0261858,0.00654607,5.96E-06,7.07E-06,8.82E-06,7.07E-06,0.000133991,0.000148575,0.000158072,4.95E-05,4.22E-05,4.36E-05,4.51E-05,4.36E-05,0,3.18E-07,9.54E-07,3.18E-07,5.20E-05,5.27E-05,5.41E-05,5.27E-05,0,2.38E-07,9.54E-07,2.38E-07,0.000380039,0.000417312,0.000434875,0.000417312,5.41E-05,7.22E-05,8.30E-05,7.22E-05,0.0218301,0.0218349,0.0218379,0.0218349,0.000668049,0.000669241,0.000670195,0.000669241,0.000610113,0.000612716,0.000614166,0.000612716,0.000487804,0.000499388,0.000519037,0.000499388,4.22E-05,4.38E-05,4.51E-05,4.38E-05,4.51E-05,6.71E-05,8.20E-05,6.71E-05, 
2cubes_sphere.mtx,12,0.0048511,0.00485214,0.00485301,0.00485214,0.00212288,0.00213947,0.00217915,0.00106973,0.00604081,0.00605442,0.00606132,0.000118714,0.334153,0.354855,0.365406,0.000690379,0.254932,0.265288,0.285276,0.00051214,0.000203848,0.000213901,0.000224829,4.19E-06,0.000856161,0.000866453,0.000878096,1.70E-05,0.0112844,0.0115191,0.0116284,0.000245088,0.647248,0.6473,0.647363,0.161825,0.0510242,0.0510917,0.05144,0.0510917,0.055222,0.055247,0.055254,0.055247,0.00130701,0.00130818,0.00130916,0.00130818,0.023659,0.0236596,0.0236609,0.0236596,141.88,141.881,141.881,141.881,0,0,0,0,0.00955319,0.00971005,0.010144,0.00971005,0.00474286,0.00476178,0.00477695,0.00476178,0.00491691,0.00491754,0.00491786,0.00491754,0,0,0,0,0.00119281,0.00119438,0.00119495,0.00119438,0.0896561,0.0896703,0.089684,0.0224176,0.052752,0.0527664,0.0527718,0.0131916,0.264876,0.264877,0.264878,0.0662192,0.263921,0.263922,0.263925,0.0659806,0.000174999,0.000176688,0.00017786,0.000176688,0.0139558,0.014263,0.0147648,0.00475434,0.00496101,0.00496169,0.00496316,0.00496169,0,7.15E-07,9.54E-07,7.15E-07,0.00123906,0.00158832,0.00165606,0.00158832,0,0,0,0,0.0229499,0.0232702,0.0233469,0.0232702,0.00478196,0.00479011,0.00479889,0.00479011,144.942,144.942,144.942,144.942,0.051352,0.0513536,0.0513542,0.0513536,0.055151,0.0552256,0.0556109,0.0552256,0.0579071,0.0579094,0.057914,0.0579094,0.004987,0.00498833,0.0049901,0.00498833,0.00488997,0.00491218,0.00492191,0.00491218, 
2D_27628_bjtcai.mtx,12,0.00142097,0.00142485,0.00142598,0.00142485,0.000666142,0.000677784,0.000690937,0.000338892,0.00609303,0.0061516,0.00619388,8.54E-05,0.0484374,0.0522271,0.0588937,7.29E-05,0.118106,0.12455,0.128397,0.000172987,0.000171423,0.000186563,0.000201941,2.59E-06,0.00127125,0.00128732,0.0013063,1.79E-05,0.00318599,0.00357755,0.00379491,5.26E-05,0.192661,0.192713,0.192764,0.0481783,0.010113,0.0101453,0.010246,0.0101453,0.0113442,0.0113565,0.0113602,0.0113565,0.000337124,0.000337919,0.000339031,0.000337919,0.00435901,0.00436089,0.00436211,0.00436089,10.6308,10.6309,10.6309,10.6309,0,0,0,0,0.00289607,0.00292881,0.0029819,0.00292881,0.00134993,0.00136894,0.00138021,0.00136894,0.00143099,0.00143321,0.00143385,0.00143321,0,0,0,0,0.000390053,0.000391344,0.000392199,0.000391344,0.0539598,0.0539697,0.0539777,0.0134924,0.0395248,0.0395276,0.0395319,0.0098819,0.053978,0.0539847,0.0539908,0.0134962,0.0544529,0.0544577,0.0544629,0.0136144,5.51E-05,5.55E-05,5.70E-05,5.55E-05,0.0040381,0.00424759,0.00441623,0.00141586,0.0013938,0.00139634,0.00139809,0.00139634,0,6.36E-07,9.54E-07,6.36E-07,0.000319958,0.000409504,0.000443935,0.000409504,0,3.97E-07,9.54E-07,3.97E-07,0.00450397,0.00458499,0.00462103,0.00458499,0.00122905,0.00129986,0.001333,0.00129986,10.6178,10.6178,10.6178,10.6178,0.010273,0.0102798,0.0103469,0.0102798,0.01103,0.011072,0.0111749,0.011072,0.0151439,0.015177,0.015249,0.015177,0.00140905,0.00141213,0.00141406,0.00141213,0.00142598,0.00144337,0.00145578,0.00144337, 
2D_54019_highK.mtx,12,0.00271201,0.002714,0.00271606,0.002714,0.00118685,0.00120918,0.00124598,0.00060459,0.00387406,0.00406965,0.00422502,9.25E-05,0.0734019,0.0756876,0.0807209,0.000177671,0.101103,0.106515,0.10938,0.000247708,0.000122547,0.000139534,0.000158072,3.17E-06,0.000702381,0.000724773,0.00075984,1.65E-05,0.00469112,0.00474775,0.00481749,0.000118694,0.195766,0.196019,0.196316,0.0490048,0.0246458,0.0248455,0.0249979,0.0248455,0.02701,0.0272789,0.027334,0.0272789,0.000705004,0.000705798,0.000705957,0.000705798,0.010885,0.0108866,0.0108879,0.0108866,40.8344,40.8345,40.8346,40.8345,0,1.59E-07,9.54E-07,1.59E-07,0.00532198,0.00537499,0.00553703,0.00537499,0.00268197,0.00270259,0.00271606,0.00270259,0.00283313,0.00283408,0.00283504,0.00283408,0,1.59E-07,9.54E-07,1.59E-07,0.00171399,0.00171522,0.00171709,0.00171522,0.028928,0.0289504,0.0289609,0.0072376,0.00602889,0.00603527,0.00604415,0.00150882,0.0883279,0.0883335,0.0883391,0.0220834,0.0936964,0.0936994,0.0937011,0.0234248,0.000104904,0.000104904,0.000104904,0.000104904,0.00763702,0.00804853,0.00855684,0.00268284,0.00284815,0.00284902,0.00285101,0.00284902,0,5.96E-07,1.19E-06,5.96E-07,0.00059104,0.000732283,0.000911951,0.000732283,0,7.95E-08,9.54E-07,7.95E-08,0.0109091,0.0110278,0.01124,0.0110278,0.00254583,0.00254987,0.00255609,0.00254987,42.9418,42.9418,42.9418,42.9418,0.0250781,0.0251138,0.0252881,0.0251138,0.026825,0.0270582,0.0271618,0.0270582,0.0319161,0.0319201,0.0319231,0.0319201,0.00282001,0.00282129,0.00282192,0.00282129,0.00276589,0.0027741,0.00277996,0.0027741, 
3D_28984_Tetra.mtx,12,0.00163794,0.00163998,0.00164104,0.00163998,0.000713825,0.00073113,0.000756979,0.000365565,0.00434947,0.00459657,0.00488448,8.21E-05,0.0600278,0.076747,0.0901899,0.000136076,0.0928583,0.106838,0.122857,0.000188095,0.000117302,0.000136157,0.00015378,2.43E-06,0.000817776,0.000877102,0.000923157,1.57E-05,0.00261307,0.00285371,0.00307584,5.49E-05,0.195995,0.196082,0.196157,0.0490205,0.0203118,0.0204315,0.0205388,0.0204315,0.0217402,0.0217605,0.0218649,0.0217605,0.000926018,0.000926574,0.000926971,0.000926574,0.00953603,0.0096704,0.00972795,0.0096704,11.5227,11.5229,11.5229,11.5229,0,1.99E-07,1.19E-06,1.99E-07,0.0030582,0.00308045,0.00322104,0.00308045,0.00166893,0.00167368,0.00167918,0.00167368,0.00162196,0.00162212,0.00162292,0.00162212,0,0,0,0,0.000921011,0.000922759,0.000923872,0.000922759,0.0314739,0.031489,0.0315051,0.00787226,0.027802,0.0278091,0.027818,0.00695227,0.0712271,0.0712325,0.071238,0.0178081,0.0724239,0.0724264,0.0724289,0.0181066,6.48E-05,6.56E-05,6.58E-05,6.56E-05,0.0045619,0.00486843,0.00521636,0.00162281,0.0016439,0.00170076,0.00183296,0.00170076,0,4.97E-07,1.19E-06,4.97E-07,0.000928164,0.00102111,0.0012691,0.00102111,0,2.38E-07,9.54E-07,2.38E-07,0.00943613,0.00954543,0.00965691,0.00954543,0.00159788,0.00165613,0.00180197,0.00165613,11.7473,11.7473,11.7473,11.7473,0.020335,0.0204814,0.0205672,0.0204814,0.021451,0.0217132,0.021816,0.0217132,0.0229149,0.0230605,0.0231192,0.0230605,0.00159693,0.00159862,0.00160003,0.00159862,0.00162697,0.00164998,0.00166297,0.00164998, 
3D_51448_3D.mtx,12,0.0027051,0.002707,0.00270891,0.002707,0.00166893,0.00168826,0.00171995,0.000562754,0.00258994,0.00263717,0.00268197,0.000109882,0.0600634,0.0745362,0.080271,0.000306733,0.0605173,0.0661787,0.0806599,0.00026793,9.63E-05,0.000115693,0.000130653,4.82E-06,0.000441551,0.000468969,0.000498295,1.95E-05,0.00214839,0.00224149,0.00229979,0.000112075,0.149563,0.149687,0.149769,0.0374219,0.03443,0.034618,0.034667,0.034618,0.0366352,0.0369154,0.0371559,0.0369154,0.000646114,0.000647465,0.000648022,0.000647465,0.0157628,0.0160213,0.0160928,0.0160213,36.5185,36.5187,36.5188,36.5187,9.54E-07,9.54E-07,9.54E-07,9.54E-07,0.00554919,0.00560435,0.00584102,0.00560435,0.00279808,0.00282224,0.00284004,0.00282224,0.00351405,0.00351437,0.00351501,0.00351437,0,0,0,0,0.000638962,0.000639498,0.000641108,0.000639498,0.0360222,0.0360369,0.0360518,0.00900924,0.00766993,0.00768326,0.00770879,0.00192081,0.12409,0.124114,0.124126,0.0310286,0.00746894,0.0074719,0.007478,0.00186797,0.00010705,0.000107845,0.000111818,0.000107845,0.00772786,0.00800365,0.008919,0.00266788,0.00286818,0.0029394,0.003196,0.0029394,0,4.97E-07,1.19E-06,4.97E-07,0.00060606,0.000741839,0.00121498,0.000741839,0,2.98E-07,1.19E-06,2.98E-07,0.0160208,0.0160819,0.0163598,0.0160819,0.00259995,0.00269433,0.00295305,0.00269433,37.577,37.577,37.577,37.577,0.034405,0.0347846,0.0348451,0.0347846,0.036274,0.0367394,0.0368989,0.0367394,0.0390389,0.0393042,0.039402,0.0393042,0.00283885,0.00284056,0.00284195,0.00284056,0.00291181,0.00292353,0.00293493,0.00292353, 
494_bus.mtx,12,2.19E-05,2.35E-05,2.50E-05,2.35E-05,0.000179052,0.000192841,0.000208139,9.64E-05,0.00490117,0.00542859,0.00553966,0.000118013,0.00859451,0.00931104,0.00979805,2.01E-05,0.0417495,0.0423121,0.0430794,9.04E-05,0.000104427,0.000117977,0.000133514,2.56E-06,0.00070858,0.000715375,0.000726461,1.56E-05,0.000634432,0.000651101,0.00067091,1.55E-05,0.0609081,0.0609161,0.0609276,0.015229,0.000481129,0.0004824,0.000483036,0.0004824,0.000509977,0.000511626,0.000513077,0.000511626,1.19E-05,1.38E-05,1.69E-05,1.38E-05,0.000406027,0.000408332,0.00041008,0.000408332,0.00491381,0.0049364,0.004951,0.0049364,0,7.95E-08,9.54E-07,7.95E-08,8.30E-05,8.54E-05,8.70E-05,8.54E-05,2.69E-05,5.39E-05,6.89E-05,5.39E-05,3.50E-05,3.77E-05,4.10E-05,3.77E-05,0,0,0,0,4.39E-05,4.45E-05,4.60E-05,4.45E-05,0.016531,0.0165391,0.0165479,0.00413477,0.00270605,0.00271052,0.00271535,0.00067763,0.0248389,0.0248414,0.0248461,0.00621036,0.0248191,0.0248212,0.0248241,0.00620531,7.87E-06,9.80E-06,1.10E-05,9.80E-06,8.11E-05,8.73E-05,9.20E-05,2.91E-05,2.00E-05,2.48E-05,2.69E-05,2.48E-05,0,1.59E-07,9.54E-07,1.59E-07,4.89E-05,5.00E-05,5.10E-05,5.00E-05,0,1.79E-07,1.19E-06,1.79E-07,0.000375986,0.000414391,0.000432014,0.000414391,3.22E-05,4.80E-05,6.60E-05,4.80E-05,0.00476694,0.004773,0.00477695,0.004773,0.000577927,0.000579198,0.000579834,0.000579198,0.000506878,0.000509143,0.000512123,0.000509143,0.000394821,0.000416001,0.000432014,0.000416001,2.10E-05,2.49E-05,2.69E-05,2.49E-05,2.10E-05,3.28E-05,3.91E-05,3.28E-05, 
662_bus.mtx,12,2.50E-05,2.67E-05,2.79E-05,2.67E-05,0.000196934,0.000209808,0.000219822,0.000104904,0.00482988,0.00541361,0.00553918,0.000117687,0.00687003,0.00785828,0.00926256,1.69E-05,0.0396857,0.0412604,0.0421538,8.82E-05,9.61E-05,0.000118772,0.000137568,2.58E-06,0.000678778,0.000688791,0.000696898,1.50E-05,0.000644684,0.000658909,0.000678301,1.57E-05,0.0583642,0.0583967,0.0584266,0.0145992,0.000519037,0.000523269,0.000524998,0.000523269,0.000560045,0.000561595,0.000563145,0.000561595,1.29E-05,1.55E-05,1.60E-05,1.55E-05,0.000356913,0.000359853,0.000363111,0.000359853,0.00810695,0.00811791,0.00812697,0.00811791,0,3.77E-07,1.19E-06,3.77E-07,9.20E-05,9.30E-05,9.39E-05,9.30E-05,3.10E-05,4.41E-05,5.58E-05,4.41E-05,4.70E-05,4.99E-05,5.20E-05,4.99E-05,0,0,0,0,3.98E-05,4.14E-05,4.32E-05,4.14E-05,0.0130482,0.0130636,0.013077,0.00326591,0.00268602,0.00269222,0.0026989,0.000673056,0.0243618,0.0243673,0.0243709,0.00609182,0.0243769,0.0243781,0.024379,0.00609452,6.91E-06,8.88E-06,1.00E-05,8.88E-06,9.06E-05,0.000106096,0.000119686,3.54E-05,2.69E-05,3.03E-05,3.19E-05,3.03E-05,0,1.79E-07,1.19E-06,1.79E-07,5.39E-05,5.83E-05,5.98E-05,5.83E-05,0,3.38E-07,1.19E-06,3.38E-07,0.00030899,0.000312348,0.000326872,0.000312348,3.91E-05,5.05E-05,5.70E-05,5.05E-05,0.00799894,0.00800556,0.00801516,0.00800556,0.000635862,0.000637849,0.000643015,0.000637849,0.000532866,0.000536422,0.000537872,0.000536422,0.000412941,0.000421683,0.000432968,0.000421683,2.60E-05,2.84E-05,2.91E-05,2.84E-05,2.60E-05,3.94E-05,5.39E-05,3.94E-05, 
685_bus.mtx,12,3.19E-05,3.38E-05,3.50E-05,3.38E-05,0.000187159,0.00031809,0.000973225,0.000159045,0.00466657,0.00531095,0.00545502,0.000120703,0.00588822,0.00686208,0.00839996,1.55E-05,0.0370018,0.0384905,0.0394828,8.59E-05,9.35E-05,0.000110944,0.000133991,2.52E-06,0.000647783,0.00066034,0.000679731,1.50E-05,0.000597715,0.000619133,0.00064683,1.55E-05,0.0544074,0.0544895,0.0545659,0.0136224,0.000505924,0.00050658,0.00050807,0.00050658,0.000505924,0.000511428,0.000513077,0.000511428,1.41E-05,1.65E-05,1.79E-05,1.65E-05,0.000311852,0.000313322,0.000315189,0.000313322,0.00857902,0.00858623,0.00859094,0.00858623,0,0,0,0,8.01E-05,8.29E-05,8.39E-05,8.29E-05,2.72E-05,3.24E-05,4.41E-05,3.24E-05,3.29E-05,3.78E-05,3.89E-05,3.78E-05,0,0,0,0,3.70E-05,3.87E-05,4.01E-05,3.87E-05,0.011059,0.0110642,0.0110712,0.00276605,0.00146604,0.0014713,0.00147796,0.000367825,0.023869,0.0238726,0.0238748,0.00596815,0.0238841,0.023885,0.0238869,0.00597125,5.96E-06,6.16E-06,7.15E-06,6.16E-06,9.51E-05,0.000104149,0.000112057,3.47E-05,2.91E-05,3.03E-05,3.22E-05,3.03E-05,0,0,0,0,5.32E-05,5.36E-05,5.51E-05,5.36E-05,0,1.79E-07,1.19E-06,1.79E-07,0.000302076,0.000470916,0.000545979,0.000470916,4.79E-05,5.25E-05,5.79E-05,5.25E-05,0.00833583,0.00834207,0.00834799,0.00834207,0.000560045,0.00056392,0.000565052,0.00056392,0.000541925,0.000543793,0.000550032,0.000543793,0.000414848,0.000420451,0.0004251,0.000420451,3.41E-05,3.61E-05,3.72E-05,3.61E-05,2.91E-05,3.32E-05,4.91E-05,3.32E-05, 
