id	precision	name	storage	standard	purpose	range	eigenvectors	method	note
1	s	sytrd	full	standard	reduce to tridiagonal	none	none		
2	d	sytrd	full	standard	reduce to tridiagonal	none	none		
3	s	orgtr	full	standard	generate Q	none	none		
4	d	orgtr	full	standard	generate Q	none	none		
5	s	pteqr	full	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call SSYTRD and SORGTR first
6	d	pteqr	full	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call DSYTRD and DORGTR first
7	s	sptrd	packed	standard	reduce to tridiagonal	none	none		
8	d	sptrd	packed	standard	reduce to tridiagonal	none	none		
9	s	opgtr	packed	standard	generate Q	none	none		
10	d	opgtr	packed	standard	generate Q	none	none		
11	s	pteqr	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call SSPTRD and SOPGTR first
12	d	pteqr	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call DSPTRD and DOPGTR first
13	s	sbtrd	band	standard	reduce to tridiagonal	none	none		
14	d	sbtrd	band	standard	reduce to tridiagonal	none	none		
15	s	pteqr	band	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call SSBTRD first (set VECT = 'V' to form Q)
16	d	pteqr	band	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call DSBTRD first (set VECT = 'V' to form Q)
17	s	pteqr	tridiagonal	standard	eigenvalues of symmetric tridiagonal matrix	No	original	QL or QR	
18	d	pteqr	tridiagonal	standard	eigenvalues of symmetric tridiagonal matrix	No	original	QL or QR	
