id	precision	name	storage	standard	purpose	range	eigenvectors	method	note
1	s	sytrd	full	standard	reduce to tridiagonal	none	none		
2	d	sytrd	full	standard	reduce to tridiagonal	none	none		
3	s	sterf	full	standard	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call SSYTRD first
4	d	sterf	full	standard	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call DSYTRD first
5	s	stebz	full	standard	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call SSYTRD first;order
6	d	stebz	full	standard	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call DSYTRD first;order
7	s	orgtr	full	standard	generate Q	none	none		
8	d	orgtr	full	standard	generate Q	none	none		
9	s	steqr	full	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call SSYTRD and SORGTR first
10	d	steqr	full	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call DSYTRD and DORGTR first
11	s	stedc	full	standard	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call SSYTRD and SORGTR first
12	d	stedc	full	standard	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call DSYTRD and DORGTR first
13	s	ormtr	full	standard	multiply by Q	none	none		
14	d	ormtr	full	standard	multiply by Q	none	none		
15	s	stegr	full	standard	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call SSYTRD before and SORMTR after for eigenvectors of original matrix
16	d	stegr	full	standard	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call DSYTRD before and DORMTR after for eigenvectors of original matrix
17	s	stein	full	standard	eigenvectors for given eigenvalues	none	both	inverse iteration	call SSYTRD before and SORMTR after for eigenvectors of original matrix;designed to be used with SSTEBZ
18	d	stein	full	standard	eigenvectors for given eigenvalues	none	both	inverse iteration	call DSYTRD before and DORMTR after for eigenvectors of original matrix;designed to be used with DSTEBZ
19	s	sptrd	packed	standard	reduce to tridiagonal	none	none		
20	d	sptrd	packed	standard	reduce to tridiagonal	none	none		
21	s	sterf	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call SSPTRD first
22	d	sterf	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call DSPTRD first
23	s	stebz	packed	standard	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call SSPTRD first;order
24	d	stebz	packed	standard	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call DSPTRD first;order
25	s	opgtr	packed	standard	generate Q	none	none		
26	d	opgtr	packed	standard	generate Q	none	none		
27	s	steqr	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call SSPTRD and SOPGTR first
28	d	steqr	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call DSPTRD and DOPGTR first
29	s	stedc	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call SSPTRD and SOPGTR first
30	d	stedc	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call DSPTRD and DOPGTR first
31	s	opmtr	packed	standard	multiply by Q	none	none		
32	d	opmtr	packed	standard	multiply by Q	none	none		
33	s	stegr	packed	standard	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call SSPTRD before and SOPMTR after for eigenvectors of original matrix
