1,s,ggbal,no,balance,full,,balance a pair of general real matrices (A;B),single,699
2,d,ggbal,no,balance,full,,balance a pair of general real matrices (A;B),double,700
3,c,ggbal,yes,balance,full,,balance a pair of general complex matrices (A;B),single,701
4,z,ggbal,yes,balance,full,,balance a pair of general complex matrices (A;B),double,702
5,s,gghrd,no,reduce,full,orthogonal transformations,reduce a pair of real matrices (A;B) to generalized upper Hessenberg form,single,679
6,d,gghrd,no,reduce,full,orthogonal transformations,reduce a pair of real matrices (A;B) to generalized upper Hessenberg form,double,680
7,c,gghrd,yes,reduce,full,unitary transformations,reduce a pair of complex matrices (A;B) to generalized upper Hessenberg form,single,681
8,z,gghrd,yes,reduce,full,unitary transformations,reduce a pair of complex matrices (A;B) to generalized upper Hessenberg form,double,682
9,s,hgeqz,no,eigenvalues,full,double-shift QZ method,compute the eigenvalues of a real matrix pair (H;T),single,771
10,d,hgeqz,no,eigenvalues,full,double-shift QZ method,compute the eigenvalues of a real matrix pair (H;T),double,772
11,c,hgeqz,yes,eigenvalues,full,double-shift QZ method,compute the eigenvalues of a complexl matrix pair (H;T),single,773
12,z,hgeqz,yes,eigenvalues,full,double-shift QZ method,compute the eigenvalues of a complex matrix pair (H;T),double,774
13,s,tgevc,no,eigenvectors,full,,compute some or all of the right and/or left eigenvectors of a pair of real matrices (S;P),single,775
14,d,tgevc,no,eigenvectors,full,,compute some or all of the right and/or left eigenvectors of a pair of real matrices (S;P),double,776
15,c,tgevc,yes,eigenvectors,full,,compute some or all of the right and/or left eigenvectors of a pair of complex matrices (S;P),single,777
16,z,tgevc,yes,eigenvectors,full,,compute some or all of the right and/or left eigenvectors of a pair of complex matrices (S;P),double,778
17,s,tgexc,no,reorder,full,orthogonal equivalence transformation,reorder the generalized real Schur decomposition of a real matrix pair (A;B),single,779
18,d,tgexc,no,reorder,full,orthogonal equivalence transformation,reorder the generalized real Schur decomposition of a real matrix pair (A;B),double,780
19,c,tgexc,yes,reorder,full,unitary equivalence transformation,reorder the generalized Schur decomposition of a complex matrix pair (A;B),single,781
20,z,tgexc,yes,reorder,full,unitary equivalence transformation,reorder the generalized Schur decomposition of a complex matrix pair (A;B),double,782
21,s,tgsen,no,reorder,full,,reorder the generalized real Schur decomposition of a real matrix pair (A;B),single,783
22,d,tgsen,no,reorder,full,,reorder the generalized real Schur decomposition of a real matrix pair (A;B),double,784
23,c,tgsen,yes,reorder,full,,reorder the generalized Schur decomposition of a complex matrix pair (A; B),single,785
24,z,tgsen,yes,reorder,full,,reorder the generalized Schur decomposition of a complex matrix pair (A; B),double,786
25,s,tgsna,no,cndtNumber,full,,reciprocal condition numbers for specified eigenvalues;eigenvectors of a matrix pair (A; B),single,691
26,d,tgsna,no,cndtNumber,full,,reciprocal condition numbers for specified eigenvalues;eigenvectors of a matrix pair (A; B),double,692
27,c,tgsna,yes,cndtNumber,full,,reciprocal condition numbers for specified eigenvalues;eigenvectors of a matrix pair (A; B),single,693
28,z,tgsna,yes,cndtNumber,full,,reciprocal condition numbers for specified eigenvalues;eigenvectors of a matrix pair (A; B),double,694
29,s,ggbak,no,eigenvectors,full,back transformation,right or left eigenvectors of a real generalized eigenvalue,single,787
30,d,ggbak,no,eigenvectors,full,back transformation,right or left eigenvectors of a real generalized eigenvalue,double,788
31,c,ggbak,yes,eigenvectors,full,back transformation,right or left eigenvectors of a complex generalized eigenvalue,single,789
32,z,ggbak,yes,eigenvectors,full,back transformation,right or left eigenvectors of a complex generalized eigenvalue,double,790
