1,s,gehrd,no,reduce,general,,single,reduce to upper Hessenberg,,675
2,d,gehrd,no,reduce,general,,double,reduce to upper Hessenberg,,676
3,c,gehrd,yes,reduce,general,,single,reduce to upper Hessenberg,,677
4,z,gehrd,yes,reduce,general,,double,reduce to upper Hessenberg,,678
5,s,orghr,no,generateQ,orthogonal,,single,generate Q after reduction to upper Hessenberg,call SGEHRD first,747
6,d,orghr,no,generateQ,orthogonal,,double,generate Q after reduction to upper Hessenberg,call DGEHRD first,748
7,c,unghr,yes,generateQ,unitary,,single,generate Q after reduction to upper Hessenberg,call CGEHRD first,749
8,z,unghr,yes,generateQ,unitary,,double,generate Q after reduction to upper Hessenberg,call ZGEHRD first,750
9,s,ormhr,no,multiplyByQ,orthogonal,,single,multiply by Q after reduction to upper Hessenberg for eigenvectors of A,,751
10,d,ormhr,no,multiplyByQ,orthogonal,,double,multiply by Q after reduction to upper Hessenberg for eigenvectors of A,,752
11,c,unmhr,yes,multiplyByQ,unitary,,single,multiply by Q after reduction to upper Hessenberg for eigenvectors of A,,753
12,z,unmhr,yes,multiplyByQ,unitary,,double,multiply by Q after reduction to upper Hessenberg for eigenvectors of A,,754
13,s,hseqr,no,eigenvalues,upper Hessenberg,QL/QR,single,eigenvalues; Schur form; Schur vectors of H,call SGEHRD first;SGEHRD+SORGHR+SHSEQR for Schur vectors of A,563
14,d,hseqr,no,eigenvalues,upper Hessenberg,QL/QR,double,eigenvalues; Schur form; Schur vectors of H,call DGEHRD first;DGEHRD+DORGHR+DHSEQR for Schur vectors of A,565
15,c,hseqr,yes,eigenvalues,upper Hessenberg,QL/QR,single,eigenvalues; Schur form; Schur vectors of H,call CGEHRD first;CGEHRD+CUNGHR+CHSEQR for Schur vectors of A,607
16,z,hseqr,yes,eigenvalues,upper Hessenberg,QL/QR,double,eigenvalues; Schur form; Schur vectors of H,call ZGEHRD first;ZGEHRD+ZUNGHR+ZHSEQR for Schur vectors of A,609
17,s,hsein,no,eigenvectors,upper Hessenberg,inverse iteration,single,eigenvectors of H,SGEHRD+SHSEQR+SHSEIN for eigenvectors of H,564
18,d,hsein,no,eigenvectors,upper Hessenberg,inverse iteration,double,eigenvectors of H,DGEHRD+DHSEQR+DHSEIN for eigenvectors of H,566
19,c,hsein,yes,eigenvectors,upper Hessenberg,inverse iteration,single,eigenvectors of H,CGEHRD+CHSEQR+CHSEIN for eigenvectors of H,608
20,z,hsein,yes,eigenvectors,upper Hessenberg,inverse iteration,double,eigenvectors of H,ZGEHRD+ZHSEQR+ZHSEIN for eigenvectors of H,610
21,s,trevc,no,eigenvectors,upper quasi-triangular,,single,eigenvectors of Schur form T,SGEHRD+SORGHR+SHSEQR+STREVC for eigenvectors of T,755
22,d,trevc,no,eigenvectors,upper quasi-triangular,,double,eigenvectors of Schur form T,DGEHRD+DORGHR+DHSEQR+DTREVC for eigenvectors of T,756
23,c,trevc,yes,eigenvectors,upper quasi-triangular,,single,eigenvectors of Schur form T,CGEHRD+CUNGHR+CHSEQR+CTREVC for eigenvectors of T,757
24,z,trevc,yes,eigenvectors,upper quasi-triangular,,double,eigenvectors of Schur form T,ZGEHRD+ZUNGHR+ZHSEQR+ZTREVC for eigenvectors of T,758
25,s,trexc,no,reorder,upper quasi-triangular,,single,reorder Schur factorization,,759
26,d,trexc,no,reorder,upper quasi-triangular,,double,reorder Schur factorization,,760
27,c,trexc,yes,reorder,upper quasi-triangular,,single,reorder Schur factorization,,761
28,z,trexc,yes,reorder,upper quasi-triangular,,double,reorder Schur factorization,,762
29,s,trsen,no,reorder,upper quasi-triangular,,single,reorder Schur factorization;condition numbers,,763
30,d,trsen,no,reorder,upper quasi-triangular,,double,reorder Schur factorization;condition numbers,,764
31,c,trsen,yes,reorder,upper quasi-triangular,,single,reorder Schur factorization;condition numbers,,765
32,z,trsen,yes,reorder,upper quasi-triangular,,double,reorder Schur factorization;condition numbers,,766
33,s,disna,no,cndtNumber,diagonal,,single,condition numbers of eigenvectors,,683
34,d,disna,no,cndtNumber,diagonal,,double,condition numbers of eigenvectors,,684
35,s,trsna,no,cndtNumber,upper quasi-triangular,,single,condition numbers of eigenvectors,,687
36,d,trsna,no,cndtNumber,upper quasi-triangular,,double,condition numbers of eigenvectors,,688
37,c,trsna,yes,cndtNumber,upper quasi-triangular,,single,condition numbers of eigenvectors,,689
38,z,trsna,yes,cndtNumber,upper quasi-triangular,,double,condition numbers of eigenvectors,,690
39,s,gebal,no,balance,general,,single,balance matrix,improve eigenvalue accuracy,695
40,d,gebal,no,balance,general,,double,balance matrix,improve eigenvalue accuracy,696
41,c,gebal,yes,balance,general,,single,balance matrix,improve eigenvalue accuracy,697
42,z,gebal,yes,balance,general,,double,balance matrix,improve eigenvalue accuracy,698
43,s,gebak,no,eigenvectors,general,back transformation,single,eigenvectors of A,SGEHRD+SORGHR+SHSEQR+STREVC+SGEBAK for eigenvectors of A,767
44,d,gebak,no,eigenvectors,general,back transformation,double,eigenvectors of A,DGEHRD+DORGHR+DHSEQR+DTREVC+DGEBAK for eigenvectors of A,768
45,c,gebak,yes,eigenvectors,general,back transformation,single,eigenvectors of A,CGEHRD+CUNGHR+CHSEQR+CTREVC+CGEBAK for eigenvectors of A,769
46,z,gebak,yes,eigenvectors,general,back transformation,double,eigenvectors of A,ZGEHRD+ZUNGHR+ZHSEQR+ZTREVC+ZGEBAK for eigenvectors of A,770
