1,s,ggev,no,eigenvectors,QZ and back transformation,no,single,generalized eigenvalues and optionally the left and/or right generalized eigenvectors,629
2,d,ggev,no,eigenvectors,QZ and back transformation,no,double,generalized eigenvalues and optionally the left and/or right generalized eigenvectors,630
3,c,ggev,yes,eigenvectors,QZ and back transformation,no,single,generalized eigenvalues and optionally the left and/or right generalized eigenvectors,655
4,z,ggev,yes,eigenvectors,QZ and back transformation,no,double,generalized eigenvalues and optionally the left and/or right generalized eigenvectors,656
5,s,ggevx,no,eigenvectors,QZ and back transformation,yes,single,generalized eigenvalues and optionally the left and/or right generalized eigenvectors;condition numbers;balance matrix,631
6,d,ggevx,no,eigenvectors,QZ and back transformation,yes,double,generalized eigenvalues and optionally the left and/or right generalized eigenvectors;condition numbers;balance matrix,632
7,c,ggevx,yes,eigenvectors,QZ and back transformation,yes,single,generalized eigenvalues and optionally the left and/or right generalized eigenvectors;condition numbers;balance matrix,657
8,z,ggevx,yes,eigenvectors,QZ and back transformation,yes,double,generalized eigenvalues and optionally the left and/or right generalized eigenvectors;condition numbers;balance matrix,658
9,s,gges,no,Schur,,no,single,generalized eigenvalues;generalized Schur form (S:T);optionally the left and/or right matrices of Schur vectors,633
10,d,gges,no,Schur,,no,double,generalized eigenvalues;generalized Schur form (S:T);optionally the left and/or right matrices of Schur vectors,634
11,c,gges,yes,Schur,,no,single,generalized eigenvalues;generalized Schur form (S:T);optionally the left and/or right matrices of Schur vectors,659
12,z,gges,yes,Schur,,no,double,generalized eigenvalues;generalized Schur form (S:T);optionally the left and/or right matrices of Schur vectors,660
13,s,ggesx,no,Schur,,yes,single,generalized eigenvalues;generalized Schur form (S:T);optionally the left and/or right matrices of Schur vectors;condition numbers,635
14,d,ggesx,no,Schur,,yes,double,generalized eigenvalues;generalized Schur form (S:T);optionally the left and/or right matrices of Schur vectors;condition numbers,636
15,c,ggesx,yes,Schur,,yes,single,generalized eigenvalues;generalized Schur form (S:T);optionally the left and/or right matrices of Schur vectors;condition numbers,661
16,z,ggesx,yes,Schur,,yes,double,generalized eigenvalues;generalized Schur form (S:T);optionally the left and/or right matrices of Schur vectors;condition numbers,662
