id	precision	name	storage	standard	purpose	range	eigenvectors	method	note
1	c	hetrd	full	standard	reduce to real tridiagonal	none	none		
2	z	hetrd	full	standard	reduce to real tridiagonal	none	none		
3	s	sterf	full	standard	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call CHETRD first
4	d	sterf	full	standard	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call ZHETRD first
5	s	stebz	full	standard	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call CHETRD first;order
6	d	stebz	full	standard	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call ZHETRD first;order
7	c	ungtr	full	standard	generate Q	none	none		
8	z	ungtr	full	standard	generate Q	none	none		
9	c	steqr	full	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call CHETRD and CUNGTR first
10	z	steqr	full	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call ZHETRD and ZUNGTR first
11	c	stedc	full	standard	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call CHETRD and CUNGTR first
12	z	stedc	full	standard	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call ZHETRD and ZUNGTR first
13	c	unmtr	full	standard	multiply by Q	none	none		
14	z	unmtr	full	standard	multiply by Q	none	none		
15	c	stegr	full	standard	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call CHETRD before and CUNMTR after for eigenvectors of original matrix
16	z	stegr	full	standard	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call ZHETRD before and ZUNMTR after for eigenvectors of original matrix
17	c	stein	full	standard	eigenvectors for given eigenvalues	none	both	inverse iteration	call CHETRD before and CUNMTR after for eigenvectors of original matrix;designed to be used with SSTEBZ
18	z	stein	full	standard	eigenvectors for given eigenvalues	none	both	inverse iteration	call ZHETRD before and ZUNMTR after for eigenvectors of original matrix;designed to be used with DSTEBZ
19	c	hptrd	packed	standard	reduce to real tridiagonal	none	none		
20	z	hptrd	packed	standard	reduce to real tridiagonal	none	none		
21	s	sterf	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call CHPTRD first
22	d	sterf	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call ZHPTRD first
23	s	stebz	packed	standard	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call CHPTRD first;order
24	d	stebz	packed	standard	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call ZHPTRD first;order
25	c	upgtr	packed	standard	generate Q	none	none		
26	z	upgtr	packed	standard	generate Q	none	none		
27	c	steqr	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call CHPTRD and CUPGTR first
28	z	steqr	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call ZHPTRD and ZUPGTR first
29	c	stedc	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call CHPTRD and CUPGTR first
30	z	stedc	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	both	divide and conquer	call ZHPTRD and ZUPGTR first
31	c	upmtr	packed	standard	multiply by Q	none	none		
32	z	upmtr	packed	standard	multiply by Q	none	none		
33	c	stegr	packed	standard	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call CHPTRD before and CUPMTR after for eigenvectors of original matrix
34	z	stegr	packed	standard	eigenvalues of symmetric tridiagonal matrix	Yes	both	dqds and Relatively Robust Representation	call ZHPTRD before and ZUPMTR after for eigenvectors of original matrix
35	c	stein	packed	standard	eigenvectors for given eigenvalues	none	both	inverse iteration	call CHPTRD before and CUPMTR after for eigenvectors of original matrix;designed to be used with SSTEBZ
36	z	stein	packed	standard	eigenvectors for given eigenvalues	none	both	inverse iteration	call ZHPTRD before and ZUPMTR after for eigenvectors of original matrix;designed to be used with DSTEBZ
37	c	hbtrd	band	standard	reduce to real tridiagonal	none	none		
38	z	hbtrd	band	standard	reduce to real tridiagonal	none	none		
39	s	sterf	band	standard	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call CHBTRD first
40	d	sterf	band	standard	eigenvalues of symmetric tridiagonal matrix	No	none	Pal-Walker-Kahan variant of the QL or QR	more efficient;call ZHBTRD first
41	s	stebz	band	standard	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call CHBTRD first;order
42	d	stebz	band	standard	eigenvalues of symmetric tridiagonal matrix	Yes	none	bisection	call ZHBTRD first;order
