1	gesv	"N,NRHS,LDA,LDB"	"IPIV,INFO"	"A,B"	"A,B"			IPIV		"N,NRHS,LDA,LDB,INFO"			"A,B,IPIV"	"A(LDA, N);B(LDB, NRHS);IPIV(N)"	"((A(I,J),J=1,N),I=1,N)"
2	getrf	"M,N,LDA"	"IPIV,INFO"	A	A			IPIV		"M,N,LDA,INFO"		"LDA >=max(1,M)"	"A,IPIV"	"A(LDA, N);IPIV(min(M,N))"	"((A(I,J),J=1,N),I=1,N)"
3	dgecon	"NORM,N,A,LDA,ANORM"	"RCOND,WORK,IWORK,INFO"		A		WORK	IWORK	NORM	"N,LDA,INFO"	"ANORM,RCOND"		"A,WORK,IWORK"	"A(LDA,N);WORK(4*N);IWORK(N)"	"((A(I,J),J=1,N),I=1,N)"
4	zgecon	"NORM,N,A,LDA,ANORM"	"RCOND,WORK,RWORK,INFO"		A	RWORK	WORK		NORM	"N,LDA,INFO"	"ANORM,RCOND"		"A,WORK,RWORK"	"A(LDA,N);WORK(2*N);RWORK(2*N),"	"((A(I,J),J=1,N),I=1,N)"
5	gtsv	"N,NRHS,LDB"	INFO	"DL,D,DU,B"	B		"DL,D,DU"			"N,NRHS,LDB,INFO"			"B,DL,D,DU"	"B(LDB, NRHS);DL(N-1);D(N);DU(N-1)"	"(DU(I),I=1,N-1);(D(I),I=1,N);(DL(I),I=1,N-1)"
6	gttrf	N	"DU2,IPIV,INFO"	"DL,D,DU"			"DL,D,DU,DU2"	IPIV		"N,INFO"			"DL,D,DU,DU2,IPIV"	DL(N-1);D(N);DU(N-1);DU2(N-2)	"(DU(I),I=1,N-1);(D(I),I=1,N);(DL(I),I=1,N-1)"
7	dgtcon	"NORM,A,DL,D,DU,DU2,IPIV,ANORM"	"RCOND,WORK,IWORK,INFO"				"D,DL,DU,DU2,WORK"	"IPIV,IWORK"	NORM	"N,INFO"	"ANORM,RCOND"		"D,DL,DU,DU2,WORK,IWORK,IPIV"	DL(N-1);D(N);DU(N-1);DU2(N-2);IPIV(N);IWORK(N);WORK(2*N)	"(DU(I),I=1,N-1);(D(I),I=1,N);(DL(I),I=1,N-1)"
8	zgtcon	"NORM,A,DL,D,DU,DU2,IPIV,ANORM"	"RCOND,WORK,INFO"				"D,DL,DU,DU2,WORK"	IPIV	NORM	"N,INFO"	"ANORM,RCOND"		"D,DL,DU,DU2,WORK,IPIV"	DL(N-1);D(N);DU(N-1);DU2(N-2);IPIV(N);WORK(2*N)	"(DU(I),I=1,N-1);(D(I),I=1,N);(DL(I),I=1,N-1)"
9	ptsv	"N,NRHS,LDB"	INFO	"D,E,B"	B	D	E			"N,NRHS,LDB,INFO"			"B,D,E"	"B(LDB, NRHS);D(N);E(N-1)"	"(D(I),I=1,N);(E(I),I=1,N-1);"
10	pttrf	N	INFO	"D,E"		D	E			"N,INFO"			"D,E"	D(N);E(N-1)	"(D(I),I=1,N);(E(I),I=1,N-1);"
11	dptcon	"N,D,E,ANORM"	"RCOND,WORK,INFO"			D	"E,WORK"			"N,INFO"	"ANORM,RCOND"		"D,E,WORK"	D(N);E(N-1);WORK(N)	"(D(I),I=1,N);(E(I),I=1,N-1);"
12	zptcon	"N,D,E,ANORM"	"RCOND,RWORK,INFO"			"D,RWORK"	E			"N,INFO"	"ANORM,RCOND"		"D,E,RWORK"	D(N);E(N-1);RWORK(N)	"(D(I),I=1,N);(E(I),I=1,N-1);"
13	gbsv	"N,KL,KU,NRHS,LDAB,LDB"	"IPIV,INFO"	"AB,B"	"AB,B"			IPIV		"N,NRHS,LDB,KL,KU,LDAB,INFO"		LDAB >= 2*KL+KU+1	"AB,B,IPIV"	"AB(LDAB, N);B(LDB, NRHS);IPIV(N)"	"((AB(KL+KU+1+I-J,J),J=MAX(I-KL,1),MIN(I+KU,N)),I=1,N)"
14	gbtrf	"M,N,KL,KU,LDAB"	"IPIV,INFO"	AB	AB			IPIV		"M,N,KL,KU,LDAB,INFO"		LDAB >= 2*KL+KU+1	"AB,IPIV"	"AB(LDAB, N);IPIV(min(M,N))"	"((AB(KL+KU+1+I-J,J),J=MAX(I-KL,1),MIN(I+KU,N)),I=1,N)"
15	dgbcon	"NORM,N,KL,KU,AB,LDAB,IPIV,ANORM"	"RCOND,WORK,IWORK,INFO"		AB		WORK	"IPIV,IWORK"	NORM	"N,LDAB,KU,KL,INFO"	"ANORM,RCOND"		"AB,WORK,IWORK,IPIV"	"AB(LDAB,N);WORK(3*N);IWORK(N);IPIV(N)"	"((AB(KL+KU+1+I-J,J),J=MAX(I-KL,1),MIN(I+KU,N)),I=1,N)"
16	zgbcon	"NORM,N,KL,KU,AB,LDAB,IPIV,ANORM"	"RCOND,WORK,RWORK,INFO"		AB	RWORK	WORK	IPIV	NORM	"N,LDAB,KU,KL,INFO"	"ANORM,RCOND"		"AB,WORK,RWORK,IPIV"	"AB(LDAB,N);WORK(2*N);RWORK(N);IPIV(N)"	"((AB(KL+KU+1+I-J,J),J=MAX(I-KL,1),MIN(I+KU,N)),I=1,N)"
17	pbsv	"UPLO,N,KD,NRH,LDAB,LDB"	INFO	"AB,B"	"AB,B"				UPLO	"N,NRHS,LDB,KD,LDAB,INFO"		LDAB >= KD+1	"AB,B"	"AB(LDAB, N);B(LDB, NRHS)"	"((AB(KD+1+I-J,J),J=I,MIN(N,I+KD)),I=1,N)"	"((AB(1+I-J,J),J=MAX(1,I-KD),I),I=1,N)"
18	pbtrf	"UPLO,N,KD,LDAB"	INFO	AB	AB				UPLO	"N,KD,LDAB,INFO"		LDAB >= KD+1	AB	"AB(LDAB, N)"	"((AB(KD+1+I-J,J),J=I,MIN(N,I+KD)),I=1,N)"	"((AB(1+I-J,J),J=MAX(1,I-KD),I),I=1,N)"
19	dpbcon	"UPLO,N,KD,AB,LDAB,ANORM"	"RCOND,WORK,IWORK,INFO"		AB		WORK	IWORK	UPLO	"N,LDAB,KD,INFO"	"ANORM,RCOND"		"AB,WORK,IWORK"	"AB(LDAB,N);WORK(3*N);IWORK(N)"	"((AB(KD+1+I-J,J),J=I,MIN(N,I+KD)),I=1,N)"	"((AB(1+I-J,J),J=MAX(1,I-KD),I),I=1,N)"
20	zpbcon	"UPLO,N,KD,AB,LDAB,ANORM"	"RCOND,WORK,RWORK,INFO"		AB	RWORK	WORK		UPLO	"N,LDAB,KD,INFO"	"ANORM,RCOND"		"AB,WORK,RWORK"	"AB(LDAB,N);WORK(2*N);RWORK(N)"	"((AB(KD+1+I-J,J),J=I,MIN(N,I+KD)),I=1,N)"	"((AB(1+I-J,J),J=MAX(1,I-KD),I),I=1,N)"
21	sysv	"UPLO,N,NRHS,LDA,LDB,LWORK"	"IPIV,INFO,WORK"	"A,B"	"A,B"		WORK	IPIV	UPLO	"N,NRHS,LDA,LDB,INFO,LWORK"			"A,B,IPIV,WORK"	"A(LDA, N);B(LDB, NRHS);IPIV(N);WORK(LWORK)"	"((A(I,J),J=I,N),I=1,N)"	"((A(I,J),J=1,I),I=1,N)"
22	sytrf	"UPLO,N,LDA,LWORK"	"WORK,IPIV,INFO"	A	A		WORK	IPIV	UPLO	"N,LDA,LWORK,INFO"			"A,IPIV,WORK"	"A(LDA, N);IPIV(N);WORK(LWORK)"	"((A(I,J),J=I,N),I=1,N)"	"((A(I,J),J=1,I),I=1,N)"
23	dsycon	"UPLO,N,A,LDA,IPIV,ANORM"	"RCOND,WORK,IWORK,INFO"		A		WORK	"IPIV,IWORK"	UPLO	"N,LDA,INFO"	"ANORM,RCOND"		"A,WORK,IWORK,IPIV"	"A(LDA, N);WORK(2*N);IWORK(N);IPIV(N)"	"((A(I,J),J=I,N),I=1,N)"	"((A(I,J),J=1,I),I=1,N)"
24	zsycon	"UPLO,N,A,LDA,IPIV,ANORM"	"RCOND,WORK,INFO"		A		WORK	IPIV	UPLO	"N,LDA,INFO"	"ANORM,RCOND"		"A,WORK,IPIV"	"A(LDA, N);WORK(2*N);IPIV(N)"	"((A(I,J),J=I,N),I=1,N)"	"((A(I,J),J=1,I),I=1,N)"
25	hesv	"UPLO,N,NRHS,LDA,LDB,LWORK"	"IPIV,INFO,WORK"	"A,B"	"A,B"			"IPIV,WORK"	UPLO	"N,NRHS,LDA,LDB,INFO,LWORK"			"A,B,IPIV,WORK"	"A(LDA, N);B(LDB, NRHS);IPIV(N);WORK(LWORK)"	"((A(I,J),J=I,N),I=1,N)"	"((A(I,J),J=1,I),I=1,N)"
26	hetrf	"UPLO,N,LDA,LWORK"	"WORK,IPIV,INFO"	A	A		WORK	IPIV	UPLO	"N,LDA,LWORK,INFO"			"A,IPIV,WORK"	"A(LDA, N);IPIV(N);WORK(LWORK)"	"((A(I,J),J=I,N),I=1,N)"	"((A(I,J),J=1,I),I=1,N)"
27	hecon	"UPLO,N,A,LDA,IPIV,ANORM"	"RCOND,WORK,INFO"		A		WORK	IPIV	UPLO	"N,LDA,INFO"	"ANORM,RCOND"		"A,WORK,IPIV"	"A(LDA, N);WORK(2*N);IPIV(N)"	"((A(I,J),J=I,N),I=1,N)"	"((A(I,J),J=1,I),I=1,N)"
28	posv	"UPLO,N,NRHS,LDA,LDB"	INFO	"A,B"	"A,B"				UPLO	"N,NRHS,LDA,LDB,INFO"			"A,B"	"A(LDA, N);B(LDB, NRHS)"	"((A(I,J),J=I,N),I=1,N)"	"((A(I,J),J=1,I),I=1,N)"
29	potrf	"UPLO,N,LDA"	INFO	A	A				UPLO	"N,LDA,INFO"			A	"A(LDA, N)"	"((A(I,J),J=I,N),I=1,N)"	"((A(I,J),J=1,I),I=1,N)"
30	dpocon	"UPLO,N,A,LDA,ANORM"	"RCOND,WORK,IWORK,INFO"		A		WORK	IWORK	UPLO	"N,LDA,INFO"	"ANORM,RCOND"		"A,WORK,IWORK"	"A(LDA,N);WORK(3*N);IWORK(N)"	"((A(I,J),J=I,N),I=1,N)"	"((A(I,J),J=1,I),I=1,N)"
