cgerfsx.f,"['TRANS', 'EQUED', 'N', 'NRHS', 'A', 'LDA', 'AF', 'LDAF', 'IPIV', 'R', 'C', 'B', 'LDB', 'LDX', 'N_ERR_BNDS', 'NPARAMS']","['RCOND', 'BERR', 'ERR_BNDS_NORM', 'ERR_BNDS_COMP', 'WORK', 'RWORK', 'INFO']","['X', 'PARAMS']"
cpprfs.f,"['UPLO', 'N', 'NRHS', 'AP', 'AFP', 'B', 'LDB', 'LDX']","['FERR', 'BERR', 'WORK', 'RWORK', 'INFO']",['X']
csyrfsx.f,"['UPLO', 'EQUED', 'N', 'NRHS', 'A', 'LDA', 'AF', 'LDAF', 'IPIV', 'B', 'LDB', 'LDX', 'N_ERR_BNDS', 'NPARAMS']","['RCOND', 'BERR', 'ERR_BNDS_NORM', 'ERR_BNDS_COMP', 'WORK', 'RWORK', 'INFO']","['S', 'X', 'PARAMS']"
dgbrfs.f,"['TRANS', 'N', 'KL', 'KU', 'NRHS', 'AB', 'LDAB', 'AFB', 'LDAFB', 'IPIV', 'B', 'LDB', 'LDX']","['FERR', 'BERR', 'WORK', 'IWORK', 'INFO']",['X']
zsprfs.f,"['UPLO', 'N', 'NRHS', 'AP', 'AFP', 'IPIV', 'B', 'LDB', 'LDX']","['FERR', 'BERR', 'WORK', 'RWORK', 'INFO']",['X']
ztprfs.f,"['UPLO', 'TRANS', 'DIAG', 'N', 'NRHS', 'AP', 'B', 'LDB', 'X', 'LDX']","['FERR', 'BERR', 'WORK', 'RWORK', 'INFO']",[]
sgerfs.f,"['TRANS', 'N', 'NRHS', 'A', 'LDA', 'AF', 'LDAF', 'IPIV', 'B', 'LDB', 'LDX']","['FERR', 'BERR', 'WORK', 'IWORK', 'INFO']",['X']
dgerfs.f,"['TRANS', 'N', 'NRHS', 'A', 'LDA', 'AF', 'LDAF', 'IPIV', 'B', 'LDB', 'LDX']","['FERR', 'BERR', 'WORK', 'IWORK', 'INFO']",['X']
cporfsx.f,"['UPLO', 'EQUED', 'N', 'NRHS', 'A', 'LDA', 'AF', 'LDAF', 'B', 'LDB', 'LDX', 'N_ERR_BNDS', 'NPARAMS']","['RCOND', 'BERR', 'ERR_BNDS_NORM', 'ERR_BNDS_COMP', 'WORK', 'RWORK', 'INFO']","['S', 'X', 'PARAMS']"
dpprfs.f,"['UPLO', 'N', 'NRHS', 'AP', 'AFP', 'B', 'LDB', 'LDX']","['FERR', 'BERR', 'WORK', 'IWORK', 'INFO']",['X']
zherfsx.f,"['UPLO', 'EQUED', 'N', 'NRHS', 'A', 'LDA', 'AF', 'LDAF', 'IPIV', 'B', 'LDB', 'LDX', 'N_ERR_BNDS', 'NPARAMS']","['RCOND', 'BERR', 'ERR_BNDS_NORM', 'ERR_BNDS_COMP', 'WORK', 'RWORK', 'INFO']","['S', 'X', 'PARAMS']"
