sgbsvx.f,"['FACT', 'TRANS', 'N', 'KL', 'KU', 'NRHS', 'LDAB', 'LDAFB', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['AB', 'AFB', 'IPIV', 'EQUED', 'R', 'C', 'B']"
sgbsvxx.f,"['FACT', 'TRANS', 'N', 'KL', 'KU', 'NRHS', 'LDAB', 'LDAFB', 'LDB', 'LDX', 'N_ERR_BNDS', 'NPARAMS']","['X', 'RCOND', 'RPVGRW', 'BERR', 'ERR_BNDS_NORM', 'ERR_BNDS_COMP', 'WORK', 'IWORK', 'INFO']","['AB', 'AFB', 'IPIV', 'EQUED', 'R', 'C', 'B', 'PARAMS']"
sgesvx.f,"['FACT', 'TRANS', 'N', 'NRHS', 'LDA', 'LDAF', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['A', 'AF', 'IPIV', 'EQUED', 'R', 'C', 'B']"
sgesvxx.f,"['FACT', 'TRANS', 'N', 'NRHS', 'LDA', 'LDAF', 'LDB', 'LDX', 'N_ERR_BNDS', 'NPARAMS']","['X', 'RCOND', 'RPVGRW', 'BERR', 'ERR_BNDS_NORM', 'ERR_BNDS_COMP', 'WORK', 'IWORK', 'INFO']","['A', 'AF', 'IPIV', 'EQUED', 'R', 'C', 'B', 'PARAMS']"
spbsvx.f,"['FACT', 'UPLO', 'N', 'KD', 'NRHS', 'LDAB', 'LDAFB', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['AB', 'AFB', 'EQUED', 'S', 'B']"
sposvx.f,"['FACT', 'UPLO', 'N', 'NRHS', 'LDA', 'LDAF', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['A', 'AF', 'EQUED', 'S', 'B']"
sposvxx.f,"['FACT', 'UPLO', 'N', 'NRHS', 'LDA', 'LDAF', 'LDB', 'LDX', 'N_ERR_BNDS', 'NPARAMS']","['X', 'RCOND', 'RPVGRW', 'BERR', 'ERR_BNDS_NORM', 'ERR_BNDS_COMP', 'WORK', 'IWORK', 'INFO']","['A', 'AF', 'EQUED', 'S', 'B', 'PARAMS']"
sppsvx.f,"['FACT', 'UPLO', 'N', 'NRHS', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['AP', 'AFP', 'EQUED', 'S', 'B']"
sspsvx.f,"['FACT', 'UPLO', 'N', 'NRHS', 'AP', 'B', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['AFP', 'IPIV']"
ssysvx.f,"['FACT', 'UPLO', 'N', 'NRHS', 'A', 'LDA', 'LDAF', 'B', 'LDB', 'LDX', 'LWORK']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['AF', 'IPIV']"
dgbsvx.f,"['FACT', 'TRANS', 'N', 'KL', 'KU', 'NRHS', 'LDAB', 'LDAFB', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['AB', 'AFB', 'IPIV', 'EQUED', 'R', 'C', 'B']"
dgbsvxx.f,"['FACT', 'TRANS', 'N', 'KL', 'KU', 'NRHS', 'LDAB', 'LDAFB', 'LDB', 'LDX', 'N_ERR_BNDS', 'NPARAMS']","['X', 'RCOND', 'RPVGRW', 'BERR', 'ERR_BNDS_NORM', 'ERR_BNDS_COMP', 'WORK', 'IWORK', 'INFO']","['AB', 'AFB', 'IPIV', 'EQUED', 'R', 'C', 'B', 'PARAMS']"
dgesvx.f,"['FACT', 'TRANS', 'N', 'NRHS', 'LDA', 'LDAF', 'LDB', 'LDX']","['X', 'RCOND', 'FERR', 'BERR', 'WORK', 'IWORK', 'INFO']","['A', 'AF', 'IPIV', 'EQUED', 'R', 'C', 'B']"
