	s	gesv	general	f	single/sgesv.f	1	linear equation, simple driver,
	d	gesv	general	f	double/dgesv.f	1	linear equation, simple driver,
	c	gesv	general	f	complex/cgesv.f	1	linear equation, simple driver,
	z	gesv	general	f	complex16/zgesv.f	1	linear equation, simple driver,
	s	gbsv	general	b	single/sgbsv.f	1	linear equation, simple driver,
	d	gbsv	general	b	double/dgbsv.f	1	linear equation, simple driver,
	c	gbsv	general	b	complex/cgbsv.f	1	linear equation, simple driver,
	z	gbsv	general	b	complex16/zgbsv.f	1	linear equation, simple driver,
	s	gtsv	general	t	single/sgtsv.f	1	linear equation, simple driver,
	d	gtsv	general	t	double/dgtsv.f	1	linear equation, simple driver,
	c	gtsv	general	t	complex/cgtsv.f	1	linear equation, simple driver,
	z	gtsv	general	t	complex16/zgtsv.f	1	linear equation, simple driver,
	c	hesv	Hermitian	f	complex/chesv.f	1	linear equation, simple driver,
	z	hesv	Hermitian	f	complex16/zhesv.f	1	linear equation, simple driver,
	c	hpsv	Hermitian	p	complex/chpsv.f	1	linear equation, simple driver,
	z	hpsv	Hermitian	p	complex16/zhpsv.f	1	linear equation, simple driver,
	s	posv	SPD	f	single/sposv.f	1	linear equation, simple driver,
	d	posv	SPD	f	double/dposv.f	1	linear equation, simple driver,
	c	posv	SPD	f	complex/cposv.f	1	linear equation, simple driver,
	z	posv	SPD	f	complex16/zposv.f	1	linear equation, simple driver,
	s	pbsv	SPD	b	single/spbsv.f	1	linear equation, simple driver,
	d	pbsv	SPD	b	double/dpbsv.f	1	linear equation, simple driver,
	c	pbsv	SPD	b	complex/cpbsv.f	1	linear equation, simple driver,
	z	pbsv	SPD	b	complex16/zpbsv.f	1	linear equation, simple driver,
	s	ppsv	SPD	p	single/sppsv.f	1	linear equation, simple driver,
	d	ppsv	SPD	p	double/dppsv.f	1	linear equation, simple driver,
	c	ppsv	SPD	p	complex/cppsv.f	1	linear equation, simple driver,
	z	ppsv	SPD	p	complex16/zppsv.f	1	linear equation, simple driver,
	s	ptsv	SPD	t	single/sptsv.f	1	linear equation, simple driver,
	d	ptsv	SPD	t	double/dptsv.f	1	linear equation, simple driver,
	c	ptsv	SPD	t	complex/cptsv.f	1	linear equation, simple driver,
	z	ptsv	SPD	t	complex16/zptsv.f	1	linear equation, simple driver,
	s	sysv	symmetric	f	single/ssysv.f	1	linear equation, simple driver,
	d	sysv	symmetric	f	double/dsysv.f	1	linear equation, simple driver,
	c	sysv	symmetric	f	complex/csysv.f	1	linear equation, simple driver,
	z	sysv	symmetric	f	complex16/zsysv.f	1	linear equation, simple driver,
	s	spsv	symmetric	p	single/sspsv.f	1	linear equation, simple driver,
	d	spsv	symmetric	p	double/dspsv.f	1	linear equation, simple driver,
	c	spsv	symmetric	p	complex/cspsv.f	1	linear equation, simple driver,
	z	spsv	symmetric	p	complex16/zspsv.f	1	linear equation, simple driver,
	s	gesvx	general	f	single/sgesvx.f	1	linear equation, expert driver,
	d	gesvx	general	f	double/dgesvx.f	1	linear equation, expert driver,
	c	gesvx	general	f	complex/cgesvx.f	1	linear equation, expert driver,
	z	gesvx	general	f	complex16/zgesvx.f	1	linear equation, expert driver,
	s	gbsvx	general	b	single/sgbsvx.f	1	linear equation, expert driver,
	d	gbsvx	general	b	double/dgbsvx.f	1	linear equation, expert driver,
	c	gbsvx	general	b	complex/cgbsvx.f	1	linear equation, expert driver,
	z	gbsvx	general	b	complex16/zgbsvx.f	1	linear equation, expert driver,
	s	gtsvx	general	t	single/sgtsvx.f	1	linear equation, expert driver,
	d	gtsvx	general	t	double/dgtsvx.f	1	linear equation, expert driver,
	c	gtsvx	general	t	complex/cgtsvx.f	1	linear equation, expert driver,
	z	gtsvx	general	t	complex16/zgtsvx.f	1	linear equation, expert driver,
	c	hesvx	Hermitian	f	complex/chesvx.f	1	linear equation, expert driver,
	z	hesvx	Hermitian	f	complex16/zhesvx.f	1	linear equation, expert driver,
	c	hpsvx	Hermitian	p	complex/chpsvx.f	1	linear equation, expert driver,
	z	hpsvx	Hermitian	p	complex16/zhpsvx.f	1	linear equation, expert driver,
	s	posvx	SPD	f	single/sposvx.f	1	linear equation, expert driver,
	d	posvx	SPD	f	double/dposvx.f	1	linear equation, expert driver,
	c	posvx	SPD	f	complex/cposvx.f	1	linear equation, expert driver,
	z	posvx	SPD	f	complex16/zposvx.f	1	linear equation, expert driver,
	s	pbsvx	SPD	b	single/spbsvx.f	1	linear equation, expert driver,
	d	pbsvx	SPD	b	double/dpbsvx.f	1	linear equation, expert driver,
	c	pbsvx	SPD	b	complex/cpbsvx.f	1	linear equation, expert driver,
	z	pbsvx	SPD	b	complex16/zpbsvx.f	1	linear equation, expert driver,
	s	ppsvx	SPD	p	single/sppsvx.f	1	linear equation, expert driver,
	d	ppsvx	SPD	p	double/dppsvx.f	1	linear equation, expert driver,
	c	ppsvx	SPD	p	complex/cppsvx.f	1	linear equation, expert driver,
	z	ppsvx	SPD	p	complex16/zppsvx.f	1	linear equation, expert driver,
	s	ptsvx	SPD	t	single/sptsvx.f	1	linear equation, expert driver,
	d	ptsvx	SPD	t	double/dptsvx.f	1	linear equation, expert driver,
	c	ptsvx	SPD	t	complex/cptsvx.f	1	linear equation, expert driver,
	z	ptsvx	SPD	t	complex16/zptsvx.f	1	linear equation, expert driver,
	s	sysvx	symmetric	f	single/ssysvx.f	1	linear equation, expert driver,
	d	sysvx	symmetric	f	double/dsysvx.f	1	linear equation, expert driver,
	c	sysvx	symmetric	f	complex/csysvx.f	1	linear equation, expert driver,
	z	sysvx	symmetric	f	complex16/zsysvx.f	1	linear equation, expert driver,
	s	spsvx	symmetric	p	single/sspsvx.f	1	linear equation, expert driver,
	d	spsvx	symmetric	p	double/dspsvx.f	1	linear equation, expert driver,
	c	spsvx	symmetric	p	complex/cspsvx.f	1	linear equation, expert driver,
	z	spsvx	symmetric	p	complex16/zspsvx.f	1	linear equation, expert driver,
