id	precision	name	storage	standard	purpose	range	eigenvectors	method	note
1	c	hetrd	full	standard	reduce to real tridiagonal	none	none		
2	z	hetrd	full	standard	reduce to real tridiagonal	none	none		
3	c	ungtr	full	standard	generate Q	none	none		
4	z	ungtr	full	standard	generate Q	none	none		
5	c	pteqr	full	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call CHETRD and CUNGTR first
6	z	pteqr	full	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call ZHETRD and ZUNGTR first
7	c	hptrd	packed	standard	reduce to real tridiagonal	none	none		
8	z	hptrd	packed	standard	reduce to real tridiagonal	none	none		
9	c	upgtr	packed	standard	generate Q	none	none		
10	z	upgtr	packed	standard	generate Q	none	none		
11	c	pteqr	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call CHPTRD and CUPGTR first
12	z	pteqr	packed	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call ZHPTRD and ZUPGTR first
13	c	hbtrd	band	standard	reduce to real tridiagonal	none	none		
14	z	hbtrd	band	standard	reduce to real tridiagonal	none	none		
15	c	pteqr	band	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call CHBTRD first (set VECT = 'V' to form Q)
16	z	pteqr	band	standard	eigenvalues of symmetric tridiagonal matrix	No	both	QL or QR	call ZHBTRD first (set VECT = 'V' to form Q)
17	c	pteqr	tridiagonal	standard	eigenvalues of symmetric tridiagonal matrix	No	original	QL or QR	
18	z	pteqr	tridiagonal	standard	eigenvalues of symmetric tridiagonal matrix	No	original	QL or QR	
19	c	pbstf	band	generalized	computes a split Cholesky factorization of a real SPD band matrix B	none	none		designed to be used in conjunction with CHBGST
20	z	pbstf	band	generalized	computes a split Cholesky factorization of a real SPD band matrix B	none	none		designed to be used in conjunction with ZHBGST
