id	precision	name	storage	standard	purpose	range	eigenvectors	method	note		
1	c	geev	full	standard	eigenvalues;optionally left right eigenvectors	No	original	QR algorithm	simple	Doxygen/docs/html/cgeev_8f.html	
2	z	geev	full	standard	eigenvalues;optionally left right eigenvectors	No	original	QRÊalgorithm	simple	Doxygen/docs/html/zgeev_8f.html	
3	c	geevx	full	standard	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	No	original	QR algorithm	expert	Doxygen/docs/html/cgeevx_8f.html	
4	z	geevx	full	standard	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	No	original	QR algorithm	expert	Doxygen/docs/html/zgeevx_8f.html	
5	c	gees	full	standard	eigenvalues;Schur form;optionally Schur vectors	No	Schur	N/A	simple	Doxygen/docs/html/cgees_8f.html	
6	z	gees	full	standard	eigenvalues;Schur form;optionally Schur vectors	No	Schur	N/A	simple	Doxygen/docs/html/zgees_8f.html	
7	c	geesx	full	standard	eigenvalues;Schur form;optionally Schur vectors;condition numbers	No	Schur	N/A	expert	Doxygen/docs/html/cgeesx_8f.html	
8	z	geesx	full	standard	eigenvalues;Schur form;optionally Schur vectors;condition numbers	No	Schur	N/A	expert	Doxygen/docs/html/zgeesx_8f.html	
9	c	ggev	full	generalized	eigenvalues;optionally left right eigenvectors	No	original	QZ algorithm	simple	Doxygen/docs/html/cggev_8f.html	559
10	z	ggev	full	generalized	eigenvalues;optionally left right eigenvectors	No	original	QZ algorithm	simple	Doxygen/docs/html/zggev_8f.html	560
11	c	ggevx	full	generalized	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	No	original	QZ algorithm	expert	Doxygen/docs/html/cggevx_8f.html	563
12	z	ggevx	full	generalized	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	No	original	QZ algorithm	expert	Doxygen/docs/html/zggevx_8f.html	564
13	c	gges	full	generalized	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors	No	Schur	QZÊalgorithm	simple	Doxygen/docs/html/cgges_8f.html	567
14	z	gges	full	generalized	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors	No	Schur	QZÊalgorithm	simple	Doxygen/docs/html/zgges_8f.html	568
15	c	ggesx	full	generalized	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors;condition numbers	No	Schur	QZÊalgorithm	expert	Doxygen/docs/html/cggesx_8f.html	571
16	z	ggesx	full	generalized	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors;condition numbers	No	Schur	QZÊalgorithm	expert	Doxygen/docs/html/zggesx_8f.html	572
											
											
											
											
											
