id	precision	name	storage	standard	purpose	range	eigenvectors	method	note		
1	s	geev	full	standard	eigenvalues;optionally left right eigenvectors	No	original	QR algorithm	simple	Doxygen/docs/html/sgeev_8f.html	
2	d	geev	full	standard	eigenvalues;optionally left right eigenvectors	No	original	QRÊalgorithm	simple	Doxygen/docs/html/dgeev_8f.html	
3	s	geevx	full	standard	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	No	original	QR algorithm	expert	Doxygen/docs/html/sgeevx_8f.html	
4	d	geevx	full	standard	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	No	original	QR algorithm	expert	Doxygen/docs/html/dgeevx_8f.html	
5	s	gees	full	standard	eigenvalues;Schur form;optionally Schur vectors	No	Schur	N/A	simple	Doxygen/docs/html/sgees_8f.html	
6	d	gees	full	standard	eigenvalues;Schur form;optionally Schur vectors	No	Schur	N/A	simple	Doxygen/docs/html/dgees_8f.html	
7	s	geesx	full	standard	eigenvalues;Schur form;optionally Schur vectors;condition numbers	No	Schur	N/A	expert	Doxygen/docs/html/sgeesx_8f.html	
8	d	geesx	full	standard	eigenvalues;Schur form;optionally Schur vectors;condition numbers	No	Schur	N/A	expert	Doxygen/docs/html/dgeesx_8f.html	
9	s	ggev	full	generalized	eigenvalues;optionally left right eigenvectors	No	original	QZ algorithm	simple	Doxygen/docs/html/sggev_8f.html	557
10	d	ggev	full	generalized	eigenvalues;optionally left right eigenvectors	No	original	QZ algorithm	simple	Doxygen/docs/html/dggev_8f.html	558
11	s	ggevx	full	generalized	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	No	original	QZ algorithm	expert	Doxygen/docs/html/sggevx_8f.html	561
12	d	ggevx	full	generalized	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	No	original	QZ algorithm	expert	Doxygen/docs/html/dggevx_8f.html	562
13	s	gges	full	generalized	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors	No	Schur	QZÊalgorithm	simple	Doxygen/docs/html/sgges_8f.html	565
14	d	gges	full	generalized	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors	No	Schur	QZÊalgorithm	simple	Doxygen/docs/html/dgges_8f.html	566
15	s	ggesx	full	generalized	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors;condition numbers	No	Schur	QZÊalgorithm	expert	Doxygen/docs/html/sggesx_8f.html	569
16	d	ggesx	full	generalized	eigenvalues;generalized real Schur form;optionally left right generalized Schur vectors;condition numbers	No	Schur	QZÊalgorithm	expert	Doxygen/docs/html/dggesx_8f.html	570
