1,s,sytrd,no,reduce,symmetric,full,none,none,none,single,reduces a real symmetric matrix A to real symmetric tridiagonal by orthogonal similarity transformation,663
2,d,sytrd,no,reduce,symmetric,full,none,none,none,double,reduces a real symmetric matrix A to real symmetric tridiagonal by orthogonal similarity transformation,664
3,c,hetrd,yes,reduce,Hermitian,full,none,none,none,single,reduces a complex Hermitian matrix A to real symmetric tridiagonal by unitary similarity transformation,669
4,z,hetrd,yes,reduce,Hermitian,full,none,none,none,double,reduces a complex Hermitian matrix A to real symmetric tridiagonal by unitary similarity transformation,670
5,s,sptrd,no,reduce,symmetric,packed,none,none,none,single,reduces a real symmetric matrix A to real symmetric tridiagonal by orthogonal similarity transformation,665
6,d,sptrd,no,reduce,symmetric,packed,none,none,none,double,reduces a real symmetric matrix A to real symmetric tridiagonal by orthogonal similarity transformation,666
7,c,hptrd,yes,reduce,Hermitian,packed,none,none,none,single,reduces a complex Hermitian matrix A to real symmetric tridiagonal by unitary similarity transformation,671
8,z,hptrd,yes,reduce,Hermitian,packed,none,none,none,double,reduces a complex Hermitian matrix A to real symmetric tridiagonal by unitary similarity transformation,672
9,s,sbtrd,no,reduce,symmetric,band,none,none,none,single,reduces a real symmetric matrix A to real symmetric tridiagonal by orthogonal similarity transformation,667
10,d,sbtrd,no,reduce,symmetric,band,none,none,none,double,reduces a real symmetric matrix A to real symmetric tridiagonal by orthogonal similarity transformation,668
11,c,hbtrd,yes,reduce,Hermitian,band,none,none,none,single,reduces a complex Hermitian matrix A to real symmetric tridiagonal by unitary similarity transformation,673
12,z,hbtrd,yes,reduce,Hermitian,band,none,none,none,double,reduces a complex Hermitian matrix A to real symmetric tridiagonal by unitary similarity transformation,674
13,s,orgtr,no,generateQ,orthogonal,full,none,none,none,single,generates a real orthogonal matrix Q,552
14,d,orgtr,no,generateQ,orthogonal,full,none,none,none,double,generates a real orthogonal matrix Q,554
15,c,ungtr,yes,generateQ,unitary,full,none,none,none,single,generates a complex unitary matrix Q,596
16,z,ungtr,yes,generateQ,unitary,full,none,none,none,double,generates a complex unitary matrix Q,598
17,s,opgtr,no,generateQ,orthogonal,packed,none,none,none,single,generates a real orthogonal matrix Q,556
18,d,opgtr,no,generateQ,orthogonal,packed,none,none,none,double,generates a real orthogonal matrix Q,558
19,c,upgtr,yes,generateQ,unitary,packed,none,none,none,single,generates a complex unitary matrix Q,600
20,z,upgtr,yes,generateQ,unitary,packed,none,none,none,double,generates a complex unitary matrix Q,602
21,s,ormtr,no,multiplyByQ,orthogonal,full,none,none,none,single,multiplies an arbitrary real matrix C by the real orthogonal matrix Q,715
22,d,ormtr,no,multiplyByQ,orthogonal,full,none,none,none,double,multiplies an arbitrary real matrix C by the real orthogonal matrix Q,716
23,c,unmtr,yes,multiplyByQ,unitary,full,none,none,none,single,multiplies an arbitrary complex matrix C by the complex unitary matrix Q,717
24,z,unmtr,yes,multiplyByQ,unitary,full,none,none,none,double,multiplies an arbitrary complex matrix C by the complex unitary matrix Q,718
25,s,opmtr,no,multiplyByQ,orthogonal,packed,none,none,none,single,multiplies an arbitrary real matrix C by the real orthogonal matrix Q ,719
26,d,opmtr,no,multiplyByQ,orthogonal,packed,none,none,none,double,multiplies an arbitrary real matrix C by the real orthogonal matrix Q ,720
27,c,upmtr,yes,multiplyByQ,unitary,packed,none,none,none,single,multiplies an arbitrary complex matrix C by the complex unitary matrix Q,721
28,z,upmtr,yes,multiplyByQ,unitary,packed,none,none,none,double,multiplies an arbitrary complex matrix C by the complex unitary matrix Q,722
29,s,sterf,no,eigenvalues,symmetric,tridiagonal,no,no,none,single,computes all eigenvalues of a symmetric tridiagonal matrix by Pal-Walker-Kahan variant of the QL or QR algorithm,531
30,d,sterf,no,eigenvalues,symmetric,tridiagonal,no,no,none,double,computes all eigenvalues of a symmetric tridiagonal matrix by Pal-Walker-Kahan variant of the QL or QR algorithm,532
31,s,steqr,no,eigenvalues,symmetric,tridiagonal,no,yes,QL/QR,single,computes all eigenvalues and optionally eigenvectors of a symmetric tridiagonal matrix,723
