id	precision	name	function	matrix type	storage	selected eigenvalues	eigenvectors	method	Purpose	note	
1	s	sytrd	tridiagonal	symmetric	full	none	none	none	reduces a real symmetric matrix A to real symmetric tridiagonal by orthogonal similarity transformation		663
2	d	sytrd	tridiagonal	symmetric	full	none	none	none	reduces a real symmetric matrix A to real symmetric tridiagonal by orthogonal similarity transformation		664
3	c	hetrd	tridiagonal	Hermitian	full	none	none	none	reduces a complex Hermitian matrix A to real symmetric tridiagonal by unitary similarity transformation		669
4	z	hetrd	tridiagonal	Hermitian	full	none	none	none	reduces a complex Hermitian matrix A to real symmetric tridiagonal by unitary similarity transformation		670
5	s	sptrd	tridiagonal	symmetric	packed	none	none	none	reduces a real symmetric matrix A to real symmetric tridiagonal by orthogonal similarity transformation		665
6	d	sptrd	tridiagonal	symmetric	packed	none	none	none	reduces a real symmetric matrix A to real symmetric tridiagonal by orthogonal similarity transformation		666
7	c	hptrd	tridiagonal	Hermitian	packed	none	none	none	reduces a complex Hermitian matrix A to real symmetric tridiagonal by unitary similarity transformation		671
8	z	hptrd	tridiagonal	Hermitian	packed	none	none	none	reduces a complex Hermitian matrix A to real symmetric tridiagonal by unitary similarity transformation		672
9	s	sbtrd	tridiagonal	symmetric	band	none	none	none	reduces a real symmetric matrix A to real symmetric tridiagonal by orthogonal similarity transformation		667
10	d	sbtrd	tridiagonal	symmetric	band	none	none	none	reduces a real symmetric matrix A to real symmetric tridiagonal by orthogonal similarity transformation		668
11	c	hbtrd	tridiagonal	Hermitian	band	none	none	none	reduces a complex Hermitian matrix A to real symmetric tridiagonal by unitary similarity transformation		673
12	z	hbtrd	tridiagonal	Hermitian	band	none	none	none	reduces a complex Hermitian matrix A to real symmetric tridiagonal by unitary similarity transformation		674
13	s	orgtr	generateQ	orthogonal	full	none	none	none	generates a real orthogonal matrix Q		552
14	d	orgtr	generateQ	orthogonal	full	none	none	none	generates a real orthogonal matrix Q		554
15	c	ungtr	generateQ	unitary	full	none	none	none	generates a complex unitary matrix Q		596
16	z	ungtr	generateQ	unitary	full	none	none	none	generates a complex unitary matrix Q		598
17	s	opgtr	generateQ	orthogonal	packed	none	none	none	generates a real orthogonal matrix Q		556
18	d	opgtr	generateQ	orthogonal	packed	none	none	none	generates a real orthogonal matrix Q		558
19	c	upgtr	generateQ	unitary	packed	none	none	none	generates a complex unitary matrix Q		600
20	z	upgtr	generateQ	unitary	packed	none	none	none	generates a complex unitary matrix Q		602
21	s	ormtr	multiplyByQ	orthogonal	full	none	none	none	multiplies an arbitrary real matrix C by the real orthogonal matrix Q		715
