	precision	name	complex numbers	matrix type	storage	range	method	Schur form	cndNumbers		note	info
1	s	sygv	no	symmetric	full	no	Cholesky factorization	none	none	all eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem;B is SPD	611
2	d	sygv	no	symmetric	full	no	Cholesky factorization	none	none	all eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem;B is SPD 	612
3	s	sygvd	no	symmetric	full	no	divide and conquer	none	none	all eigenvalues;optionally eigenvectors	faster but more memory;B is SPD	613
4	d	sygvd	no	symmetric	full	no	divide and conquer	none	none	all eigenvalues;optionally eigenvectors	faster but more memory;B is SPD	614
5	s	sygvx	no	symmetric	full	yes	Cholesky factorization	none	none	selected eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem;B is SPD	615
6	d	sygvx	no	symmetric	full	yes	Cholesky factorization	none	none	selected eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem;B is SPD	616
7	s	spgv	no	symmetric	packed	no	Cholesky factorization	none	none	all eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem;B is SPD	617
8	d	spgv	no	symmetric	packed	no	Cholesky factorization	none	none	all eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem;B is SPD	618
9	s	spgvd	no	symmetric	packed	no	divide and conquer	none	none	all eigenvalues;optionally eigenvectors	faster but more memory;B is SPD	619
10	d	spgvd	no	symmetric	packed	no	divide and conquer	none	none	all eigenvalues;optionally eigenvectors	faster but more memory;B is SPD	620
11	s	spgvx	no	symmetric	packed	yes	Cholesky factorization	none	none	selected eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem;B is SPD	621
12	d	spgvx	no	symmetric	packed	yes	Cholesky factorization	none	none	selected eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem;B is SPD	622
13	s	sbgv	no	symmetric	band	no	Wilkinson's modification to Crawford's algorithm	none	none	all eigenvalues;optionally eigenvectors	reduced to a standard band symmetric problem;B is SPD	623
14	d	sbgv	no	symmetric	band	no	Wilkinson's modification to Crawford's algorithm	none	none	all eigenvalues;optionally eigenvectors	reduced to a standard band symmetric problem;B is SPD	624
15	s	sbgvd	no	symmetric	band	no	divide and conquer	none	none	all eigenvalues;optionally eigenvectors	faster but more memory;B is SPD	625
16	d	sbgvd	no	symmetric	band	no	divide and conquer	none	none	all eigenvalues;optionally eigenvectors	faster but more memory;B is SPD	626
17	s	sbgvx	no	symmetric	band	yes	Wilkinson's modification to Crawford's algorithm	none	none	selected eigenvalues;optionally eigenvectors	reduced to a standard band symmetric problem;B is SPD	627
18	d	sbgvx	no	symmetric	band	yes	Wilkinson's modification to Crawford's algorithm	none	none	selected eigenvalues;optionally eigenvectors	reduced to a standard band symmetric problem;B is SPD	628
19	c	hegv	yes	Hermitian	full	no	Cholesky factorization	none	none	all eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem	637
20	z	hegv	yes	Hermitian	full	no	Cholesky factorization	none	none	all eigenvalues;optionally eigenvectors	reduced to a standard symmetric eigenvalue problem	638
