		name	complex Numbers	matrix type	storage	range	method	Schur form	note	
1	s	syev	no	symmetric	full	No	QR	eigenvectors	reduced to tridiagonal form first	511
2	d	syev	no	symmetric	full	No	QR	eigenvectors	reduced to tridiagonal form first	512
3	s	syevd	no	symmetric	full	No	divide and conquer	eigenvectors	faster but more memory	513
4	d	syevd	no	symmetric	full	No	divide and conquer	eigenvectors	faster but more memory	514
5	s	syevr	no	symmetric	full	Yes	RRR	eigenvectors	reduced to tridiagonal form first	517
6	d	syevr	no	symmetric	full	Yes	RRR	eigenvectors	reduced to tridiagonal form first	518
7	s	syevx	no	symmetric	full	Yes	QR or inverse iteration	eigenvectors	"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues;eigenvectors are required"	515
8	d	syevx	no	symmetric	full	Yes	QR or inverse iteration	eigenvectors	"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues;eigenvectors are required"	516
9	s	spev	no	symmetric	packed	No	QR	eigenvectors	reduced to tridiagonal form first	519
10	d	spev	no	symmetric	packed	No	QR	eigenvectors	reduced to tridiagonal form first	520
11	s	spevd	no	symmetric	packed	No	divide and conquer	eigenvectors	faster but more memory	521
12	d	spevd	no	symmetric	packed	No	divide and conquer	eigenvectors	faster but more memory	522
13	s	spevx	no	symmetric	packed	Yes	QR or inverse iteration	eigenvectors	"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues;eigenvectors are required"	523
14	d	spevx	no	symmetric	packed	Yes	QR or inverse iteration	eigenvectors	"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues;eigenvectors are required"	524
15	s	sbev	no	symmetric	band	No	QR	eigenvectors	reduced to tridiagonal form first	525
16	d	sbev	no	symmetric	band	No	QR	eigenvectors	reduced to tridiagonal form first	526
17	s	sbevd	no	symmetric	band	No	divide and conquer	eigenvectors	faster but more memory	527
18	d	sbevd	no	symmetric	band	No	divide and conquer	eigenvectors	faster but more memory	528
19	s	sbevx	no	symmetric	band	Yes	QR or inverse iteration	eigenvectors	"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues;eigenvectors are required"	529
20	d	sbevx	no	symmetric	band	Yes	QR or inverse iteration	eigenvectors	"reduced to tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues;eigenvectors are required"	530
21	s	stev	no	symmetric	tridiagonal	No	QR or QL	eigenvectors	N/A	535
22	d	stev	no	symmetric	tridiagonal	No	QR or QL	eigenvectors	N/A	536
23	s	stevd	no	symmetric	tridiagonal	No	divide and conquer	eigenvectors	faster but more memory;call SSTEDC	533
24	d	stevd	no	symmetric	tridiagonal	No	divide and conquer	eigenvectors	faster but more memory;call DSTEDC	534
25	s	stevr	no	symmetric	tridiagonal	Yes	RRR	eigenvectors	SSTEVR calls SSTEMR when the full spectrum is requested	539
26	d	stevr	no	symmetric	tridiagonal	Yes	RRR	eigenvectors	DSTEVR calls DSTEMR when the full spectrum is requested	540
27	s	stevx	no	symmetric	tridiagonal	Yes	QR	eigenvectors	reducing the tridiagonal matrix to diagonal;bisection is used to determine selected eigenvalues 	541
28	d	stevx	no	symmetric	tridiagonal	Yes	QR	eigenvectors	reducing the tridiagonal matrix to diagonal;bisection is used to determine selected eigenvalues 	542
29	c	heev	yes	Hermitian	full	No	QR	eigenvectors	reduced to real tridiagonal form first	567
30	z	heev	yes	Hermitian	full	No	QR	eigenvectors	reduced to real tridiagonal form first	568
31	c	heevd	yes	Hermitian	full	No	divide and conquer	eigenvectors	faster but more memory	569
32	z	heevd	yes	Hermitian	full	No	divide and conquer	eigenvectors	faster but more memory	570
33	c	heevr	yes	Hermitian	full	Yes	RRR	eigenvectors	reduced to real tridiagonal form first	573
34	z	heevr	yes	Hermitian	full	Yes	RRR	eigenvectors	reduced to real tridiagonal form first	574
35	c	heevx	yes	Hermitian	full	Yes	QR or inverse iteration	eigenvectors	"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	571
36	z	heevx	yes	Hermitian	full	Yes	QR or inverse iteration	eigenvectors	"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	572
37	c	hpev	yes	Hermitian	packed	No	QR	eigenvectors	reduced to real tridiagonal form first	575
38	z	hpev	yes	Hermitian	packed	No	QR	eigenvectors	reduced to real tridiagonal form first	576
39	c	hpevd	yes	Hermitian	packed	No	divide and conquer	eigenvectors	faster but more memory	577
40	z	hpevd	yes	Hermitian	packed	No	divide and conquer	eigenvectors	faster but more memory	578
41	c	hpevx	yes	Hermitian	packed	Yes	QR or inverse iteration	eigenvectors	"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	579
42	z	hpevx	yes	Hermitian	packed	Yes	QR or inverse iteration	eigenvectors	"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	580
43	c	hbev	yes	Hermitian	band	No	QR	eigenvectors	reduced to real tridiagonal form first	581
44	z	hbev	yes	Hermitian	band	No	QR	eigenvectors	reduced to real tridiagonal form first	582
45	c	hbevd	yes	Hermitian	band	No	divide and conquer	eigenvectors	faster but more memory	583
46	z	hbevd	yes	Hermitian	band	No	divide and conquer	eigenvectors	faster but more memory	584
47	c	hbevx	yes	Hermitian	band	Yes	QR or inverse iteration	eigenvectors	"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	585
48	z	hbevx	yes	Hermitian	band	Yes	QR or inverse iteration	eigenvectors	"reduced to real tridiagonal form first;the method used depends upon whether all, or selected, eigenvalues and eigenvectors are required"	586
49	s	geev	no	general	full	No	QR	eigenvectors	eigenvalues;optionally left right eigenvectors	
50	d	geev	no	general	full	No	QR	eigenvectors	eigenvalues;optionally left right eigenvectors	
51	s	geevx	no	general	full	No	QR	eigenvectors	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	
52	d	geevx	no	general	full	No	QR	eigenvectors	eigenvalues;optionally left right eigenvectors;balance matrix;condition numbers	
53	s	gees	no	general	full	No	N/A	Schur	eigenvalues;Schur form;optionally Schur vectors	
54	d	gees	no	general	full	No	N/A	Schur	eigenvalues;Schur form;optionally Schur vectors	
