id	precision	name	storage	standard	purpose	range	eigenvectors	method	note
1	c	gehrd	full	standard	reduce to upper Hessenberg	none	none		
2	z	gehrd	full	standard	reduce to upper Hessenberg	none	none		
3	c	unghr	full	standard	generate Q	none	none		call CGEHRD first
4	z	unghr	full	standard	generate Q	none	none		call ZGEHRD first
5	c	hseqr	full	standard	"eigenvalues, Schur form, Schur vectors of H"	No	Schur	QR	call CGEHRD first;CGEHRD+CUNGHR+CHSEQR for Schur vectors of A
6	z	hseqr	full	standard	"eigenvalues, Schur form, Schur vectors of H"	No	Schur	QR	call ZGEHRD first;ZGEHRD+ZUNGHR+ZHSEQR for Schur vectors of A
7	c	trevc	full	standard	eigenvectors of Schur form	none	original		CGEHRD+CUNGHR+CHSEQR+CTREVC for eigenvectors of T
8	z	trevc	full	standard	eigenvectors of Schur form	none	original		ZGEHRD+ZUNGHR+ZHSEQR+ZTREVC for eigenvectors of T
9	c	gebak	full	standard	eigenvectors of A	none	original	back transformation	CGEHRD+CUNGHR+CHSEQR+CTREVC+CGEBAK for eigenvectors of A
10	z	gebak	full	standard	eigenvectors of A	none	original	back transformation	ZGEHRD+ZUNGHR+ZHSEQR+ZTREVC+ZGEBAK for eigenvectors of A
11	c	hsein	full	standard	eigenvectors of H for given eigenvalues	none	original	inverse iteration	CGEHRD+CHSEQR+CHSEIN for eigenvectors of H
12	z	hsein	full	standard	eigenvectors of H for given eigenvalues	none	original	inverse iteration	ZGEHRD+ZHSEQR+ZHSEIN for eigenvectors of H
13	c	unmhr	full	standard	multiply by Q for eigenvectors of A	none	none		CGEHRD+CHSEQR+CHSEIN+CUNMHR for eigenvectors of A
14	z	unmhr	full	standard	multiply by Q for eigenvectors of A	none	none		ZGEHRD+ZHSEQR+ZHSEIN+ZUNMHR for eigenvectors of A
15	c	trexc	full	standard	reorders Schur factorization	none	none		
16	z	trexc	full	standard	reorders Schur factorization	none	none		
17	c	trsen	full	standard	"reorders Schur factorization,condition numbers"	none	none		
18	z	trsen	full	standard	"reorders Schur factorization,condition numbers"	none	none		
19	c	trsna	full	standard	condition numbers of eigenvectors	none	none		
20	z	trsna	full	standard	condition numbers of eigenvectors	none	none		
21	c	gebal	full	standard	balance matrix	none	none		improve eigenvalue accuracy
22	z	gebal	full	standard	balance matrix	none	none		improve eigenvalue accuracy
